Rank,Model,Text_Rep,RMSE,MAE,Dir_Acc,R2,Val_RMSE
1,Weighted Blending (Top-3),Mixed,0.007071743373566708,0.004876601443088733,0.5279187817258884,0.0009123799876256111,0.007442055403833719
2,TF-IDF + LightGBM,TF-IDF,0.0070760107403779245,0.0048807573822108935,0.5355329949238579,-0.0002937609875819369,0.007470384780718261
3,Sentiment + LightGBM,Sentiment,0.007076714848691116,0.0048956340805642535,0.5025380710659898,-0.0004928421423509022,0.007475639834446199
4,"GARCH(1,1)",None,0.007081016104537944,0.004838323280021691,0.565989847715736,-0.0017094189251007919,
5,LightGBM (Fin Only),None,0.007089297488626319,0.0048883739161554715,0.5406091370558376,-0.004053825777822206,
6,FinBERT + LightGBM,FinBERT,0.007093333860919233,0.004870950058270545,0.550761421319797,-0.005197490233969537,0.007483854613805566
7,"ARIMA(1,0,1)",None,0.007094334099586394,0.004864354546694832,0.5685279187817259,-0.005480998188476693,
8,TF-IDF + Stacking,TF-IDF,0.007094791506028671,0.00486611321879823,0.565989847715736,-0.005610658930736312,0.007484406358324795
9,Naive (Mean),None,0.007094986491118517,0.004865889605202472,0.565989847715736,-0.005665933783822741,
10,FinBERT + Stacking,FinBERT,0.007095192808471827,0.0048666434193617766,0.565989847715736,-0.005724422788928818,0.007485678668057445
11,TF-IDF + Transformer,TF-IDF,0.0071123537228790275,0.0048884654430481475,0.5050761421319797,-0.010595332792158851,0.007420744231143142
12,Linear Regression,None,0.007136097702212118,0.005052450127772356,0.49238578680203043,-0.01735416655580191,0.007553798753343358
13,TF-IDF + RF,TF-IDF,0.007287470492764125,0.005049922588753369,0.4796954314720812,-0.0609727063378378,0.007509742940383773
14,FinBERT + Ridge,FinBERT,0.0072880167736893995,0.005205100941032026,0.5406091370558376,-0.06113177686190174,0.008005563253943117
15,RF (Fin Only),None,0.007365534664766123,0.005149409985849476,0.4746192893401015,-0.08382496090422187,
16,BiLSTM (Fin Only),None,0.00795299430805638,0.005705288842149409,0.4619289340101523,-0.26360674782356663,
17,TF-IDF + Hybrid(RF->BiLSTM),TF-IDF,0.008291222224471869,0.0060562269681645456,0.48984771573604063,-0.3733704668247162,0.009469669001344964
18,TF-IDF + BiLSTM,TF-IDF,0.008459926608720645,0.00612524629979542,0.5,-0.42982795595378986,0.009442067824258236
19,SVR (RBF),None,0.009329764834553248,0.006898326034836929,0.5228426395939086,-0.7389695897587893,0.011197403600301368
20,FinBERT + BiLSTM,FinBERT,0.026376086500827435,0.020903802010449533,0.5152284263959391,-12.898608123450046,0.0184098151313203
21,FinBERT + Transformer,FinBERT,0.034692260556577,0.028243509586709844,0.49746192893401014,-23.044502310366283,0.02908213158761789
