Rank,Model,Text_Rep,RMSE,MAE,Dir_Acc,R2,Val_RMSE
1,FinBERT + LightGBM,FinBERT,0.004050201904974068,0.0030461224386176405,0.7896039603960396,0.6685811182343817,0.004345598613845608
2,Weighted Blending (Top-3),Mixed,0.0040691074456193025,0.003070016267998445,0.7871287128712872,0.6654799017017907,0.004344314216635702
3,Sentiment + LightGBM,Sentiment,0.004086083789615123,0.0031057354456311883,0.7673267326732673,0.6626828389051029,0.004400369507307253
4,LightGBM (Fin Only),None,0.004117461154184266,0.003112115384818642,0.7797029702970297,0.6574823769213627,
5,RF (Fin Only),None,0.004139567144532867,0.003104997897916381,0.7623762376237624,0.6537946593763144,
6,TF-IDF + LightGBM,TF-IDF,0.00414219069856177,0.0031255096408705865,0.7648514851485149,0.6533556877593658,0.004350202540000894
7,TF-IDF + RF,TF-IDF,0.004168293934804757,0.003138567896887262,0.754950495049505,0.6489729588838584,0.004605163055535792
8,Linear Regression,None,0.004366122684378908,0.003349483896820459,0.7722772277227723,0.6148625326619692,0.00456351251242669
9,FinBERT + Ridge,FinBERT,0.004482518579987832,0.003442140549602175,0.7623762376237624,0.5940541581676118,0.004582013442613778
10,FinBERT + Stacking,FinBERT,0.005401197651507143,0.0038127803893556727,0.7698019801980198,0.4106082659818878,0.005517604971081572
11,TF-IDF + Stacking,TF-IDF,0.0054326172861238154,0.0038399327119111493,0.7623762376237624,0.40373114850033665,0.005549444945211796
12,SVR (RBF),None,0.006507321571845857,0.0046280780712610655,0.7475247524752475,0.14448340552860917,0.006088367425959649
13,"GARCH(1,1)",None,0.00703908749186805,0.004810863605094278,0.5643564356435643,-0.0010519754432041228,
14,Naive (Mean),None,0.00704698520397764,0.00483025226779342,0.5643564356435643,-0.0032995552649977,
15,"ARIMA(1,0,1)",None,0.007047072997526617,0.004830444366975958,0.5643564356435643,-0.003324554260959456,
16,TF-IDF + Transformer,TF-IDF,0.007108180490608818,0.004899178903019097,0.5148514851485149,-0.020800312125706988,0.007154622936030221
17,TF-IDF + Hybrid(RF->BiLSTM),TF-IDF,0.0074224664162344635,0.005134220226415969,0.5123762376237624,-0.11306463161671654,0.007925479789959318
18,TF-IDF + BiLSTM,TF-IDF,0.008057911872811269,0.005360352211071394,0.5247524752475248,-0.31180392826531667,0.008203558553905135
19,BiLSTM (Fin Only),None,0.008209046485221258,0.005247751755797134,0.5148514851485149,-0.36147393192062327,
20,FinBERT + Transformer,FinBERT,0.02603078474704714,0.020854603830169186,0.4975247524752475,-12.68984157505077,0.026549995399992424
21,FinBERT + BiLSTM,FinBERT,0.0401130880034337,0.031372093460474315,0.45792079207920794,-31.508437291245237,0.029358837819002944
