Rank,Model,Text_Rep,RMSE,MAE,Dir_Acc,R2,Val_RMSE
1,TF-IDF + RF,TF-IDF,0.01329153388663537,0.00899183358887348,0.5746102449888641,0.026118564772775743,0.014462635317201815
2,RF (Fin Only),None,0.013293302716952067,0.00899009992657616,0.5746102449888641,0.02585934027008041,
3,Linear Regression,None,0.01338806656304338,0.009048688505674904,0.5011135857461024,0.011921140852115153,0.01455468762954167
4,FinBERT + LightGBM,FinBERT,0.013423094522269823,0.00895281920925283,0.5812917594654788,0.006744043414300016,0.014303498832239586
5,Weighted Blending (Top-3),Mixed,0.01342905542457182,0.008927396304747157,0.5857461024498887,0.005861681104291638,0.014282962018477665
6,"GARCH(1,1)",None,0.013436211457680177,0.008930247961087363,0.576837416481069,0.004801892166725441,
7,TF-IDF + Transformer,TF-IDF,0.013452998324079448,0.00892549826510244,0.5857461024498887,0.0023135874954545166,0.014288724811669581
8,TF-IDF + LightGBM,TF-IDF,0.013460904084720962,0.008955779596389553,0.5835189309576837,0.0011406463637484432,0.014287442143230572
9,LightGBM (Fin Only),None,0.013462954436992164,0.00896042015325089,0.5857461024498887,0.0008363325513628395,
10,FinBERT + Stacking,FinBERT,0.013467343600804496,0.008969555330125278,0.5857461024498887,0.00018473591901135844,0.014303814006410322
11,TF-IDF + Stacking,TF-IDF,0.013467551293561253,0.008969608509759776,0.5857461024498887,0.00015389747071503646,0.01430376979535834
12,Naive (Mean),None,0.01346929678673771,0.008970234364034211,0.5857461024498887,-0.00010529406431047938,
13,Sentiment + LightGBM,Sentiment,0.01347113819051539,0.008956215707304557,0.5812917594654788,-0.00037876395353286796,0.014304529635028559
14,"ARIMA(1,0,1)",None,0.013472715649892662,0.008975533288715136,0.5835189309576837,-0.0006130647578588277,
15,FinBERT + Ridge,FinBERT,0.013545001830066093,0.009265372978617662,0.5077951002227171,-0.011379199560751063,0.01458994161445568
16,FinBERT + Transformer,FinBERT,0.013621668285046488,0.00926540973341726,0.49665924276169265,-0.02286067424907201,0.01441400732268743
17,FinBERT + BiLSTM,FinBERT,0.01454473451737879,0.010129519398732363,0.5256124721603563,-0.16618507381431846,0.015927419030186424
18,BiLSTM (Fin Only),None,0.014941864671082697,0.010318480112250455,0.5412026726057907,-0.23073762812500798,
19,TF-IDF + BiLSTM,TF-IDF,0.015046556966351076,0.010176652068131755,0.49888641425389757,-0.2480447244645938,0.015317254739765725
20,TF-IDF + Hybrid(RF->BiLSTM),TF-IDF,0.015177877909586798,0.010251999678670829,0.5167037861915368,-0.26992476207718896,0.015178403025381261
21,SVR (RBF),None,0.01630906614001171,0.011904721808561964,0.5011135857461024,-0.4662704064990133,0.01787266663899549
