Rank,Model,Text_Rep,RMSE,MAE,Dir_Acc,R2,Val_RMSE
1,Linear Regression,None,0.007972300363637856,0.0059482138097040615,0.7817371937639198,0.6496330061172615,0.01155875715281829
2,LightGBM (Fin Only),None,0.008081666598870616,0.0057139374212724515,0.7750556792873051,0.6399542062743419,
3,TF-IDF + RF,TF-IDF,0.008113670893229641,0.00578075356998047,0.7884187082405345,0.637096917465267,0.011113839393425355
4,RF (Fin Only),None,0.008128168433484647,0.005787358816333329,0.7884187082405345,0.6357988854189465,
5,TF-IDF + LightGBM,TF-IDF,0.00815282888412857,0.005750251498146945,0.7839643652561247,0.6335855975952606,0.010745816191908914
6,Weighted Blending (Top-3),Mixed,0.008164526798694234,0.005746446072142719,0.779510022271715,0.6325333592916518,0.010700002340308752
7,FinBERT + LightGBM,FinBERT,0.008173787776177041,0.005699633348647237,0.77728285077951,0.6316992557537173,0.010797918632152927
8,FinBERT + Ridge,FinBERT,0.008193678272122777,0.00612750232013924,0.7639198218262806,0.6299045926181032,0.01171462629065265
9,Sentiment + LightGBM,Sentiment,0.008422043550013891,0.005966912627102891,0.7884187082405345,0.6089873147433655,0.010715241360892585
10,TF-IDF + Stacking,TF-IDF,0.010462044749882228,0.007177578141145031,0.7817371937639198,0.3966226155790805,0.012610324181193455
11,FinBERT + Stacking,FinBERT,0.01049394346644844,0.007189064986053674,0.7928730512249443,0.3929376177469007,0.012637758457828772
12,SVR (RBF),None,0.012303917849404785,0.008382506145929329,0.6770601336302895,0.1654685136747177,0.013437669443564606
13,"GARCH(1,1)",None,0.013436211457680177,0.008930247961087363,0.576837416481069,0.004801892166725441,
14,Naive (Mean),None,0.01346929678673771,0.008970234364034211,0.5857461024498887,-0.00010529406431047938,
15,"ARIMA(1,0,1)",None,0.013472715649892662,0.008975533288715136,0.5835189309576837,-0.0006130647578588277,
16,FinBERT + Transformer,FinBERT,0.013565390543885747,0.009051476456834701,0.5412026726057907,-0.014426263129742933,0.014111778747323238
17,TF-IDF + Transformer,TF-IDF,0.013936019498130088,0.009589680150849956,0.43429844097995546,-0.0706151187466284,0.014444674934374993
18,BiLSTM (Fin Only),None,0.014091049236860945,0.009880551080642962,0.48106904231625836,-0.0945674933470364,
19,TF-IDF + BiLSTM,TF-IDF,0.014242131615460844,0.010289579361639154,0.512249443207127,-0.11816494086095375,0.016109595027070215
20,TF-IDF + Hybrid(RF->BiLSTM),TF-IDF,0.014492440931502946,0.010119981074782947,0.5389755011135857,-0.15781443364142933,0.01582429103156916
21,FinBERT + BiLSTM,FinBERT,0.014893107053071872,0.010353302713348009,0.532293986636971,-0.22271855834574694,0.015106656160625832
