Date,Price
2014-01-02,5342.5
2014-01-03,5298.0
2014-01-06,5260.5
2014-01-07,5317.5
2014-01-08,5321.0
2014-01-09,5289.0
2014-01-10,5277.5
2014-01-13,5349.0
2014-01-14,5316.0
2014-01-15,5408.0
2014-01-16,5417.0
2014-01-17,5378.0
2014-01-20,5372.0
2014-01-21,5355.0
2014-01-22,5364.0
2014-01-23,5319.5
2014-01-24,5294.5
2014-01-27,5204.5
2014-01-28,5167.5
2014-01-29,5178.0
2014-01-30,5253.0
2014-01-31,5247.5
2014-02-03,5230.5
2014-02-04,5221.5
2014-02-05,5188.5
2014-02-06,5258.0
2014-02-07,5291.0
2014-02-10,5352.0
2014-02-11,5376.5
2014-02-12,5367.5
2014-02-13,5384.5
2014-02-14,5367.0
2014-02-17,5396.0
2014-02-18,5422.5
2014-02-19,5404.5
2014-02-20,5395.5
2014-02-21,5435.0
2014-02-24,5460.5
2014-02-25,5441.0
2014-02-26,5470.5
2014-02-27,5435.5
2014-02-28,5446.5
2014-03-03,5376.0
2014-03-04,5484.0
2014-03-05,5470.0
2014-03-06,5481.5
2014-03-07,5433.5
2014-03-10,5469.0
2014-03-11,5479.0
2014-03-12,5471.5
2014-03-13,5419.0
2014-03-14,5393.0
2014-03-17,5427.5
2014-03-18,5486.0
2014-03-19,5471.5
2014-03-20,5510.0
2014-03-21,5495.5
2014-03-24,5360.5
2014-03-25,5383.0
2014-03-26,5377.0
2014-03-27,5281.0
2014-03-28,5309.0
2014-03-31,5314.5
2014-04-01,5382.0
2014-04-02,5395.0
2014-04-03,5402.5
2014-04-04,5289.5
2014-04-07,5204.0
2014-04-08,5179.0
2014-04-09,5207.0
2014-04-10,5161.0
2014-04-11,5125.5
2014-04-14,5109.0
2014-04-15,5057.0
2014-04-16,5120.0
2014-04-17,5158.5
2014-04-22,5231.5
2014-04-23,5214.0
2014-04-24,5246.0
2014-04-25,5171.5
2014-04-28,5152.0
2014-04-29,5193.5
2014-04-30,5185.5
2014-05-01,5236.0
2014-05-02,5212.0
2014-05-06,5176.5
2014-05-07,5081.0
2014-05-08,5183.5
2014-05-09,5140.5
2014-05-12,5236.0
2014-05-13,5273.5
2014-05-14,5269.5
2014-05-15,5191.5
2014-05-16,5194.5
2014-05-19,5271.5
2014-05-20,5268.5
2014-05-21,5261.5
2014-05-22,5322.5
2014-05-23,5340.0
2014-05-27,5414.0
2014-05-28,5466.0
2014-05-29,5478.0
2014-05-30,5474.0
2014-06-02,5471.0
2014-06-03,5462.0
2014-06-04,5488.5
2014-06-05,5491.0
2014-06-06,5545.5
2014-06-09,5556.0
2014-06-10,5568.5
2014-06-11,5556.5
2014-06-12,5520.0
2014-06-13,5473.0
2014-06-16,5451.0
2014-06-17,5467.5
2014-06-18,5472.5
2014-06-19,5469.0
2014-06-20,5488.0
2014-06-23,5484.5
2014-06-24,5552.5
2014-06-25,5519.5
2014-06-26,5506.0
2014-06-27,5530.0
2014-06-30,5537.0
2014-07-01,5576.0
2014-07-02,5566.5
2014-07-03,5602.0
2014-07-04,5607.0
2014-07-07,5600.5
2014-07-08,5524.5
2014-07-09,5565.0
2014-07-10,5549.5
2014-07-11,5580.0
2014-07-14,5648.0
2014-07-15,5594.0
2014-07-16,5632.5
2014-07-17,5591.0
2014-07-18,5625.0
2014-07-21,5646.5
2014-07-22,5693.5
2014-07-23,5731.5
2014-07-24,5761.0
2014-07-25,5706.5
2014-07-28,5722.0
2014-07-29,5741.5
2014-07-30,5761.0
2014-07-31,5683.0
2014-08-01,5652.0
2014-08-04,5671.5
2014-08-05,5665.0
2014-08-06,5658.0
2014-08-07,5648.5
2014-08-08,5653.5
2014-08-11,5731.0
2014-08-12,5691.5
2014-08-13,5797.5
2014-08-14,5822.5
2014-08-15,5838.0
2014-08-18,5900.0
2014-08-19,5955.5
2014-08-20,5964.0
2014-08-21,5985.5
2014-08-22,6010.5
2014-08-26,6039.5
2014-08-27,6033.5
2014-08-28,6022.5
2014-08-29,6043.0
2014-09-01,6037.5
2014-09-02,6089.0
2014-09-03,6084.0
2014-09-04,6128.5
2014-09-05,6114.0
2014-09-08,6238.0
2014-09-09,6236.0
2014-09-10,6196.0
2014-09-11,6176.0
2014-09-12,6173.5
2014-09-15,6097.0
2014-09-16,6114.0
2014-09-17,6124.5
2014-09-18,6149.0
2014-09-19,6183.0
2014-09-22,6100.0
2014-09-23,9952.240234375
2014-09-24,6130.5
2014-09-25,6067.5
2014-09-26,9957.7998046875
2014-09-29,6118.5
2014-09-30,9949.8798828125
2014-10-01,9791.08984375
2014-10-02,9774.009765625
2014-10-03,9875.3798828125
2014-10-06,9848.3095703125
2014-10-07,9706.7900390625
2014-10-08,9909.330078125
2014-10-09,9733.1904296875
2014-10-10,9491.48046875
2014-10-13,9337.25
2014-10-14,9343.1904296875
2014-10-15,9283.6904296875
2014-10-16,9232.8798828125
2014-10-17,9355.73046875
2014-10-20,9489.5595703125
2014-10-21,9737.9296875
2014-10-22,9684.509765625
2014-10-23,9837.990234375
2014-10-24,9910.6904296875
2014-10-27,9920.41015625
2014-10-28,10068.9501953125
2014-10-29,10030.1396484375
2014-10-30,6252.0
2014-10-31,6362.5
2014-11-03,6401.5
2014-11-04,6346.5
2014-11-05,6388.5
2014-11-06,6429.5
2014-11-07,6447.0
2014-11-10,6457.0
2014-11-11,6461.0
2014-11-12,6494.5
2014-11-13,6575.5
2014-11-14,6623.0
2014-11-17,6579.5
2014-11-18,6638.0
2014-11-19,6603.0
2014-11-20,6638.5
2014-11-21,6673.5
2014-11-24,6678.0
2014-11-25,6698.0
2014-11-26,6696.0
2014-11-27,6756.5
2014-11-28,6820.0
2014-12-01,6701.5
2014-12-02,6751.0
2014-12-03,6725.5
2014-12-04,6712.0
2014-12-05,6801.5
2014-12-08,6771.0
2014-12-09,6656.5
2014-12-10,6688.0
2014-12-11,6708.5
2014-12-12,6583.0
2014-12-15,6536.0
2014-12-16,6525.0
2014-12-17,6455.5
2014-12-18,6631.5
2014-12-19,6741.0
2014-12-22,6746.5
2014-12-23,6790.5
2014-12-24,6766.5
2014-12-29,6816.0
2014-12-30,6766.5
2014-12-31,6737.0
2015-01-02,6721.0
2015-01-05,6713.0
2015-01-06,6670.0
2015-01-07,6724.0
2015-01-08,6866.0
2015-01-09,6790.5
2015-01-12,6767.5
2015-01-13,6856.0
2015-01-14,6652.0
2015-01-15,6648.0
2015-01-16,6651.5
2015-01-19,6695.0
2015-01-20,6678.5
2015-01-21,6813.5
2015-01-22,6904.0
2015-01-23,6983.0
2015-01-26,6939.5
2015-01-27,6729.0
2015-01-28,6765.0
2015-01-29,6706.0
2015-01-30,6817.0
2015-02-02,6779.5
2015-02-03,6773.0
2015-02-04,6818.0
2015-02-05,6806.5
2015-02-06,6859.5
2015-02-09,6809.0
2015-02-10,6839.5
2015-02-11,6913.0
2015-02-12,6895.5
2015-02-13,6951.5
2015-02-16,6998.5
2015-02-17,7005.0
2015-02-18,6968.0
2015-02-19,7014.5
2015-02-20,7046.5
2015-02-23,7051.5
2015-02-24,7074.5
2015-02-25,7054.0
2015-02-26,7088.5
2015-02-27,7071.5
2015-03-02,7149.0
2015-03-03,7100.0
2015-03-04,7144.5
2015-03-05,7173.5
2015-03-06,7202.0
2015-03-09,7144.0
2015-03-10,7063.5
2015-03-11,7101.0
2015-03-12,7122.0
2015-03-13,7153.5
2015-03-16,7211.5
2015-03-17,7271.5
2015-03-18,7278.5
2015-03-19,7383.0
2015-03-20,7323.0
2015-03-23,7317.0
2015-03-24,7360.0
2015-03-25,7188.5
2015-03-26,7132.5
2015-03-27,7118.0
2015-03-30,7238.0
2015-03-31,7212.5
2015-04-01,7103.5
2015-04-02,7125.5
2015-04-07,7204.0
2015-04-08,7170.5
2015-04-09,7261.0
2015-04-10,7387.0
2015-04-13,7419.5
2015-04-14,7275.5
2015-04-15,7310.0
2015-04-16,7257.5
2015-04-17,7142.5
2015-04-20,7244.5
2015-04-21,7274.5
2015-04-22,7239.5
2015-04-23,7255.5
2015-04-24,7320.5
2015-04-27,7324.0
2015-04-28,7221.0
2015-04-29,7122.0
2015-04-30,7110.0
2015-05-01,7206.0
