Date,Price
2014-01-02,1558.0
2014-01-03,1564.0
2014-01-06,1571.0
2014-01-07,1571.0
2014-01-08,1564.0
2014-01-09,1560.0
2014-01-10,1581.0
2014-01-13,1597.0
2014-01-14,1592.0
2014-01-15,1597.0
2014-01-16,1593.0
2014-01-17,1584.5
2014-01-20,1588.0
2014-01-21,1583.0
2014-01-22,1579.0
2014-01-23,1566.0
2014-01-24,1541.0
2014-01-27,1521.0
2014-01-28,1540.0
2014-01-29,1535.0
2014-01-30,1536.0
2014-01-31,1533.0
2014-02-03,1525.0
2014-02-04,1525.0
2014-02-05,1524.0
2014-02-06,1547.0
2014-02-07,1549.0
2014-02-10,1554.0
2014-02-11,1577.0
2014-02-12,1579.0
2014-02-13,1571.5
2014-02-14,1582.0
2014-02-17,1597.0
2014-02-18,1605.0
2014-02-19,1608.0
2014-02-20,1609.0
2014-02-21,1618.0
2014-02-24,1621.0
2014-02-25,1626.0
2014-02-26,1609.0
2014-02-27,1618.0
2014-02-28,1627.0
2014-03-03,1603.0
2014-03-04,1625.0
2014-03-05,1621.0
2014-03-06,1631.0
2014-03-07,1611.0
2014-03-10,1610.0
2014-03-11,1609.0
2014-03-12,1596.0
2014-03-13,1586.0
2014-03-14,1576.0
2014-03-17,1593.0
2014-03-18,1595.0
2014-03-19,1595.0
2014-03-20,1586.0
2014-03-21,1582.0
2014-03-24,1564.0
2014-03-25,1578.0
2014-03-26,1590.0
2014-03-27,1579.0
2014-03-28,1579.0
2014-03-31,1588.0
2014-04-01,1599.0
2014-04-02,1603.0
2014-04-03,1597.0
2014-04-04,1604.0
2014-04-07,1587.0
2014-04-08,1568.0
2014-04-09,1580.0
2014-04-10,1581.0
2014-04-11,1555.0
2014-04-14,1538.0
2014-04-15,1523.0
2014-04-16,1545.0
2014-04-17,1555.0
2014-04-22,1578.0
2014-04-23,1569.0
2014-04-24,1569.0
2014-04-25,1556.5
2014-04-28,1553.0
2014-04-29,1559.0
2014-04-30,1554.0
2014-05-01,1556.5
2014-05-02,1559.0
2014-05-06,1560.0
2014-05-07,1556.0
2014-05-08,1565.0
2014-05-09,1560.0
2014-05-12,1565.0
2014-05-13,1572.0
2014-05-14,1565.0
2014-05-15,1536.0
2014-05-16,1506.0
2014-05-19,1508.5
2014-05-20,1515.0
2014-05-21,1519.0
2014-05-22,1524.0
2014-05-23,1523.050048828125
2014-05-27,1538.0
2014-05-28,1553.0
2014-05-29,1554.0
2014-05-30,1556.5
2014-06-02,1566.0
2014-06-03,1555.0
2014-06-04,1558.0
2014-06-05,1557.5
2014-06-06,1578.5
2014-06-09,1579.5
2014-06-10,1582.0
2014-06-11,1567.5
2014-06-12,1571.5
2014-06-13,1539.0
2014-06-16,1531.5
2014-06-17,1517.0
2014-06-18,1519.0
2014-06-19,1532.0
2014-06-20,1538.5
2014-06-23,1530.0
2014-06-24,1517.25
2014-06-25,1507.0
2014-06-26,1523.75
2014-06-27,1530.0
2014-06-30,1534.0
2014-07-01,1548.0
2014-07-02,1555.0
2014-07-03,1559.0
2014-07-04,1565.5
2014-07-07,1551.75
2014-07-08,1526.25
2014-07-09,1520.0
2014-07-10,1510.5
2014-07-11,1506.5
2014-07-14,1518.0
2014-07-15,1508.5
2014-07-16,1521.5
2014-07-17,1518.0
2014-07-18,1519.0
2014-07-21,1514.0
2014-07-22,1527.5
2014-07-23,1539.5
2014-07-24,1539.0
2014-07-25,1535.0
2014-07-28,1526.0
2014-07-29,1530.0
2014-07-30,1528.5
2014-07-31,1512.5
2014-08-01,1510.5
2014-08-04,1501.5
2014-08-05,1497.0
2014-08-06,1492.0
2014-08-07,1489.0
2014-08-08,1489.75
2014-08-11,1510.5
2014-08-12,1510.0
2014-08-13,1520.0
2014-08-14,1533.0
2014-08-15,1531.5
2014-08-18,1545.0
2014-08-19,1552.0
2014-08-20,1533.0
2014-08-21,1539.5
2014-08-22,1544.5
2014-08-26,1553.0
2014-08-27,1560.0
2014-08-28,1552.0
2014-08-29,1548.5
2014-09-01,1549.5
2014-09-02,1550.25
2014-09-03,1556.0
2014-09-04,1553.5
2014-09-05,1552.0
2014-09-08,1534.5
2014-09-09,1540.0
2014-09-10,1528.0
2014-09-11,1527.5
2014-09-12,1529.0
2014-09-15,1527.0
2014-09-16,1519.0
2014-09-17,1526.5
2014-09-18,1533.5
2014-09-19,1548.0
2014-09-22,1541.0
2014-09-23,1524.5
2014-09-24,1521.5
2014-09-25,1503.5
2014-09-26,1507.0
2014-09-29,1507.0
2014-09-30,1505.5
2014-10-01,1486.0
2014-10-02,1469.5
2014-10-03,1486.0
2014-10-06,1492.5
2014-10-07,1474.0
2014-10-08,1463.0
2014-10-09,1449.0
2014-10-10,1430.0
