date,news_volume,sent_pos_mean,sent_neg_mean,sent_neu_mean,sent_score_mean,sent_score_std,sent_max_neg,sent_pos_ratio,sent_neg_ratio,sent_score_ma5,sent_score_ma20,sent_surprise,sent_momentum_3d,sent_vol_5d,news_volume_chg
2017-01-16,250,0.18613395,0.20342496,0.6104411,-0.017291013,0.44662514,0.97018707,0.144,0.2,-0.017291013151407242,-0.017291013151407242,0.0,-0.017291013151407242,0.0,0.0
2017-02-01,250,0.19336954,0.26249474,0.54413575,-0.069125205,0.49057034,0.9761238,0.144,0.276,-0.043208109214901924,-0.043208109214901924,-0.025917096063494682,-0.043208109214901924,0.036652308750320536,0.0
2017-02-16,250,0.16539405,0.24720421,0.58740175,-0.08181015,0.46389687,0.97523457,0.14,0.256,-0.05607545500000318,-0.05607545500000318,-0.025734691570202507,-0.05607545500000318,0.03418189039571247,0.0
2017-03-01,250,0.2007858,0.28406316,0.515151,-0.08327737,0.5156312,0.9732381,0.176,0.304,-0.06287593301385641,-0.06287593301385641,-0.020401434041559696,-0.07807090630133946,0.03104706790585232,0.0
2017-03-16,250,0.1575813,0.27550328,0.5669154,-0.117921956,0.4615508,0.97110534,0.116,0.264,-0.07388513758778573,-0.07388513758778573,-0.044036818295717234,-0.09433648983637492,0.03645481101193756,0.0
2017-03-31,45,0.2718389,0.27617648,0.4519846,-0.0043375744,0.5566811,0.9699646,0.24444444444444444,0.28888888888888886,-0.07129444982856512,-0.062293877049038805,0.06695687547326087,-0.06851229909807444,0.041581917040918084,-0.8200000000000001
2017-04-01,205,0.1566626,0.31823832,0.5250991,-0.1615757,0.49588567,0.9720783,0.08780487804878048,0.34146341463414637,-0.08978454973548651,-0.07647699530103377,-0.07179115507751703,-0.09461174501727025,0.05777716613420534,3.5555555555555554
2017-05-01,250,0.21270405,0.2801908,0.5071052,-0.06748675,0.5262375,0.97240573,0.184,0.284,-0.08691987004131078,-0.07535321440082043,0.019433121941983697,-0.07780000908921163,0.058620330537302104,0.2195121951219512
2017-05-16,250,0.19607599,0.18654992,0.61737406,0.00952608,0.4414763,0.97221667,0.136,0.196,-0.06835918053984642,-0.06592218163940641,0.07788526099175215,-0.07317879082014163,0.07299217453586906,0.0
2017-06-01,250,0.18136702,0.2510787,0.56755424,-0.06971168,0.47897863,0.9711089,0.132,0.236,-0.05871712490916252,-0.06630113124847412,-0.010994552820920947,-0.04255744845916828,0.06780845179411063,0.0
2017-06-16,250,0.16175956,0.24190271,0.59633774,-0.08014315,0.45075858,0.9626403,0.108,0.224,-0.07387824077159166,-0.06755949692292647,-0.006264912895858288,-0.04677625031520923,0.060713644590401246,0.0
2017-06-30,23,0.13120618,0.3075446,0.56124926,-0.17633839,0.45869806,0.9735503,0.08695652173913043,0.2608695652173913,-0.07683077771216631,-0.07662440463900566,-0.09950761180371046,-0.10873107363780339,0.06615934564987255,-0.908
2017-07-01,227,0.2170559,0.2005393,0.5824048,0.016516605,0.4344889,0.9669775,0.19823788546255505,0.19383259911894274,-0.06003010701388121,-0.06945971155968997,0.07654671240597963,-0.0799883125970761,0.07861829690142892,8.869565217391305
2017-07-15,29,0.15485127,0.24691223,0.5982365,-0.09206096,0.4729624,0.94857323,0.10344827586206896,0.2413793103448276,-0.08034751527011394,-0.07107408650751625,-0.011713445559144026,-0.08396091498434544,0.06864268610135948,-0.8722466960352423
2017-07-16,221,0.180919,0.2684871,0.5505939,-0.0875681,0.49296558,0.97000295,0.10407239819004525,0.248868778280543,-0.08391879908740521,-0.07217368719478448,-0.003649297729134554,-0.054370817417899765,0.06841512778255171,6.620689655172414
2017-09-16,250,0.1700556,0.35205433,0.47789007,-0.18199871,0.4917167,0.9672492,0.116,0.376,-0.10428991131484508,-0.07903775142040104,-0.07770880348980427,-0.12054259081681569,0.08101392185893307,0.13122171945701355
2017-10-16,250,0.27556628,0.25949624,0.46493748,0.016070023,0.5513154,0.96522206,0.264,0.24,-0.06580822877585887,-0.07344317644396249,0.08187825195491313,-0.08449892948071162,0.08388139439857309,0.0
2017-11-30,250,0.23215702,0.23738948,0.5304535,-0.0052324547,0.49942547,0.9691001,0.212,0.224,-0.07015804080292583,-0.06965369190503326,0.06492558605968952,-0.05705371545627713,0.07896485778577625,0.0
2017-12-16,250,0.15656511,0.21276964,0.63066524,-0.05620453,0.40274113,0.95369697,0.104,0.2,-0.06298675490543246,-0.06894584134907315,0.006782223563641304,-0.015122320968657732,0.07810188998032572,0.0
2017-12-30,33,0.21285148,0.330188,0.4569605,-0.117336504,0.54248774,0.921019,0.15151515151515152,0.3333333333333333,-0.06894043637439609,-0.07136537448968738,-0.04839606778696179,-0.05959116341546178,0.08150466571438934,-0.868
2017-12-31,115,0.2623572,0.29167446,0.4459683,-0.029317264,0.5797384,0.9672281,0.2782608695652174,0.2782608695652174,-0.03840414611622691,-0.0719666870078072,0.009086882602423428,-0.06761943300565083,0.0517144528278347,2.484848484848485
2018-01-01,102,0.19955912,0.3170512,0.48338974,-0.11749206,0.54391253,0.97126806,0.18627450980392157,0.3431372549019608,-0.06511656222864985,-0.07438502961304039,-0.0523754951544106,-0.0880486083527406,0.05103242900463582,-0.11304347826086958
2018-01-16,250,0.21839263,0.40802267,0.3735847,-0.18963006,0.5797418,0.97390455,0.208,0.424,-0.10199608355760574,-0.07977602535393089,-0.08763397783041,-0.11214646076162656,0.06231822549778891,1.450980392156863
2018-02-01,250,0.25199282,0.38025334,0.36775383,-0.12826054,0.5991635,0.97234446,0.252,0.38,-0.11640728488564492,-0.08202518390025944,-0.011853253096342081,-0.14512755225102106,0.057203117506966814,0.0
2018-03-16,250,0.262172,0.29278442,0.44504353,-0.030612383,0.5432235,0.96442974,0.268,0.268,-0.09906246066093445,-0.07765970525797457,0.0684500776231289,-0.11616766080260277,0.06881946255920436,0.0
2018-03-30,1,0.044957276,0.014041153,0.94100153,0.030916125,0.0,0.014041153,0.0,0.0,-0.08701578304171562,-0.07589702031109483,0.11793190762400627,-0.042652265479167305,0.08696105679581831,-0.996
2018-03-31,127,0.24434711,0.44404107,0.31161183,-0.19969395,0.6432377,0.963539,0.23622047244094488,0.5118110236220472,-0.1034561611711979,-0.07780293247196823,-0.09623778685927391,-0.06646340216199557,0.10082786940931164,126.0
2018-04-01,122,0.2824412,0.2513538,0.466205,0.031087382,0.54683214,0.9717506,0.21311475409836064,0.23770491803278687,-0.059312672540545466,-0.07287422597873956,0.09040005430579186,-0.045896813894311585,0.1019777217378566,-0.03937007874015752
2018-04-16,250,0.26934662,0.32377547,0.4068779,-0.054428857,0.58364135,0.96892625,0.248,0.348,-0.04454633630812168,-0.07607197284232825,-0.009882520511746408,-0.0743451410283645,0.09457489492697346,1.0491803278688523
2018-05-01,250,0.31239703,0.33572254,0.35188043,-0.023325486,0.6361436,0.9744299,0.324,0.32,-0.04308895692229271,-0.07375266326125711,0.019763470813632014,-0.015555653721094131,0.09489888389474042,0.0
2018-05-16,250,0.21809842,0.34743735,0.43446425,-0.12933894,0.5539142,0.97397816,0.176,0.376,-0.07513996884226799,-0.0762124523287639,-0.05419896617531776,-0.06903109264870484,0.09062168954689631,0.0
2018-06-01,250,0.2003887,0.39887118,0.40074012,-0.19848248,0.5477554,0.9716052,0.148,0.428,-0.07489767596125603,-0.07731965703424067,-0.12358480766415596,-0.11704896825055282,0.09020608510176831,0.0
2018-06-16,250,0.1901295,0.41299623,0.39687425,-0.22286676,0.56591773,0.9744685,0.168,0.452,-0.1256885040551424,-0.08928882523905486,-0.09717825464904309,-0.1835627257823944,0.08705174761561388,0.0
2018-06-30,40,0.24867427,0.26755422,0.4837715,-0.01887998,0.5765168,0.9367588,0.225,0.3,-0.11857872866094113,-0.08562977619003505,0.09969874881207944,-0.1467430740594864,0.0953800372719288,-0.84
2018-07-01,210,0.20102434,0.34959877,0.4493769,-0.14857444,0.56173664,0.9746372,0.14761904761904762,0.3476190476190476,-0.1436285197734833,-0.08868009343277664,-0.0049459218978881725,-0.1301070600748062,0.07918097695840312,4.25
2018-07-16,250,0.17817266,0.4362536,0.38557374,-0.25808096,0.56454057,0.9726448,0.144,0.448,-0.1693769246339798,-0.09248420565854758,-0.08870403468608856,-0.14184512694676718,0.09308433725621781,0.19047619047619047
2018-08-16,250,0.34538114,0.3081193,0.34649956,0.037261855,0.6280186,0.97036,0.348,0.3,-0.12222805693745613,-0.09142461407463998,0.1594899117946625,-0.12313118204474449,0.12786335320352646,0.0
2018-09-15,115,0.17809175,0.38079956,0.44110867,-0.20270783,0.54643184,0.969758,0.13043478260869565,0.4782608695652174,-0.11819627061486244,-0.10129838269203902,-0.0845115564763546,-0.1411756438513597,0.12416090062470678,-0.54
2018-09-16,135,0.17939834,0.3628877,0.45771393,-0.18348937,0.55326855,0.9705199,0.17037037037037037,0.37777777777777777,-0.15111814811825752,-0.10766262449324131,-0.032371219247579575,-0.11631177986661594,0.11252103109621978,0.17391304347826098
2018-10-01,250,0.33256167,0.30651352,0.3609248,0.026048172,0.6330575,0.9702976,0.34,0.296,-0.11619362533092499,-0.10049339067190885,0.1422417975962162,-0.12004967406392097,0.13777404774845078,0.8518518518518519
2018-11-01,245,0.27512997,0.35713032,0.3677397,-0.082000315,0.63075006,0.97309214,0.2530612244897959,0.3469387755102041,-0.08097749650478363,-0.10312754325568677,-0.0010228186845779447,-0.07981383676330249,0.11265327469315202,-0.020000000000000018
2018-12-01,250,0.27401966,0.22631155,0.4996688,0.047708098,0.51230055,0.9703148,0.228,0.232,-0.07888824790716172,-0.09486753549426793,0.12659634575247763,-0.002748015026251475,0.11545632765312604,0.020408163265306145
2018-12-15,88,0.14100325,0.45313987,0.40585688,-0.31213662,0.55230474,0.9694094,0.11363636363636363,0.5,-0.10077400654554367,-0.1009928634390235,-0.21136261373758317,-0.1154762792090575,0.1499993643748339,-0.648
2018-12-16,162,0.17548326,0.29282105,0.5316957,-0.11733777,0.4561605,0.96305734,0.12962962962962962,0.2777777777777778,-0.08754368722438813,-0.10044672507792711,-0.02979408353567123,-0.12725543106595674,0.14366328504009018,0.8409090909090908
2019-01-16,250,0.24858437,0.3398616,0.411554,-0.09127721,0.5658478,0.9697066,0.232,0.3,-0.11100876405835151,-0.10347996652126312,0.019731552153825757,-0.1735838676492373,0.12933902870376746,0.5432098765432098
2019-02-01,250,0.25247765,0.37171954,0.3758028,-0.119241916,0.59008753,0.97426414,0.212,0.4,-0.11845708414912223,-0.11098786853253842,-0.0007848314940929468,-0.10928563276926677,0.12831917695973735,0.0
2019-02-15,83,0.251568,0.36598292,0.3824491,-0.11441496,0.5636153,0.97135395,0.24096385542168675,0.3493975903614458,-0.15088169574737548,-0.10672391913831233,0.03646673560142516,-0.10831136256456375,0.0908459390606178,-0.6679999999999999
2019-02-16,167,0.17067868,0.36235607,0.46696526,-0.19167739,0.47379094,0.9679583,0.09580838323353294,0.41916167664670656,-0.12678984999656678,-0.11786215780302882,-0.06488754153251647,-0.14177808910608292,0.03798352117728462,1.0120481927710845
2019-03-15,91,0.24310988,0.32294855,0.43394157,-0.07983866,0.6014065,0.96780896,0.24175824175824176,0.31868131868131866,-0.11929002851247787,-0.11913264812901617,0.039451365172863004,-0.12864367167154947,0.043602829722500895,-0.45508982035928147
2019-03-16,159,0.21377996,0.3918505,0.39436954,-0.17807056,0.5956617,0.9635205,0.1949685534591195,0.4276729559748428,-0.1366486981511116,-0.12686990182846786,-0.04142186194658279,-0.14986220498879751,0.046820516283599956,0.7472527472527473
2019-04-01,250,0.26885748,0.40680268,0.32433984,-0.1379452,0.63821316,0.9747645,0.284,0.424,-0.14038935601711272,-0.1273002153262496,0.0024441510438918956,-0.13195147613684335,0.045818569452138025,0.5723270440251573
2019-04-16,250,0.25972715,0.2750788,0.46519405,-0.015351633,0.54866457,0.97001565,0.248,0.252,-0.12057669050991535,-0.11814367277547717,0.10522505789995193,-0.11045579922695954,0.07313415701304016,0.0
2019-05-01,250,0.31507358,0.353024,0.3319024,-0.037950426,0.616335,0.974373,0.304,0.376,-0.08983129747211933,-0.10889785615727306,0.051880871132016185,-0.06374908797442913,0.06789663756039717,0.0
2019-06-15,61,0.30136058,0.3591595,0.33947995,-0.05779892,0.6379235,0.9614836,0.36065573770491804,0.32786885245901637,-0.08542334847152233,-0.11084380308166146,0.027624430134892464,-0.037033659095565476,0.06940620302293964,-0.756
2019-06-16,189,0.2241585,0.28878424,0.48705727,-0.064625725,0.52573323,0.97336835,0.20105820105820105,0.328042328042328,-0.06273438148200512,-0.10664636725559831,-0.0018913436681032153,-0.05345835660894712,0.046216807739998,2.098360655737705
2019-07-01,250,0.30446282,0.37951732,0.3160199,-0.075054474,0.6422445,0.97074234,0.32,0.396,-0.050156235322356225,-0.0974950429983437,-0.024898238852620123,-0.06582637255390485,0.023706756317413494,0.3227513227513228
2019-07-16,250,0.24833691,0.39464787,0.35701522,-0.14631094,0.591542,0.9707747,0.228,0.408,-0.0763480968773365,-0.10667368276044727,-0.06996284350752831,-0.0953303799033165,0.04138943119169178,0.0
2019-08-01,249,0.2577267,0.400536,0.34173727,-0.14280932,0.628819,0.9712361,0.26104417670682734,0.40963855421686746,-0.09731987491250038,-0.10367875723168254,-0.045489441603422165,-0.12139157702525456,0.04357744629068088,-0.0040000000000000036
2019-08-16,249,0.2838744,0.34790716,0.36821845,-0.06403278,0.5859326,0.97461516,0.30522088353413657,0.321285140562249,-0.09856664687395096,-0.09770592777058482,0.03453386873006821,-0.11771767834822337,0.04223247536511708,0.0
2019-09-16,250,0.24732073,0.33759755,0.41508177,-0.0902768,0.5367482,0.9667507,0.204,0.344,-0.10369686186313629,-0.10352217638865113,0.013420061767101282,-0.0990396315852801,0.03846903873513701,0.004016064257028162
2019-11-01,250,0.29280615,0.3055802,0.40161365,-0.012774035,0.6034305,0.97396106,0.284,0.3,-0.09124077409505844,-0.10006086239591241,0.07846673876047135,-0.05569453785816828,0.05610318877713945,0.0
2019-11-15,29,0.3159612,0.44034126,0.24369751,-0.124380045,0.72740734,0.9631196,0.27586206896551724,0.4482758620689655,-0.0868545949459076,-0.10866526952013374,-0.03752544969320297,-0.07581029335657756,0.05137987534827257,-0.884
2019-11-16,221,0.22231925,0.31350452,0.4641762,-0.09118529,0.51332474,0.9693532,0.1583710407239819,0.3212669683257919,-0.07652978897094727,-0.09761770283803343,-0.014655497670173642,-0.07611312220493953,0.041576382405442376,6.620689655172414
2019-11-30,96,0.24128276,0.41211987,0.34659734,-0.1708371,0.6429713,0.9664109,0.22916666666666666,0.4479166666666667,-0.09789065420627593,-0.10029266951605678,-0.07294645011425019,-0.1288008118669192,0.057815750290293094,-0.5656108597285068
2019-12-01,154,0.26084292,0.28450722,0.4546499,-0.023664312,0.5658751,0.97200584,0.2532467532467532,0.2987012987012987,-0.08456815667450428,-0.09691202454268932,0.06090384423732757,-0.09522890113294125,0.06696039550008065,0.6041666666666667
2020-01-16,250,0.28407317,0.28338438,0.43254247,0.00068880414,0.5821975,0.97455525,0.268,0.268,-0.08187558877980336,-0.0909154885535827,0.08256439291872084,-0.06460420420626178,0.07073344711121746,0.6233766233766234
2020-02-01,250,0.21851067,0.41800708,0.36348224,-0.19949642,0.59563637,0.97229236,0.188,0.452,-0.09689886349951848,-0.09516956145816949,-0.10259755473816767,-0.07415730884531513,0.08790963968599518,0.0
2020-02-15,81,0.29305324,0.2429332,0.46401355,0.05012004,0.57270265,0.9741917,0.2839506172839506,0.1728395061728395,-0.06863779801642522,-0.08307968984299804,0.11875783879077062,-0.04956252444147443,0.11011459160921669,-0.6759999999999999
2020-02-16,169,0.26780733,0.30626756,0.42592514,-0.038460214,0.5516847,0.9704503,0.2781065088757396,0.31952662721893493,-0.042162419890519234,-0.08101076736056712,0.0037022061995230643,-0.06261219705144565,0.09415698764986685,1.0864197530864197
