date,news_volume,sent_pos_mean,sent_neg_mean,sent_neu_mean,sent_score_mean,sent_score_std,sent_max_neg,sent_pos_ratio,sent_neg_ratio,sent_score_ma5,sent_score_ma20,sent_surprise,sent_momentum_3d,sent_vol_5d,news_volume_chg
2014-01-02,14,0.4421753,0.3074219,0.25040284,0.13475339,0.71055585,0.96533024,0.5,0.2857142857142857,0.13475339114665985,0.13475339114665985,0.0,0.13475339114665985,0.0,0.0
2014-01-03,10,0.43739527,0.402281,0.1603237,0.0351143,0.87985104,0.973411,0.5,0.4,0.08493384532630444,0.08493384532630444,-0.049819545820355415,0.08493384532630444,0.07045547737041447,-0.2857142857142857
2014-01-06,14,0.295162,0.30126667,0.40357134,-0.006104644,0.5800277,0.9526804,0.21428571428571427,0.2857142857142857,0.054587682243436575,0.054587682243436575,-0.06069232616573572,0.054587682243436575,0.0724199971506664,0.3999999999999999
2014-01-07,10,0.31007683,0.33385313,0.35607004,-0.023776297,0.5956384,0.86728984,0.3,0.3,0.034996687551029027,0.034996687551029027,-0.058772984077222645,0.001744453019152085,0.07093423445008845,-0.2857142857142857
2014-01-08,10,0.4350451,0.36252624,0.20242865,0.07251888,0.7218952,0.96390814,0.5,0.3,0.04250112557783723,0.04250112557783723,0.030017752107232808,0.014212645745525757,0.06368148995788424,0.0
2014-01-09,10,0.049676932,0.85622007,0.09410299,-0.8065432,0.25215125,0.9702068,0.0,0.9,-0.1457581869326532,-0.09900625725276768,-0.660784984473139,-0.25260019674897194,0.3712745691049472,0.0
2014-01-10,10,0.35069585,0.43476525,0.21453893,-0.084069386,0.7023884,0.9642363,0.3,0.5,-0.16959492405876517,-0.09687241852017385,0.08552553793415427,-0.2726978932817777,0.3604264572235271,0.0
2014-01-13,17,0.3263819,0.34774315,0.32587498,-0.021361275,0.67959976,0.9394797,0.35294117647058826,0.35294117647058826,-0.17264625020325183,-0.08743352553574368,0.15128497555851936,-0.3039912773917119,0.3587570607075609,0.7
2014-01-14,10,0.3761869,0.39490026,0.2289128,-0.01871336,0.6935993,0.95972776,0.4,0.4,-0.17163366302847863,-0.07979795165980856,0.1529203023761511,-0.041381340473890305,0.3592890407262199,-0.4117647058823529
2014-01-15,10,0.22979362,0.55556786,0.21463855,-0.32577422,0.6221535,0.9227241,0.2,0.7,-0.2512922830879688,-0.1043955787550658,-0.07448193952441218,-0.121949619303147,0.3349536644697725,0.0
2014-01-16,10,0.320473,0.40461048,0.27491656,-0.0841375,0.7003038,0.9673999,0.4,0.3,-0.10681114867329597,-0.10255393517118963,0.02267364934086799,-0.14287502753237882,0.12652965177458547,0.0
2014-01-17,10,0.41693956,0.45149392,0.13156655,-0.034554385,0.8108495,0.9671742,0.4,0.5,-0.09690814837813377,-0.09688730596099049,0.06235376372933388,-0.14815536886453629,0.1306259126494744,0.0
2014-01-20,18,0.26167473,0.4301705,0.30815473,-0.16849579,0.6699621,0.96174896,0.2777777777777778,0.3888888888888889,-0.12633505128324032,-0.1023956508232424,-0.042160737887024874,-0.09572922438383102,0.12583745798885998,0.8
2014-01-21,10,0.3050605,0.5481543,0.14678515,-0.2430938,0.8060014,0.9680169,0.3,0.6,-0.171211139857769,-0.11244551887336586,-0.071882663667202,-0.1487146591146787,0.11760221578953947,-0.4444444444444444
2014-01-22,10,0.0380911,0.68636805,0.2755409,-0.6482769,0.37018996,0.9727544,0.0,0.7,-0.23571168035268783,-0.1481676126209398,-0.41256524473428724,-0.3532888392607371,0.24403972161284743,0.0
2014-01-23,10,0.26354423,0.45571622,0.28073952,-0.19217202,0.7178836,0.9683856,0.2,0.5,-0.2573185846209526,-0.15091788812424056,0.06514656394720075,-0.361180916428566,0.23173703898611547,0.0
2014-01-24,10,0.12711708,0.47285676,0.40002617,-0.34573966,0.6215307,0.9665814,0.1,0.5,-0.3195556402206421,-0.16237799250794685,-0.026184022426605225,-0.3953962028026581,0.19598173623689674,0.0
2014-01-27,19,0.07015163,0.5596328,0.37021562,-0.48948112,0.5057292,0.96751046,0.05263157894736842,0.5789473684210527,-0.38375270664691924,-0.18055038855204153,-0.10572841465473176,-0.34246426820755005,0.18647026410815837,0.8999999999999999
2014-01-28,10,0.47072554,0.08180429,0.4474702,0.38892123,0.46873423,0.5196488,0.4,0.1,-0.2573496997356415,-0.1505781980476489,0.6462709307670593,-0.14876651763916016,0.39888473389723744,-0.4736842105263158
2014-01-29,10,0.17579746,0.7194765,0.10472603,-0.54367906,0.5939681,0.95612866,0.2,0.8,-0.23643012642860411,-0.1702332410728559,-0.3072489321231842,-0.21474631627400717,0.3753026735874362,0.0
2014-01-30,10,0.19763176,0.6430708,0.15929739,-0.4454391,0.7260611,0.972346,0.2,0.6,-0.2870835423469543,-0.19924286564346402,-0.1583555579185486,-0.20006564259529114,0.38480693721198345,0.0
2014-01-31,10,0.062918685,0.7077309,0.22935045,-0.6448122,0.49941465,0.9721219,0.1,0.7,-0.3468980550765991,-0.23323919193353504,-0.2979141712188721,-0.5446434617042542,0.4180149240491602,0.0
2014-02-03,15,0.14382888,0.39786536,0.45830575,-0.2540365,0.4857399,0.9649183,0.06666666666666667,0.3333333333333333,-0.29980912804603577,-0.2456357840448618,0.04577264189720154,-0.4480959375699361,0.41114243635157655,0.5
2014-02-04,9,0.23791414,0.52458024,0.2375056,-0.2866661,0.7548286,0.9703372,0.2222222222222222,0.5555555555555556,-0.43492659330368044,-0.25878027398139236,0.14826049804687502,-0.39517160256703693,0.16635203378988725,-0.4
2014-02-05,10,0.14223444,0.61701536,0.24075024,-0.4747809,0.543735,0.9652424,0.1,0.7,-0.421146959066391,-0.28614526223391296,-0.053633928298950195,-0.33849448959032696,0.15772117093400315,0.11111111111111116
2014-02-06,10,0.16023551,0.5069946,0.3327699,-0.34675908,0.59338033,0.97533756,0.1,0.6,-0.40141095519065856,-0.26315605770796535,0.05465187430381774,-0.3694020211696625,0.1600779264095112,0.0
