market,feature,gain
UK,sent_momentum_3d,0.0003398035478312522
UK,emb_pc27,0.00030801212415099144
UK,emb_pc3,0.00027477979892864823
UK,emb_pc37,0.0002528803306631744
UK,sent_score_mean,0.00024537229910492897
UK,sent_pos_mean,0.00018917446141131222
UK,ftmc,0.0001775550626916811
UK,emb_pc20,0.00017165289318654686
UK,emb_pc41,0.00016714974481146783
UK,emb_pc28,0.00015424450975842774
UK,us5y,0.00015179847832769156
UK,vix9d,0.00014265236677601933
UK,vvix,0.00014102167915552855
UK,nikkei,0.00013868229871150106
UK,isf_close,0.0001357980800094083
UK,ret_lag4,0.0001291159715037793
UK,emb_pc8,0.0001277387491427362
UK,emb_pc23,0.00012699428771156818
UK,emb_pc32,0.00012241075455676764
UK,gold,0.0001222249265993014
UK,isf_oc_gap,0.00011895043280674145
UK,eur,0.00011826230183942243
UK,isf_high,0.00011585607717279345
UK,jpy,0.00011400573566788808
UK,ret_lag5,0.00011380283103790134
UK,emb_pc17,0.000112331603304483
UK,sent_score_ma20,0.00011080261174356565
UK,emb_pc42,0.00010931900033028796
UK,lqd,0.00010829947859747335
UK,emb_pc19,0.00010661242413334548
UK,isf_hl_range,0.00010567038407316431
UK,cad,0.00010400234168628231
UK,us30y,0.00010306604963261634
UK,xlk,0.00010211870539933443
UK,xle,0.00010149121226277202
UK,emb_pc7,0.00010131541057489812
UK,emb_pc25,9.920703450916335e-05
UK,cny,9.87553721643053e-05
UK,dax,9.873544331640005e-05
UK,rolling_skew_20,9.730643796501681e-05
UK,emb_pc35,9.696672350401059e-05
UK,brent,9.35818679863587e-05
UK,emb_pc47,9.34387935558334e-05
UK,sent_surprise,9.009202040033415e-05
UK,hyg,8.958011312643066e-05
UK,isf_open,8.949791663326323e-05
UK,mxn,8.880101086106151e-05
UK,bond,8.843788964441046e-05
UK,emb_pc18,8.761857316130772e-05
UK,ret_lag1,8.75181722221896e-05
UK,ret_lag2,8.744646765990183e-05
UK,rolling_std_20,8.622714813100174e-05
UK,rolling_std_5,8.587279444327578e-05
UK,emb_pc26,8.242938929470256e-05
UK,bitcoin,8.205886115320027e-05
UK,ftse250,7.871275010984391e-05
UK,emb_pc11,7.855267176637426e-05
UK,emb_pc21,7.816118886694312e-05
UK,eth,7.79421316110529e-05
UK,emb_pc24,7.772107346681878e-05
UK,rolling_mean_20,7.764432666590437e-05
UK,sent_score_ma5,7.754642865620553e-05
UK,emb_pc14,7.752638339297846e-05
UK,emb_pc38,7.692736107856035e-05
UK,isf_volume,7.628827006556094e-05
UK,uup,7.513216405641288e-05
UK,ftas,7.467328396160156e-05
UK,news_volume_chg,7.434615690726787e-05
UK,emb_pc5,7.273450319189578e-05
UK,iwm,7.271649519680068e-05
UK,hsi,7.099001959431916e-05
UK,spy,7.057703624013811e-05
UK,emb_pc29,7.046730752335861e-05
UK,emb_pc36,6.99268639436923e-05
UK,rolling_mean_5,6.925969501025975e-05
UK,stoxx50,6.874030805192888e-05
UK,tlt,6.79203076288104e-05
UK,isf_low,6.767041486455128e-05
UK,emb_pc44,6.759468669770285e-05
UK,emb_pc15,6.670100992778316e-05
UK,sent_pos_ratio,6.65976622258313e-05
UK,emb_pc16,6.654322351096198e-05
UK,emb_pc43,6.514468987006694e-05
UK,emb_pc22,6.38582932879217e-05
UK,emb_pc4,6.190245767356828e-05
UK,ret_lag3,6.00734019826632e-05
UK,sent_neu_mean,5.974145096843131e-05
UK,emb_pc1,5.900628457311541e-05
UK,xlf,5.7250410463893786e-05
UK,emb_pc13,5.691191108780913e-05
UK,emb_pc45,5.61491833650507e-05
UK,emb_pc50,5.6100496294675395e-05
UK,emb_pc39,5.5851865909062326e-05
UK,emb_pc30,5.328695988282561e-05
UK,emb_pc49,5.139317363500595e-05
UK,emb_pc33,5.090148624731228e-05
UK,emb_pc48,4.9847891204990447e-05
UK,emb_pc9,4.896012251265347e-05
UK,cac40,4.683919178205542e-05
UK,emb_pc2,4.6202931116567925e-05
UK,emb_pc46,4.380270547699183e-05
UK,oil,4.2836418288061395e-05
UK,sent_neg_mean,4.2142608435824513e-05
UK,emb_pc10,4.123851249460131e-05
UK,vix,4.111406815354712e-05
UK,emb_pc34,3.732834738912061e-05
UK,emb_pc31,3.618787013692781e-05
UK,emb_pc6,3.235856274841353e-05
UK,sent_vol_5d,2.6329831598559394e-05
UK,news_volume,2.132413828803692e-05
UK,emb_pc12,5.670032805937808e-06
