market,feature,gain
UK,absret_lag1,10.707206726074219
UK,ret_lag5,4.351787090301514
UK,absret_lag3,4.190479278564453
UK,emb_pc25,3.9988157749176025
UK,emb_pc22,3.6725692749023438
UK,emb_pc36,3.588770866394043
UK,sent_score_ma20,3.3374907970428467
UK,emb_pc27,3.258798837661743
UK,jpy,3.1228480339050293
UK,ret_lag4,3.0821073055267334
UK,emb_pc45,3.0456883907318115
UK,emb_pc23,3.0372867584228516
UK,emb_pc28,2.944150924682617
UK,sent_score_ma5,2.9271607398986816
UK,emb_pc4,2.909684419631958
UK,emb_pc19,2.8125085830688477
UK,sent_momentum_3d,2.800039529800415
UK,emb_pc32,2.7949554920196533
UK,emb_pc5,2.7885851860046387
UK,emb_pc31,2.751208782196045
UK,xlk,2.704373359680176
UK,emb_pc6,2.6982805728912354
UK,emb_pc29,2.6579749584198
UK,news_volume_chg,2.6184303760528564
UK,emb_pc43,2.6133477687835693
UK,emb_pc18,2.5593113899230957
UK,emb_pc37,2.498838186264038
UK,emb_pc24,2.478444814682007
UK,emb_pc35,2.446190357208252
UK,emb_pc8,2.4301531314849854
UK,emb_pc50,2.404181480407715
UK,emb_pc46,2.3881447315216064
UK,news_volume,2.362136125564575
UK,rolling_absret_5,2.3249993324279785
UK,emb_pc7,2.271923780441284
UK,emb_pc17,2.2678589820861816
UK,emb_pc33,2.265153408050537
UK,emb_pc49,2.225032091140747
UK,emb_pc12,2.187300682067871
UK,emb_pc9,2.1864113807678223
UK,sent_pos_ratio,2.104274272918701
UK,sent_neg_ratio,2.0940539836883545
UK,emb_pc16,2.0901670455932617
UK,sent_score_std,2.0617761611938477
UK,emb_pc42,2.0587422847747803
UK,emb_pc39,2.049689292907715
UK,emb_pc1,2.024533987045288
UK,hyg,2.0098323822021484
UK,emb_pc26,2.0046229362487793
UK,emb_pc47,1.9986881017684937
UK,sent_neg_mean,1.9884170293807983
UK,sent_score_mean,1.9584786891937256
UK,emb_pc10,1.9468936920166016
UK,cac40,1.8827276229858398
UK,absret_lag2,1.8677301406860352
UK,isf_close,1.8534830808639526
UK,stoxx50,1.831498384475708
UK,rolling_std_5,1.81796133518219
UK,isf_low,1.814810037612915
UK,emb_pc2,1.8120613098144531
UK,emb_pc40,1.7835785150527954
UK,ret_lag3,1.7683775424957275
UK,ret_lag1,1.7665187120437622
UK,vix9d,1.755584716796875
UK,rolling_kurt_20,1.747601866722107
UK,eur,1.739339828491211
UK,emb_pc20,1.7362651824951172
UK,sent_surprise,1.735420823097229
UK,rolling_skew_20,1.7351592779159546
UK,ftas,1.7294414043426514
UK,bond,1.698472261428833
UK,emb_pc14,1.6957734823226929
UK,isf_high,1.694767713546753
UK,gold,1.6864478588104248
UK,emb_pc11,1.6801631450653076
UK,ftse250,1.6768475770950317
UK,eth,1.666336178779602
UK,lqd,1.6631739139556885
UK,emb_pc41,1.624350666999817
UK,hsi,1.6192867755889893
UK,vvix,1.5984752178192139
UK,uup,1.5963510274887085
UK,us30y,1.5882554054260254
UK,sent_pos_mean,1.5860450267791748
UK,nikkei,1.5662111043930054
UK,rolling_mean_5,1.549867033958435
UK,ret_lag2,1.545992136001587
UK,isf_volume,1.5415335893630981
UK,brent,1.53041410446167
UK,emb_pc3,1.5288347005844116
UK,xlf,1.5125226974487305
UK,spy,1.506708025932312
UK,bitcoin,1.4970344305038452
UK,emb_pc38,1.4783294200897217
UK,rolling_mean_20,1.4679049253463745
UK,cad,1.4421167373657227
UK,xle,1.4276177883148193
UK,emb_pc21,1.4175684452056885
UK,isf_oc_gap,1.4139035940170288
UK,cny,1.412013292312622
UK,isf_hl_range,1.4112144708633423
UK,rolling_absret_20,1.3858181238174438
UK,dax,1.3263236284255981
UK,emb_pc30,1.3080475330352783
UK,ftmc,1.3066484928131104
UK,isf_open,1.3053494691848755
UK,emb_pc15,1.2723008394241333
UK,iwm,1.2578455209732056
UK,mxn,1.2155203819274902
UK,emb_pc13,1.2136560678482056
UK,emb_pc34,1.2128705978393555
UK,sent_vol_5d,1.181275725364685
UK,oil,1.1222290992736816
UK,emb_pc44,1.1166815757751465
UK,tlt,1.1109392642974854
UK,sent_max_neg,1.0408716201782227
UK,sent_neu_mean,1.0270662307739258
UK,rolling_std_20,0.9884559512138367
UK,us5y,0.9051473736763
UK,emb_pc48,0.8500946760177612
UK,vix,0.5365637540817261
