market,feature,gain
UK,vix9d,0.0007302257581613958
UK,emb_pc28,0.0004442768986336887
UK,absret_lag1,0.00039744991227053106
UK,isf_hl_range,0.0003745368157979101
UK,emb_pc44,0.00035453762393444777
UK,ret_lag4,0.00032340947655029595
UK,bond,0.000306287023704499
UK,bitcoin,0.00029354027356021106
UK,sent_score_ma20,0.00027608475647866726
UK,emb_pc27,0.0002730647393036634
UK,emb_pc29,0.0002462213742546737
UK,news_volume_chg,0.00024445197777822614
UK,vvix,0.00023611552023794502
UK,ret_lag5,0.000213213890674524
UK,emb_pc37,0.00021289272990543395
UK,emb_pc11,0.0001791652903193608
UK,absret_lag3,0.00017237641441170126
UK,emb_pc3,0.0001676215324550867
UK,tlt,0.000161578762345016
UK,emb_pc6,0.0001599327806616202
UK,rolling_kurt_20,0.0001539519289508462
UK,emb_pc10,0.00013652158668264747
UK,lqd,0.0001338012225460261
UK,emb_pc7,0.00012069258809788153
UK,emb_pc21,0.00011775599705288187
UK,emb_pc32,0.00011230727250222117
UK,sent_score_std,0.00011199680739082396
UK,rolling_skew_20,0.0001114808619604446
UK,us5y,0.00011004145926563069
UK,isf_high,0.00010990999726345763
UK,emb_pc38,0.0001091012527467683
UK,emb_pc50,0.00010703601583372802
UK,emb_pc19,0.0001028666301863268
UK,ret_lag1,0.00010251803905703127
UK,ftas,9.955577843356878e-05
UK,us30y,9.609599510440603e-05
UK,emb_pc35,9.495132690062746e-05
UK,sent_momentum_3d,9.427499026060104e-05
UK,emb_pc43,9.395569941261783e-05
UK,emb_pc5,9.272128227166831e-05
UK,sent_neu_mean,8.751876157475635e-05
UK,stoxx50,8.725499355932698e-05
UK,isf_volume,8.409706788370386e-05
UK,emb_pc13,8.345922105945647e-05
UK,gold,8.145320316543803e-05
UK,eur,8.058326784521341e-05
UK,emb_pc45,8.017855725483969e-05
UK,emb_pc9,7.991930760908872e-05
UK,hsi,7.951740553835407e-05
UK,news_volume,7.671394996577874e-05
UK,sent_pos_ratio,7.614753121742979e-05
UK,rolling_std_5,7.591500616399571e-05
UK,emb_pc12,7.311772060347721e-05
UK,ftse250,7.258772529894486e-05
UK,emb_pc49,7.252344948938116e-05
UK,cad,7.223351713037118e-05
UK,rolling_mean_20,7.21938704373315e-05
UK,uup,7.152074977057055e-05
UK,rolling_std_20,7.122668466763571e-05
UK,eth,7.102554809534922e-05
UK,ret_lag3,7.064262172207236e-05
UK,cac40,7.029754488030449e-05
UK,emb_pc24,6.92506437189877e-05
UK,vix,6.886995834065601e-05
UK,sent_neg_mean,6.397590914275497e-05
UK,emb_pc25,6.244920223252848e-05
UK,absret_lag2,6.064629997126758e-05
UK,cny,6.053774632164277e-05
UK,ret_lag2,5.8252557209925726e-05
UK,emb_pc16,5.790026989416219e-05
UK,rolling_mean_5,5.730697375838645e-05
UK,sent_score_ma5,5.535197487915866e-05
UK,emb_pc33,5.444405906018801e-05
UK,rolling_absret_5,5.413308826973662e-05
UK,emb_pc48,5.3418865718413144e-05
UK,emb_pc30,5.3130068408790976e-05
UK,isf_oc_gap,5.186696944292635e-05
UK,emb_pc36,5.062902346253395e-05
UK,emb_pc8,4.7946185077307746e-05
UK,spy,4.742153760162182e-05
UK,xlf,4.741801603813656e-05
UK,xle,4.684493978857063e-05
UK,nikkei,4.6548866521334276e-05
UK,emb_pc1,4.647709283744916e-05
UK,emb_pc31,4.63714859506581e-05
UK,emb_pc17,4.62475472886581e-05
UK,jpy,4.581434768624604e-05
UK,emb_pc47,4.560506931738928e-05
UK,emb_pc14,4.45213881903328e-05
UK,iwm,4.4174670620122924e-05
UK,emb_pc23,4.4140946556581184e-05
UK,emb_pc46,4.405929576023482e-05
UK,emb_pc18,4.398866803967394e-05
UK,emb_pc42,4.3556050513871014e-05
UK,emb_pc40,4.167591396253556e-05
UK,ftmc,4.1025490645552054e-05
UK,emb_pc22,4.0855327824829146e-05
UK,emb_pc20,4.075521428603679e-05
UK,emb_pc26,4.062388325110078e-05
UK,oil,3.994037251686677e-05
UK,mxn,3.8615289668086916e-05
UK,sent_vol_5d,3.814990850514732e-05
UK,dax,3.647445191745646e-05
UK,hyg,3.647264384198934e-05
UK,sent_neg_ratio,3.560745244612917e-05
UK,isf_open,3.4683758713072166e-05
UK,isf_low,3.394836312509142e-05
UK,emb_pc15,3.3751486625988036e-05
UK,isf_close,3.08004418911878e-05
UK,emb_pc4,3.066795761696994e-05
UK,emb_pc2,3.033073153346777e-05
UK,brent,2.8122851290390827e-05
UK,xlk,2.7409705580794252e-05
UK,sent_max_neg,2.7294267056277022e-05
UK,emb_pc39,2.6662957679945976e-05
UK,sent_score_mean,2.4142354959622025e-05
UK,rolling_absret_20,2.3069285816745833e-05
UK,emb_pc34,1.9779985450441018e-05
UK,sent_surprise,1.6901985873118974e-05
UK,emb_pc41,1.617092675587628e-05
UK,sent_pos_mean,9.399484952155035e-06
