market,feature,gain
UK,dow,51.344356536865234
UK,emb_pc3,5.841062545776367
UK,log_absret_lag1,5.11672306060791
UK,emb_pc38,4.549198150634766
UK,emb_pc9,4.272112846374512
UK,emb_pc32,4.216514587402344
UK,emb_pc40,4.023898601531982
UK,sent_neg_ratio,3.9718408584594727
UK,emb_pc47,3.897786855697632
UK,emb_pc48,3.886042594909668
UK,emb_pc45,3.842468023300171
UK,emb_pc12,3.836977243423462
UK,emb_pc26,3.7320539951324463
UK,emb_pc25,3.678997278213501
UK,absret_lag1,3.6439802646636963
UK,emb_pc35,3.6094517707824707
UK,emb_pc16,3.609431505203247
UK,news_volume,3.5695133209228516
UK,emb_pc50,3.518995523452759
UK,emb_pc29,3.5024170875549316
UK,ret_lag5,3.496778964996338
UK,sent_pos_mean,3.441976547241211
UK,emb_pc2,3.4178404808044434
UK,absret_lag3,3.3478145599365234
UK,sent_score_ma5,3.3060739040374756
UK,emb_pc18,3.2417454719543457
UK,emb_pc23,3.1684162616729736
UK,emb_pc36,3.131786584854126
UK,cac40,2.9993526935577393
UK,emb_pc4,2.9253904819488525
UK,sent_x_vix,2.903803586959839
UK,ret_lag3,2.889087677001953
UK,emb_pc37,2.873155117034912
UK,emb_pc14,2.8638532161712646
UK,absret_surprise,2.8264822959899902
UK,emb_pc24,2.802588939666748
UK,emb_pc44,2.7671499252319336
UK,emb_pc39,2.7451069355010986
UK,emb_pc5,2.731184720993042
UK,lqd,2.709541082382202
UK,brent,2.699742555618286
UK,emb_pc13,2.6987876892089844
UK,emb_pc19,2.6928822994232178
UK,emb_pc11,2.677206039428711
UK,vix_ma5_ratio,2.6766159534454346
UK,emb_pc17,2.6548426151275635
UK,us30y,2.63820743560791
UK,emb_pc41,2.565229892730713
UK,rolling_mean_5,2.5133867263793945
UK,nikkei,2.482664108276367
UK,xlk,2.4209864139556885
UK,vix_chg_5d,2.406508445739746
UK,jpy,2.401838779449463
UK,sent_momentum_3d,2.3995468616485596
UK,ret_lag4,2.3930726051330566
UK,rolling_absret_5,2.387897253036499
UK,rolling_kurt_20,2.380307197570801
UK,xlf,2.375844717025757
UK,hyg,2.3744618892669678
UK,isf_oc_gap,2.371429681777954
UK,emb_pc8,2.360971212387085
UK,emb_pc43,2.326216220855713
UK,vol_ratio_5_20,2.3179142475128174
UK,sent_max_neg,2.2778706550598145
UK,emb_pc21,2.2715952396392822
UK,isf_low,2.2602782249450684
UK,bond,2.2515015602111816
UK,bitcoin,2.251437187194824
UK,emb_pc42,2.250021457672119
UK,xle,2.247361898422241
UK,vix9d,2.2347307205200195
UK,emb_pc31,2.2336277961730957
UK,ftas,2.1955018043518066
UK,emb_pc30,2.1876392364501953
UK,emb_pc33,2.1873199939727783
UK,dax,2.1512293815612793
UK,cad,2.143702268600464
UK,sent_vol_5d,2.137629508972168
UK,emb_pc46,2.124941110610962
UK,eth,2.1218907833099365
UK,uup,2.1210086345672607
UK,ftmc,2.1148438453674316
UK,rolling_absret_22,2.109767436981201
UK,emb_pc49,2.084216833114624
UK,emb_pc1,2.0697731971740723
UK,vvix,2.067697286605835
UK,cny,2.0623536109924316
UK,isf_close,2.051377058029175
UK,leverage_5d,2.0132436752319336
UK,news_volume_chg,2.0019352436065674
UK,gold,1.9953604936599731
UK,sent_neg_mean,1.9848192930221558
UK,isf_volume,1.975172758102417
UK,stoxx50,1.975169062614441
UK,ftse250,1.9727658033370972
UK,emb_pc28,1.9575555324554443
UK,sent_pos_ratio,1.8924798965454102
UK,vix,1.8794705867767334
UK,sent_score_std,1.8456218242645264
UK,ret_lag2,1.8349310159683228
UK,absret_lag2,1.8306983709335327
UK,hsi,1.8066842555999756
UK,rolling_mean_20,1.8000215291976929
UK,isf_high,1.7979236841201782
UK,rolling_skew_20,1.7774428129196167
UK,rolling_std_5,1.7751554250717163
UK,oil,1.7660492658615112
UK,sent_neu_mean,1.7592679262161255
UK,isf_hl_range,1.7556687593460083
UK,rolling_std_20,1.7385717630386353
UK,ret_lag1,1.7329297065734863
UK,sign_run,1.72430419921875
UK,rsi_14,1.7019509077072144
UK,emb_pc10,1.6994646787643433
UK,leverage_20d,1.6992483139038086
UK,tlt,1.697473406791687
UK,vix_chg_1d,1.681915283203125
UK,rolling_absret_20,1.6735994815826416
UK,emb_pc15,1.626224160194397
UK,emb_pc27,1.5403623580932617
UK,rolling_std_22,1.5057300329208374
UK,emb_pc34,1.5012530088424683
UK,sent_score_mean,1.4812359809875488
UK,spy,1.476392149925232
UK,mxn,1.457997441291809
UK,eur,1.4517172574996948
UK,us5y,1.450217843055725
UK,sent_surprise,1.4352606534957886
UK,isf_open,1.4049152135849
UK,sent_x_vol,1.35808527469635
UK,emb_pc20,1.3373233079910278
UK,emb_pc22,1.2548587322235107
UK,iwm,1.228988766670227
UK,sent_score_ma20,1.1622127294540405
UK,emb_pc6,0.9967514276504517
UK,emb_pc7,0.654504120349884
