market,feature,gain
UK,dow,1982.2744140625
UK,absret_surprise,204.01715087890625
UK,ret_lag4,162.3971710205078
UK,ret_lag5,60.595645904541016
UK,rolling_std_20,25.10658073425293
UK,emb_pc25,23.071624755859375
UK,emb_pc3,21.028364181518555
UK,emb_pc28,19.575881958007812
UK,lqd,19.299352645874023
UK,emb_pc42,18.757835388183594
UK,emb_pc10,18.7233943939209
UK,emb_pc17,18.495019912719727
UK,emb_pc21,18.175769805908203
UK,sent_score_mean,17.49689483642578
UK,isf_low,17.27695655822754
UK,sent_score_ma20,16.893877029418945
UK,ret_lag3,16.639963150024414
UK,rolling_mean_20,16.596553802490234
UK,emb_pc39,16.45836067199707
UK,sent_score_std,16.394121170043945
UK,emb_pc1,16.39151382446289
UK,leverage_20d,16.343936920166016
UK,news_volume_chg,16.083345413208008
UK,emb_pc20,15.203826904296875
UK,emb_pc36,15.032608985900879
UK,cad,14.110495567321777
UK,isf_hl_range,14.048806190490723
UK,emb_pc16,14.004210472106934
UK,sent_pos_ratio,13.483406066894531
UK,sent_score_ma5,13.463495254516602
UK,rolling_std_5,13.33453369140625
UK,hsi,13.212967872619629
UK,emb_pc15,12.957470893859863
UK,isf_close,12.41277027130127
UK,emb_pc8,12.27338981628418
UK,emb_pc46,12.249281883239746
UK,eth,11.778996467590332
UK,sent_vol_5d,11.764297485351562
UK,eur,11.489405632019043
UK,emb_pc37,11.393768310546875
UK,sent_neg_ratio,11.29261302947998
UK,rolling_skew_20,10.951131820678711
UK,ftse250,10.909995079040527
UK,emb_pc6,10.905708312988281
UK,absret_lag2,10.70380687713623
UK,emb_pc22,10.657636642456055
UK,sign_run,10.638785362243652
UK,emb_pc2,10.407273292541504
UK,mxn,10.31393051147461
UK,xle,10.306653022766113
UK,tlt,10.277409553527832
UK,rolling_std_22,10.212321281433105
UK,sent_neg_mean,9.931097030639648
UK,brent,9.93017578125
UK,oil,9.615888595581055
UK,rsi_14,9.6146240234375
UK,rolling_absret_5,9.582545280456543
UK,emb_pc30,9.506598472595215
UK,emb_pc47,9.328461647033691
UK,isf_open,9.317377090454102
UK,ftas,9.265226364135742
UK,vix9d,9.261701583862305
UK,iwm,8.794325828552246
UK,sent_neu_mean,8.755199432373047
UK,emb_pc29,8.524672508239746
UK,bitcoin,8.518248558044434
UK,rolling_absret_20,8.481204986572266
UK,emb_pc32,8.448845863342285
UK,emb_pc19,8.42680835723877
UK,leverage_5d,8.338120460510254
UK,sent_pos_mean,8.20211124420166
UK,us30y,7.954477787017822
UK,vol_ratio_5_20,7.870861053466797
UK,uup,7.679290771484375
UK,emb_pc35,7.669678688049316
UK,emb_pc50,7.621204853057861
UK,emb_pc13,7.592055320739746
UK,stoxx50,7.489299774169922
UK,ret_lag1,7.467702865600586
UK,ret_lag2,7.3888702392578125
UK,emb_pc43,7.369784355163574
UK,bond,7.348645210266113
UK,emb_pc12,7.305155277252197
UK,cny,7.0916666984558105
UK,absret_lag1,6.952256202697754
UK,us5y,6.868035793304443
UK,emb_pc5,6.841351509094238
UK,spy,6.7891082763671875
UK,vvix,6.7103376388549805
UK,xlk,6.659332752227783
UK,emb_pc44,6.650651454925537
UK,absret_lag3,6.575015544891357
UK,emb_pc48,6.5536208152771
UK,gold,6.448136806488037
UK,isf_high,6.350976943969727
UK,nikkei,6.220125675201416
UK,jpy,6.216732978820801
UK,isf_oc_gap,6.196169853210449
UK,rolling_absret_22,6.0887322425842285
UK,sent_max_neg,5.7906813621521
UK,rolling_kurt_20,5.765504837036133
UK,hyg,5.731404781341553
UK,emb_pc26,5.654757976531982
UK,news_volume,5.6267924308776855
UK,rolling_mean_5,5.600502014160156
UK,vix_chg_1d,5.596818447113037
UK,isf_volume,5.583489418029785
UK,emb_pc38,5.505739212036133
UK,vix_chg_5d,5.501243591308594
UK,emb_pc34,5.4611334800720215
UK,vix,5.349884510040283
UK,dax,5.213638782501221
UK,emb_pc11,5.196645259857178
UK,cac40,5.105000019073486
UK,emb_pc7,4.849684715270996
UK,emb_pc24,4.829070091247559
UK,emb_pc18,4.74747371673584
UK,emb_pc45,4.722451686859131
UK,vix_ma5_ratio,4.632201671600342
UK,emb_pc27,4.553056240081787
UK,emb_pc9,4.195493221282959
UK,emb_pc40,4.16881799697876
UK,emb_pc14,4.016396999359131
UK,emb_pc49,3.995426893234253
UK,emb_pc4,3.9867544174194336
UK,sent_momentum_3d,3.9300432205200195
UK,log_absret_lag1,3.8700685501098633
UK,emb_pc33,3.8323936462402344
UK,emb_pc31,3.7755494117736816
UK,emb_pc23,3.728109836578369
UK,sent_x_vol,2.9725306034088135
UK,xlf,2.6430864334106445
UK,sent_surprise,2.167189598083496
