target,group,n_feat,r2,auc,acc,baseline
vol1,AR_Only,25,-0.11047917915851424,,,
vol1,Financial_Only,20,-0.12948248957639752,,,
vol1,News_Pure,31,-0.12681272407199828,,,
vol1,AR+News,56,-0.15675228056279633,,,
vol1,Full,76,-0.27282849482861926,,,
vol5,AR_Only,25,-0.15304176372315248,,,
vol5,Financial_Only,20,-0.32421933750900944,,,
vol5,News_Pure,31,-0.522229254240097,,,
vol5,AR+News,56,-0.18100587208689345,,,
vol5,Full,76,-0.14024965721121108,,,
vol10,AR_Only,25,-0.3512382729443593,,,
vol10,Financial_Only,20,-0.30809210688925504,,,
vol10,News_Pure,31,-0.7320807260697899,,,
vol10,AR+News,56,-0.435418367853869,,,
vol10,Full,76,-0.5032097177744688,,,
dir1,AR_Only,25,,0.48687510811278323,0.49078341013824883,0.5668202764976958
dir1,Financial_Only,20,,0.5067246151184917,0.5391705069124424,0.5668202764976958
dir1,News_Pure,31,,0.4520519806261892,0.5207373271889401,0.5668202764976958
dir1,AR+News,56,,0.5111788617886179,0.5230414746543779,0.5668202764976958
dir1,Full,76,,0.5049731880297527,0.49078341013824883,0.5668202764976958
dir5,AR_Only,25,,0.5082929890622199,0.49653579676674364,0.6096997690531177
dir5,Financial_Only,20,,0.4697417966648736,0.5681293302540416,0.6096997690531177
dir5,News_Pure,31,,0.5024878967186659,0.5773672055427251,0.6096997690531177
dir5,AR+News,56,,0.5077774789313251,0.4780600461893764,0.6096997690531177
dir5,Full,76,,0.5071274878967187,0.4780600461893764,0.6096997690531177
