target,model,point,ci_low,ci_high
vol1,XGBoost,-0.3446260485558823,-0.6238299899106462,-0.13874333298083588
vol1,LightGBM,-0.3225729368445649,-0.5874419966342519,-0.14348125360905406
vol1,RandomForest,-0.011225114008472925,-0.09192922142705875,0.08170751915104765
vol1,Ridge,-0.0489840294268038,-0.14211394080689702,0.04114688943610769
vol1,Stacking,-0.4741115732666763,-0.8099501125307498,-0.24485582348870596
vol5,XGBoost,-0.14502851757876,-0.6448312353808215,0.12568411202571236
vol5,LightGBM,-0.0010450927719332093,-0.3359049584463123,0.17948626578000246
vol5,RandomForest,-0.6878546683493243,-1.649294002095077,-0.12324532737840804
vol5,Ridge,-1.4528129035845976,-3.0493917447665466,-0.4595445991103284
vol5,Stacking,-0.0944880117128537,-0.5945766999992523,0.16726230588938734
vol10,XGBoost,-0.2408595184322604,-1.6087553230805518,0.19968236143398202
vol10,LightGBM,-0.10260226536281758,-1.041532697179478,0.18680420761954292
vol10,RandomForest,-1.8489488266892495,-5.757385807514192,-0.601772957023425
vol10,Ridge,-9.971939237525682,-25.46875526465569,-4.400585263470629
vol10,Stacking,-0.4802095987787147,-2.3465725318140698,0.10542654547948827
dir1,XGBoost,0.4692311018854869,0.414779457733357,0.523795832291532
dir1,LightGBM,0.5030055353745027,0.45167966007813964,0.5596798005163834
dir1,RandomForest,0.5357637087009168,0.48640410597308215,0.5861801556906582
dir1,Logit,0.4987458917142363,0.44827426403822146,0.5417142149860719
dir1,Stacking,0.5179250994637605,0.4648955397243675,0.5719159722322679
dir5,XGBoost,0.4819571454186839,0.40521798780487805,0.5665641455844573
dir5,LightGBM,0.4995069033530572,0.42002806720621316,0.5780835115312054
dir5,RandomForest,0.45373856912318455,0.37608094679120385,0.5448475515924756
dir5,Logit,0.4401784113322575,0.36320808841410457,0.5319773255813953
dir5,Stacking,0.5282409897794513,0.4448139266055131,0.6103343242879751
