target,group,mean,sd,n_folds
vol1,AR_Only,-0.1083876553101295,0.05637559486200742,5
vol1,Financial_Only,-0.13713777288789158,0.0679708158096632,5
vol1,News_Pure,-0.09125263335297981,0.0850790974502716,5
vol1,AR+News,-0.13691610375372024,0.03561060322788832,5
vol1,Full,-0.1279231742261,0.06161370201370669,5
vol5,AR_Only,0.04004930529244057,0.2327347136933808,5
vol5,Financial_Only,-0.5133002814465824,0.4583446003637491,5
vol5,News_Pure,-0.5175111465435034,0.5326122993516044,5
vol5,AR+News,-0.01413172773572513,0.20993156214720157,5
vol5,Full,-0.1796905526678162,0.38266418204465996,5
vol10,AR_Only,-0.022641688173567952,0.27690852961075213,5
vol10,Financial_Only,-0.9439406118237115,1.4678374539365848,5
vol10,News_Pure,-0.49668701409186405,0.35175973859980836,5
vol10,AR+News,-0.0782188825219674,0.3110597685977692,5
vol10,Full,-0.4541964301192077,0.8383130928294448,5
dir1,AR_Only,0.5139171181481162,0.02983992825630745,5
dir1,Financial_Only,0.48680787937317616,0.044269666953816525,5
dir1,News_Pure,0.49924508772940007,0.03242765689536554,5
dir1,AR+News,0.4876817344194556,0.028771518827247895,5
dir1,Full,0.5078462910537793,0.021747876826696263,5
dir5,AR_Only,0.5076427709943331,0.06244920721682503,5
dir5,Financial_Only,0.5382576636172909,0.027563796081512066,5
dir5,News_Pure,0.5052162677844791,0.046005844628865776,5
dir5,AR+News,0.5144969328925638,0.052555214682065976,5
dir5,Full,0.5034165004942991,0.04561185278553737,5
