Date,Headline,gold,oil,bond,cad,cny,eur,jpy,mxn,vix,bitcoin,ETF,iwm,dia,xlk,soxx,smh,xlf,xle,xlv,uup,hyg,lqd,tlt,us5y,us30y,vix9d,vvix,nikkei,hsi,eth,qqq_close,qqq_open,qqq_high,qqq_low,qqq_volume,qqq_hl_range,qqq_oc_gap,news_volume,sent_pos_mean,sent_neg_mean,sent_neu_mean,sent_score_mean,sent_score_std,sent_max_neg,sent_pos_ratio,sent_neg_ratio,sent_score_ma5,sent_score_ma20,sent_surprise,sent_momentum_3d,sent_vol_5d,news_volume_chg,news_available
2014-01-02,Russell Banks: By the Book,1225.2,95.44,2.991,1.0668,6.0507,0.7314,104.76,13.15,14.23,856.9,148.5802459716797,97.35974884033205,128.05368041992188,15.22532081604004,20.93689346313477,18.50525665283203,14.06775188446045,27.449317932128903,45.176395416259766,18.08642196655273,48.21728515625,74.4688949584961,72.75748443603516,1.715999960899353,3.9189999103546143,13.829999923706056,73.13999938964844,16291.3095703125,23340.05078125,,79.04363250732422,79.29724456782219,79.32441556103431,78.81719835026044,29177500.0,0.0064169268881573,-0.0031982455617491,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014-01-03,Annual Sales for American Automakers Reach a 6-Year High,1238.6,93.96,2.998,1.0632,6.0515,0.7359,104.82,13.097,13.76,884.3,148.5558624267578,97.8545913696289,128.2721405029297,15.152186393737791,20.87557983398437,18.44796371459961,14.16481590270996,27.348648071289062,45.28290939331055,18.161609649658203,48.20174026489258,74.57952117919922,72.75748443603516,1.7269999980926514,3.930000066757202,12.170000076293944,70.02999877929688,16291.3095703125,22817.279296875,,78.47301483154297,79.0436263753977,79.11608695849016,78.45490314088063,35723700.0,0.008425620183306,-0.0072189443984357,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014-01-04,"Help the Working Poor, but Share the Burden",1238.6,93.96,2.998,1.0632,6.0515,0.7359,104.82,13.097,13.76,924.7,148.5558624267578,97.8545913696289,128.2721405029297,15.152186393737791,20.87557983398437,18.44796371459961,14.16481590270996,27.348648071289062,45.28290939331055,18.161609649658203,48.20174026489258,74.57952117919922,72.75748443603516,1.7269999980926514,3.930000066757202,12.170000076293944,70.02999877929688,16291.3095703125,22817.279296875,,78.47301483154297,79.0436263753977,79.11608695849016,78.45490314088063,35723700.0,0.008425620183306,-0.0072189443984357,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014-01-05,Democrats Press Revival of Jobless Aid That Expired,1238.6,93.96,2.998,1.0632,6.0515,0.7359,104.82,13.097,13.76,1014.7,148.5558624267578,97.8545913696289,128.2721405029297,15.152186393737791,20.87557983398437,18.44796371459961,14.16481590270996,27.348648071289062,45.28290939331055,18.161609649658203,48.20174026489258,74.57952117919922,72.75748443603516,1.7269999980926514,3.930000066757202,12.170000076293944,70.02999877929688,16291.3095703125,22817.279296875,,78.47301483154297,79.0436263753977,79.11608695849016,78.45490314088063,35723700.0,0.008425620183306,-0.0072189443984357,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014-01-06,"Growth Returns to Tech, but Profits Will Not Be So Easy",1238.0,93.43,2.958,1.0653,6.0527,0.7338,104.21,13.076,13.55,1012.7,148.12539672851562,97.06112670898438,127.88206481933594,15.126375198364258,20.77338981628418,18.328975677490234,14.177754402160645,27.386398315429688,45.09444046020508,18.11148452758789,48.305397033691406,74.74223327636719,73.063720703125,1.6970000267028809,3.8980000019073486,12.510000228881836,68.33000183105469,15908.8798828125,22684.150390625,,78.18315887451172,78.49111281665954,78.58168506662547,77.89332352848892,32073100.0,0.0088044733424164,-0.0039234243355313,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014-01-07,Daily Report: Soft Smartphone Sales Lead to Decline in Samsungs Profit,1229.6,93.67,2.941,1.0764,6.0512,0.7345,104.6,13.007,12.92,879.9,149.0351104736328,97.87168884277344,128.72471618652344,15.26404857635498,20.91645240783692,18.390674591064453,14.184224128723145,27.59403610229492,45.56972503662109,18.161609649658203,48.305397033691406,74.6836929321289,73.24885559082031,1.6740000247955322,3.88100004196167,11.56999969482422,68.33000183105469,15814.3701171875,22712.779296875,,78.90778350830078,78.54548744755736,79.02552679119779,78.40056625917094,25860600.0,0.0079201379666316,0.0046125636560001,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014-01-08,U.S. Treasury Secretary Urges Germany to Do More on Banks and Economy,1225.5,92.33,2.991,1.0818,6.0512,0.7366,104.83,13.127,12.87,938.8,149.06764221191406,97.9996566772461,128.2409210205078,15.26404857635498,21.22886276245117,18.5889892578125,14.22952651977539,27.402124404907227,45.97126007080078,18.19502830505371,48.27428817749024,74.36474609375,73.0494384765625,1.7599999904632568,3.9030001163482666,11.619999885559082,68.33000183105469,16121.4501953125,22996.58984375,,79.07986450195312,78.92589093029252,79.2972462727681,78.75379875595289,27197400.0,0.006872135153972,0.0019508626364014,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014-01-09,European Central Bank Set to Do Whatever It Takes to Bolster Recovery,1229.4,91.66,2.969,1.0837,6.055,0.735,104.82,13.08,12.89,937.0,149.1651153564453,98.0252685546875,128.1160888671875,15.165098190307615,21.07120132446289,18.42593002319336,14.281293869018556,27.317188262939453,46.31542205810547,18.17831802368164,48.34684371948242,74.53398895263672,73.4767074584961,1.7450000047683716,3.872999906539917,11.75,68.33000183105469,15880.330078125,22787.330078125,,78.81718444824219,79.36968424684393,79.37874354639077,78.54546765382516,23674700.0,0.0105722616000423,-0.0069610935692202,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014-01-10,Growth in Jobs Slows Sharply to 3-Year Low,1246.9,92.72,2.86,1.0891,6.0521,0.7316,104.12,12.957,12.14,957.8,149.5712127685547,98.56275939941406,128.10830688476562,15.195209503173828,21.16754913330078,18.500850677490234,14.25540828704834,27.33921432495117,46.49571990966797,18.103132247924805,48.491947174072266,74.93751525878906,74.35262298583984,1.6230000257492063,3.796000003814697,9.970000267028809,67.73999786376953,15912.0595703125,22846.25,,79.07080078125,79.00739950140225,79.1613730510009,78.41866938268956,38008900.0,0.0093928942286297,0.0008024726829115,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
2014-01-11,"Bailout Risk, Far Beyond the Banks",1246.9,92.72,2.86,1.0891,6.0521,0.7316,104.12,12.957,12.14,1005.3,149.5712127685547,98.56275939941406,128.10830688476562,15.195209503173828,21.16754913330078,18.500850677490234,14.25540828704834,27.33921432495117,46.49571990966797,18.103132247924805,48.491947174072266,74.93751525878906,74.35262298583984,1.6230000257492063,3.796000003814697,9.970000267028809,67.73999786376953,15912.0595703125,22846.25,,79.07080078125,79.00739950140225,79.1613730510009,78.41866938268956,38008900.0,0.0093928942286297,0.0008024726829115,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
