market,feature,gain
US,emb_pc26,0.007774366531521082
US,vix9d,0.0016264606965705752
US,emb_pc6,0.0012434212258085608
US,vix,0.0011272924020886421
US,rolling_std_20,0.0010134712792932987
US,emb_pc34,0.0009530163370072842
US,emb_pc22,0.0008825759286992252
US,emb_pc27,0.0006313754711300135
US,news_volume_chg,0.0005964637966826558
US,us5y,0.0005579780554398894
US,qqq_low,0.0005283534410409629
US,emb_pc25,0.0004963829996995628
US,ret_lag4,0.00047616762458346784
US,rolling_kurt_20,0.0004711286164820194
US,emb_pc15,0.0004491523141041398
US,emb_pc28,0.0004489976563490927
US,sent_score_ma5,0.0004408261738717556
US,emb_pc19,0.0004261708236299455
US,ret_lag5,0.00042305857641622424
US,qqq_open,0.0004199178656563163
US,absret_lag3,0.00041806584340520203
US,absret_lag2,0.00039192792610265315
US,absret_lag1,0.00035393540747463703
US,emb_pc8,0.0003518082376103848
US,emb_pc13,0.00032342641497962177
US,qqq_volume,0.0003082329058088362
US,emb_pc32,0.0003039364528376609
US,rolling_skew_20,0.0002956670941784978
US,rolling_mean_20,0.00029523595003411174
US,rolling_absret_5,0.0002908302703872323
US,emb_pc7,0.0002871494507417083
US,vvix,0.00028504920192062855
US,emb_pc10,0.00026899686781689525
US,rolling_mean_5,0.0002503174473531544
US,emb_pc11,0.00023415946634486318
US,dia,0.00022366945631802082
US,ret_lag3,0.00022316454851534218
US,sent_max_neg,0.00021714311151299626
US,ret_lag1,0.00021027837647125125
US,rolling_absret_20,0.00020376288739498705
US,qqq_high,0.00019216653890907764
US,sent_vol_5d,0.00018199025362264365
US,emb_pc12,0.00017850515723694116
US,rolling_std_5,0.0001732726814225316
US,sent_score_ma20,0.00017232145182788372
US,hyg,0.00017144235607702285
US,nikkei,0.00016632350161671638
US,eth,0.0001626677403692156
US,xlv,0.00016047668759711087
US,hsi,0.00015906467160675675
US,emb_pc3,0.00015697084018029273
US,oil,0.00015053321840241551
US,sent_pos_mean,0.00014941567496862262
US,us30y,0.00014126095629762858
US,qqq_oc_gap,0.00014033008483238518
US,bitcoin,0.00013861212937626988
US,ret_lag2,0.0001335208216914907
US,gold,0.0001318254362558946
US,emb_pc4,0.00013151444727554917
US,cny,0.00012940718443132937
US,smh,0.00011460074165370315
US,qqq_hl_range,0.00010925204696832225
US,emb_pc16,0.00010848999954760075
US,sent_momentum_3d,0.00010789497173391283
US,sent_neg_mean,0.00010316492262063548
US,eur,0.00010182847472606227
US,emb_pc41,9.893935930449516e-05
US,bond,9.496793791186064e-05
US,sent_neg_ratio,9.460650471737608e-05
US,emb_pc17,9.333426714874804e-05
US,emb_pc46,8.930340845836326e-05
US,emb_pc9,8.654210978420451e-05
US,sent_score_mean,8.541298302588984e-05
US,emb_pc31,8.256343426182866e-05
US,emb_pc30,7.981254020705819e-05
US,emb_pc50,7.922587246866897e-05
US,news_volume,7.490706047974527e-05
US,soxx,7.099245704011992e-05
US,lqd,7.065006502671167e-05
US,jpy,7.012038986431435e-05
US,sent_surprise,6.798199319746345e-05
US,emb_pc18,6.654060416622087e-05
US,xlk,6.595640297746286e-05
US,xle,6.568747630808502e-05
US,emb_pc29,6.128614040790126e-05
US,emb_pc1,6.059770021238364e-05
US,emb_pc42,5.639984374283813e-05
US,cad,5.582980520557612e-05
US,emb_pc2,5.5659376812400296e-05
US,qqq_close,5.1836712373187765e-05
US,emb_pc45,5.034733476350084e-05
US,emb_pc5,4.7546884161420166e-05
US,mxn,4.5770313590765e-05
US,emb_pc36,4.535390326054767e-05
US,emb_pc33,4.4621843699133024e-05
US,iwm,4.33621826232411e-05
US,sent_pos_ratio,4.325617555878125e-05
US,tlt,4.2306612158427015e-05
US,sent_score_std,4.2156592826358974e-05
US,emb_pc40,4.188413731753826e-05
US,uup,4.1609007894294336e-05
US,emb_pc37,3.747227310668677e-05
US,emb_pc23,3.618723349063657e-05
US,emb_pc14,3.598267358029261e-05
US,xlf,3.528579691192135e-05
US,emb_pc20,3.485404886305332e-05
US,emb_pc48,3.442755769356154e-05
US,emb_pc47,2.9562510462710634e-05
US,emb_pc24,2.4768647563178092e-05
US,emb_pc43,2.3324217181652784e-05
US,emb_pc49,1.8115111743099988e-05
US,emb_pc39,9.757744919625111e-06
US,emb_pc21,7.702433322265279e-06
US,emb_pc35,5.9544963733060285e-06
