market,feature,gain
US,sent_score_std,5.245623588562012
US,emb_pc14,4.836426258087158
US,emb_pc38,4.587062358856201
US,emb_pc2,3.920275926589966
US,emb_pc48,3.8062405586242676
US,emb_pc6,3.767888069152832
US,emb_pc40,3.5760574340820312
US,emb_pc5,3.426271438598633
US,emb_pc10,3.384809970855713
US,sent_neg_ratio,3.3151209354400635
US,us5y,3.2885007858276367
US,emb_pc7,3.166456937789917
US,emb_pc1,3.0848991870880127
US,iwm,3.063490390777588
US,emb_pc24,3.0040881633758545
US,emb_pc17,2.983591318130493
US,emb_pc18,2.923598051071167
US,emb_pc47,2.884733200073242
US,news_volume,2.8697400093078613
US,emb_pc29,2.789731025695801
US,emb_pc34,2.7818078994750977
US,emb_pc8,2.748983383178711
US,emb_pc31,2.723437786102295
US,sent_neu_mean,2.7021877765655518
US,ret_lag2,2.6588616371154785
US,jpy,2.6159281730651855
US,emb_pc36,2.6014537811279297
US,sent_x_vix,2.5717759132385254
US,emb_pc25,2.5446016788482666
US,ret_lag4,2.5052058696746826
US,xlk,2.488060712814331
US,sign_run,2.487165927886963
US,emb_pc33,2.4620048999786377
US,emb_pc43,2.392956256866455
US,sent_momentum_3d,2.3827786445617676
US,uup,2.364661931991577
US,eur,2.343653678894043
US,ret_lag1,2.3424508571624756
US,rolling_absret_5,2.3368985652923584
US,hyg,2.329010009765625
US,sent_max_neg,2.3289215564727783
US,sent_score_ma5,2.327903985977173
US,emb_pc4,2.3101987838745117
US,emb_pc49,2.293210744857788
US,rolling_absret_22,2.2775936126708984
US,log_absret_lag1,2.246029853820801
US,oil,2.2352287769317627
US,rsi_14,2.2135655879974365
US,emb_pc16,2.211970090866089
US,emb_pc50,2.1961898803710938
US,leverage_5d,2.1945769786834717
US,qqq_low,2.193253993988037
US,emb_pc41,2.1785097122192383
US,qqq_high,2.1748359203338623
US,emb_pc35,2.160606861114502
US,xle,2.157914876937866
US,emb_pc28,2.153745174407959
US,emb_pc37,2.1507370471954346
US,gold,2.136594533920288
US,us30y,2.1301732063293457
US,cny,2.1289844512939453
US,qqq_oc_gap,2.1177256107330322
US,xlf,2.1089110374450684
US,sent_vol_5d,2.0974068641662598
US,nikkei,2.0877671241760254
US,vol_ratio_5_20,2.082901954650879
US,emb_pc46,2.0783462524414062
US,emb_pc20,2.0622520446777344
US,emb_pc12,2.0526816844940186
US,dow,2.0456292629241943
US,qqq_volume,2.0379414558410645
US,soxx,2.028308629989624
US,xlv,2.0265090465545654
US,eth,2.009953022003174
US,rolling_mean_20,2.0022640228271484
US,sent_x_vol,2.001298189163208
US,vix,2.000791072845459
US,ret_lag5,1.9796825647354126
US,qqq_hl_range,1.972536563873291
US,absret_surprise,1.957230806350708
US,emb_pc21,1.9566030502319336
US,emb_pc9,1.941794753074646
US,rolling_mean_5,1.9404799938201904
US,emb_pc3,1.9385316371917725
US,bond,1.9366283416748047
US,news_volume_chg,1.9332408905029297
US,emb_pc22,1.9233916997909546
US,absret_lag3,1.9192761182785034
US,absret_lag2,1.9100136756896973
US,vix9d,1.889892578125
US,qqq_open,1.8898310661315918
US,rolling_std_5,1.8860995769500732
US,rolling_std_22,1.875327467918396
US,smh,1.874974012374878
US,vvix,1.8691420555114746
US,emb_pc42,1.865986704826355
US,vix_chg_1d,1.8646314144134521
US,tlt,1.8590763807296753
US,vix_chg_5d,1.836295247077942
US,hsi,1.8308320045471191
US,emb_pc39,1.8160587549209595
US,mxn,1.813065767288208
US,emb_pc26,1.7900854349136353
US,sent_score_ma20,1.7893269062042236
US,absret_lag1,1.7852193117141724
US,emb_pc11,1.7835885286331177
US,dia,1.7784173488616943
US,ret_lag3,1.7580698728561401
US,bitcoin,1.7540650367736816
US,emb_pc19,1.722876787185669
US,rolling_skew_20,1.722588062286377
US,vix_ma5_ratio,1.7194920778274536
US,lqd,1.7020889520645142
US,leverage_20d,1.6926718950271606
US,sent_neg_mean,1.6840797662734985
US,sent_pos_mean,1.590043544769287
US,emb_pc32,1.585594892501831
US,rolling_absret_20,1.584593653678894
US,emb_pc13,1.5770946741104126
US,sent_score_mean,1.526350498199463
US,sent_surprise,1.4765429496765137
US,emb_pc45,1.4466395378112793
US,emb_pc44,1.440502405166626
US,cad,1.4247344732284546
US,emb_pc27,1.4214588403701782
US,rolling_kurt_20,1.40679931640625
US,emb_pc15,1.4041215181350708
US,emb_pc23,1.4040602445602417
US,qqq_close,1.361726999282837
US,emb_pc30,1.357062816619873
US,rolling_std_20,1.2262614965438843
US,sent_pos_ratio,0.8850108981132507
