market,feature,gain
US,vix,14.566388130187988
US,vix9d,13.322118759155273
US,leverage_5d,8.538269996643066
US,leverage_20d,6.4767889976501465
US,qqq_hl_range,6.338881015777588
US,emb_pc42,5.880711078643799
US,news_volume_chg,5.736826419830322
US,emb_pc7,5.6621246337890625
US,rsi_14,5.550904750823975
US,sent_surprise,5.490994930267334
US,emb_pc34,5.334383010864258
US,emb_pc9,5.327314376831055
US,emb_pc37,5.284264087677002
US,emb_pc6,5.270018100738525
US,emb_pc47,5.1683173179626465
US,ret_lag1,5.143435478210449
US,qqq_open,4.999772071838379
US,soxx,4.997819900512695
US,qqq_low,4.902474403381348
US,dia,4.9012956619262695
US,emb_pc26,4.88784646987915
US,rolling_mean_20,4.859271049499512
US,sent_x_vol,4.845928192138672
US,eur,4.839481830596924
US,rolling_mean_5,4.830990791320801
US,emb_pc49,4.802071571350098
US,lqd,4.745434284210205
US,emb_pc22,4.727440357208252
US,emb_pc19,4.658962249755859
US,qqq_oc_gap,4.603260040283203
US,qqq_high,4.558549404144287
US,rolling_absret_20,4.551462173461914
US,gold,4.53062629699707
US,qqq_volume,4.509063243865967
US,rolling_absret_5,4.49663782119751
US,emb_pc48,4.482965469360352
US,rolling_std_20,4.432831764221191
US,emb_pc32,4.390294551849365
US,emb_pc11,4.37738561630249
US,news_volume,4.345088958740234
US,rolling_std_5,4.329264163970947
US,log_absret_lag1,4.289181709289551
US,absret_surprise,4.283060073852539
US,emb_pc31,4.275833606719971
US,emb_pc45,4.273601531982422
US,emb_pc18,4.264787673950195
US,emb_pc8,4.2472052574157715
US,absret_lag2,4.229699611663818
US,rolling_std_22,4.226109027862549
US,emb_pc36,4.224950313568115
US,absret_lag1,4.209571838378906
US,emb_pc2,4.198089599609375
US,emb_pc4,4.190341949462891
US,rolling_absret_22,4.183629989624023
US,oil,4.17732572555542
US,emb_pc29,4.158096790313721
US,sent_score_mean,4.116070747375488
US,vix_chg_1d,4.099610328674316
US,emb_pc5,4.093099594116211
US,sent_x_vix,4.087449073791504
US,tlt,4.071761131286621
US,us5y,4.066976547241211
US,absret_lag3,4.0602922439575195
US,cad,4.031708717346191
US,uup,4.010919094085693
US,ret_lag2,3.9987874031066895
US,sent_score_ma20,3.983854055404663
US,sent_neg_mean,3.9830455780029297
US,sent_momentum_3d,3.9713456630706787
US,sent_vol_5d,3.9613866806030273
US,emb_pc41,3.9560251235961914
US,emb_pc14,3.952211856842041
US,emb_pc40,3.9214017391204834
US,hsi,3.907740831375122
US,emb_pc16,3.8717010021209717
US,rolling_kurt_20,3.859900951385498
US,mxn,3.8431007862091064
US,sent_score_std,3.833916187286377
US,emb_pc13,3.823528528213501
US,vix_chg_5d,3.823066234588623
US,emb_pc17,3.8079800605773926
US,emb_pc1,3.7832324504852295
US,nikkei,3.775707244873047
US,emb_pc30,3.770040512084961
US,smh,3.756685733795166
US,jpy,3.755283832550049
US,emb_pc28,3.750035524368286
US,sent_neu_mean,3.740448474884033
US,vix_ma5_ratio,3.7222251892089844
US,xlk,3.7217352390289307
US,xlv,3.7163219451904297
US,dow,3.714526414871216
US,emb_pc33,3.7006843090057373
US,vvix,3.6961443424224854
US,qqq_close,3.671539545059204
US,emb_pc12,3.669066905975342
US,emb_pc46,3.659559488296509
US,emb_pc38,3.6437296867370605
US,emb_pc23,3.6422226428985596
US,us30y,3.6365182399749756
US,emb_pc10,3.635556936264038
US,emb_pc39,3.631554126739502
US,emb_pc35,3.626100540161133
US,iwm,3.6206109523773193
US,sent_max_neg,3.615013599395752
US,emb_pc15,3.613726854324341
US,sign_run,3.6125128269195557
US,ret_lag5,3.596435785293579
US,emb_pc25,3.59500789642334
US,vol_ratio_5_20,3.5948140621185303
US,emb_pc3,3.5923194885253906
US,ret_lag4,3.547239065170288
US,ret_lag3,3.4845099449157715
US,xle,3.4642369747161865
US,sent_pos_ratio,3.4291961193084717
US,sent_pos_mean,3.4032814502716064
US,emb_pc21,3.397287607192993
US,cny,3.353609323501587
US,emb_pc43,3.3522300720214844
US,bond,3.280632257461548
US,emb_pc27,3.263068437576294
US,sent_neg_ratio,3.235738515853882
US,emb_pc20,3.222717523574829
US,emb_pc24,3.1953868865966797
US,eth,3.177732229232788
US,bitcoin,3.1725962162017822
US,sent_score_ma5,3.159531354904175
US,hyg,3.117849588394165
US,rolling_skew_20,3.0894412994384766
US,emb_pc44,3.0808565616607666
US,xlf,2.9389569759368896
US,emb_pc50,2.872716188430786
