target,group,n_feat,r2,auc,acc,baseline
vol1,AR_Only,25,0.035567816197917934,,,
vol1,Financial_Only,15,-0.06739362167405782,,,
vol1,News_Pure,31,-0.0493563870441025,,,
vol1,AR+News,56,0.018954001695723033,,,
vol1,Full,71,0.045715116309169135,,,
vol5,AR_Only,25,0.24687338586743923,,,
vol5,Financial_Only,15,0.24750444182443065,,,
vol5,News_Pure,31,-0.09724840403979407,,,
vol5,AR+News,56,0.2826676464146809,,,
vol5,Full,71,0.23876817956269136,,,
vol10,AR_Only,25,0.22875568575566807,,,
vol10,Financial_Only,15,0.2202987933467797,,,
vol10,News_Pure,31,-0.17335151563723605,,,
vol10,AR+News,56,0.23049116354593235,,,
vol10,Full,71,0.2813664973065496,,,
dir1,AR_Only,25,,0.5223811535598608,0.5464601769911505,0.581858407079646
dir1,Financial_Only,15,,0.47850403363711347,0.49557522123893805,0.581858407079646
dir1,News_Pure,31,,0.49858168869575714,0.5154867256637168,0.581858407079646
dir1,AR+News,56,,0.5184782827368379,0.5398230088495575,0.581858407079646
dir1,Full,71,,0.5206912507292736,0.5243362831858407,0.581858407079646
dir5,AR_Only,25,,0.5541792421193831,0.6017699115044248,0.6283185840707964
dir5,Financial_Only,15,,0.4765886988598256,0.5995575221238938,0.6283185840707964
dir5,News_Pure,31,,0.508823775989269,0.5929203539823009,0.6283185840707964
dir5,AR+News,56,,0.5946302816901408,0.6305309734513275,0.6283185840707964
dir5,Full,71,,0.6242454728370221,0.6415929203539823,0.6283185840707964
