target,group,mean,sd,n_folds
vol1,AR_Only,-0.061300002615635105,0.07849332938221935,5
vol1,Financial_Only,-0.18807901810039235,0.18141378830528185,5
vol1,News_Pure,-0.1488191708000297,0.14590184019351662,5
vol1,AR+News,-0.1527311740507673,0.1582892135464921,5
vol1,Full,-0.17861487672027015,0.1714976118974085,5
vol5,AR_Only,0.19184049122015473,0.16254078584030615,5
vol5,Financial_Only,-1.2295365370146765,1.9669572002319313,5
vol5,News_Pure,-0.6686508651490697,0.5921451096823892,5
vol5,AR+News,0.12035964110800405,0.24733445585215916,5
vol5,Full,-0.3097089805525368,0.5559393867544873,5
vol10,AR_Only,0.118684650524877,0.15915510833594634,5
vol10,Financial_Only,-1.6707408534670922,2.006795362862558,5
vol10,News_Pure,-1.040443055296734,0.9179994446528026,5
vol10,AR+News,-0.03968041726383813,0.2539003273159942,5
vol10,Full,-0.6108314657627659,0.7930239488158372,5
dir1,AR_Only,0.521634763357554,0.038805961784369535,5
dir1,Financial_Only,0.49898898281104076,0.03042881748137552,5
dir1,News_Pure,0.49752876104692456,0.01821913747329279,5
dir1,AR+News,0.5155064397236249,0.03531197091050895,5
dir1,Full,0.507049605049579,0.025859281778577412,5
dir5,AR_Only,0.5328534408159007,0.02931620900843632,5
dir5,Financial_Only,0.5290405554533371,0.02743029179524227,5
dir5,News_Pure,0.5418320181936304,0.07487546137611635,5
dir5,AR+News,0.5356159376434694,0.06656717629992408,5
dir5,Full,0.5526600207519156,0.04704496943244558,5
