market,group,n_feat,auc,ci_low,ci_high,acc,baseline,f1,brier,n_test
US,AR_Only,25,0.4821428571428571,0.4013599226054813,0.5605119022359745,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.2344181628013241,452
UK,AR_Only,25,0.5172714078374455,0.4506064774470293,0.5906623088692218,0.5622119815668203,0.6105990783410138,0.6678321678321679,0.2473439221098707,434
US,Financial_Only,15,0.5776953386988598,0.49801988532365665,0.663231524054618,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23406049325037392,452
UK,Financial_Only,15,0.5150720107178743,0.4349985307658116,0.587182271778814,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.24591371659271724,434
US,News_Pure,31,0.47512156270959094,0.3886418789351932,0.5591595855048593,0.6305309734513275,0.6283185840707964,0.7727891156462585,0.2357422421353325,452
UK,News_Pure,31,0.41234788433627323,0.3521802267502419,0.47646598587579875,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.2406624441286189,434
US,AR+News,56,0.5230549966465459,0.44562188087680504,0.6012097595180853,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23361059282479507,452
UK,AR+News,56,0.4634140895389081,0.3958146884541662,0.5373933192953757,0.47465437788018433,0.6105990783410138,0.5546875,0.2599405122732377,434
US,Full,71,0.5869382964453387,0.5072256692224912,0.6712795104747474,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.2314475917747962,452
UK,Full,71,0.47368538573182983,0.4008194222711197,0.5462343702102811,0.4308755760368664,0.6105990783410138,0.36828644501278773,0.2592277488276397,434
