market,fold,test_start,test_end,n_train,n_test,target_mean,AR_Only_r2,AR_Only_corr,Full_r2,Full_corr
US,1,2018-03-16,2019-03-06,1052,244,-4.952752531451865,0.44591392259636187,0.6706575482244899,0.22332735701645778,0.4965523369289862
US,2,2019-03-07,2020-02-24,1296,244,-5.096862972434843,0.1440196294600392,0.5030948689454671,0.007805577348371062,0.49393976509450027
US,3,2020-02-25,2021-02-10,1540,244,-4.444358566141719,0.3973300622840559,0.7558131590292486,0.4824057183038686,0.7358442463434816
US,4,2021-02-11,2022-01-28,1784,244,-5.001229702164152,0.18430042932579216,0.5027077735097215,0.06950236346352101,0.3530591385311724
US,5,2022-01-31,2023-01-19,2028,244,-4.289224983383531,-0.5289751189660901,0.24264659087307797,-1.2237116955505565,0.12914961215324408
US,6,2023-01-20,2024-01-09,2272,244,-4.951390189649752,-0.017467147732135535,0.38309933702667326,-0.39523765753787954,0.40269501418947234
US,7,2024-01-10,2024-12-27,2516,244,-5.009225325750935,0.034252233121339515,0.4328284392835492,0.13075700083987118,0.3999543327935233
US,8,2024-12-30,2025-12-18,2760,244,-4.875340762626996,0.3436282686850005,0.6156476033188487,0.44113443368834826,0.6658753105879679
UK,1,2018-03-20,2019-03-12,1010,234,-4.987817631132701,-0.5337717681890375,0.06673936908484705,-0.3866353198613879,0.08791757489632913
UK,2,2019-03-13,2020-03-03,1244,234,-5.050334765888364,0.010534389206530603,0.3426113223317848,0.03644639518813508,0.27607898914451606
UK,3,2020-03-04,2021-02-18,1478,234,-4.393962329947329,0.026398186205703444,0.5052946180750699,0.3040301550193534,0.5872464638259404
UK,4,2021-02-19,2022-02-03,1712,234,-5.050711039270975,-0.2866308917883209,0.026973826253829068,-0.16197033020871743,0.05949193783658148
UK,5,2022-02-04,2023-01-25,1946,234,-4.8977679347915455,0.1965987566551065,0.47491610799269085,0.16824591407165235,0.42122064086059247
UK,6,2023-01-26,2024-01-10,2180,234,-5.177487132217956,-0.14471908309907455,0.19601939778734379,-0.24792512876920347,0.19630900262832668
UK,7,2024-01-11,2024-12-24,2414,234,-5.258234969794545,-0.2953233700619453,0.1762024908378379,-0.20793414987360825,0.2699817693497263
UK,8,2024-12-30,2025-12-16,2648,234,-5.274090472025243,-0.05587469653197741,0.3256939392388119,-0.10029114394774896,0.19313786842094663
