market,baseline,model,dm,p
US,AR_Only,AR+News,-0.19178150410842568,0.8479996746155862
US,AR_Only,Full,0.7329949150497419,0.46394233298728116
US,Financial_Only,Full,3.546225800321126,0.000431670027761788
US,News_Pure,Full,4.051598194287861,5.9895606572046844e-05
US,Financial_Clean,Full,3.6269464862025647,0.00031954398806766093
UK,AR_Only,AR+News,0.2555609459737888,0.7984112303076172
UK,AR_Only,Full,-1.3825773684952067,0.16750713732323774
UK,Financial_Only,Full,0.5248149066425137,0.599980456200734
UK,News_Pure,Full,-0.15801331751866174,0.8745199672031847
UK,Financial_Clean,Full,0.6973207440498085,0.48597631958759235
