market,baseline,model,dm,p
US,AR_Only,AR+News,1.9496333494015032,0.051839201228032206
US,AR_Only,Full,0.27430553572544414,0.7839754274312281
US,Financial_Only,Full,-0.8595700323229624,0.39048276033249807
US,News_Pure,Full,-0.031768663706292485,0.9746705907776891
US,Financial_Clean,Full,-0.8384321863994849,0.4022321588129656
UK,AR_Only,AR+News,-0.10771531057931048,0.9142714163704948
UK,AR_Only,Full,-1.9222009110151033,0.05523630645574751
UK,Financial_Only,Full,-1.4261746265342103,0.15453850487433418
UK,News_Pure,Full,-1.521502452176239,0.12886370274495085
UK,Financial_Clean,Full,-1.4306111710047233,0.15326292574993916
