market,baseline,model,dm,p
US,AR_Only,AR+News,0.5919252101765755,0.5541992619249085
US,AR_Only,Full,0.15268242224217826,0.878717463870174
US,Financial_Only,Full,-0.9918110691714174,0.32182507192302046
US,News_Pure,Full,0.055971677722127355,0.955389322912295
US,Financial_Clean,Full,-0.8738854479381778,0.3826488344489323
UK,AR_Only,AR+News,0.09016523338485595,0.9281978945982172
UK,AR_Only,Full,-1.0889790824628465,0.27677304246800594
UK,Financial_Only,Full,-0.9138368149951224,0.36131470906957963
UK,News_Pure,Full,-0.9790724774458679,0.3280946801401512
UK,Financial_Clean,Full,-0.9288165573844651,0.3535052512581607
