market,baseline,model,dm,p
US,AR_Only,AR+News,-0.41078532653246824,0.6814250534868376
US,AR_Only,Full,0.5682728000457662,0.5701325685535861
US,Financial_Only,Full,4.1640454436088685,3.746910376545287e-05
US,News_Pure,Full,3.012242827944626,0.0027390836560630127
US,Financial_Clean,Full,3.855136541947388,0.00013247163843010945
UK,AR_Only,AR+News,0.01992719441608826,0.9841106305140412
UK,AR_Only,Full,-1.2961789387786191,0.1956042679414831
UK,Financial_Only,Full,0.7682647915086477,0.442748673199886
UK,News_Pure,Full,-0.15141497443169605,0.8797188956384145
UK,Financial_Clean,Full,0.47353278350554673,0.6360717684142996
