market,group,n_feat,auc_v15,ci_low,ci_high,auc_v10,dauc,dauc_low,dauc_high,acc,baseline,f1,brier,n_test
US,AR_Only,25,0.5473160513223356,0.3768141992870808,0.7544561556225091,0.5935323383084578,-0.04494932580670746,-0.17969334803098064,0.0985426718534841,0.7461024498886414,0.7461024498886414,0.8545918367346937,0.2022989363718161,449
UK,AR_Only,25,0.5300295372497539,0.35877477577363753,0.6680552133728319,0.51905855876975,-0.005302615367861924,-0.1373531181007075,0.1269185726219559,0.54292343387471,0.642691415313225,0.6722129783693843,0.24159578249689703,431
US,Financial_Only,15,0.5916208431526577,0.4146135559135114,0.8156765646194759,0.633019114951558,-0.00633698272447457,-0.19787629873644694,0.24332958851148484,0.7461024498886414,0.7461024498886414,0.8545918367346937,0.19695529322139185,449
UK,Financial_Only,15,0.4463641052088705,0.3075527346885169,0.5543021655775077,0.5823761076468659,-0.15409565655322235,-0.29964964014211215,0.004754181776065744,0.642691415313225,0.642691415313225,0.7824858757062146,0.235152178444381,431
US,Financial_Clean,13,0.601440167583137,0.4152886513157894,0.8170400142563611,0.6317622414244567,-0.006103422304820752,-0.19375266636113095,0.20728019063737751,0.7461024498886414,0.7461024498886414,0.8545918367346937,0.19733617027461753,449
UK,Financial_Clean,13,0.5071264475596606,0.35359575539435434,0.6290646159465593,0.5392306249706971,-0.042332543651610294,-0.17507919627650548,0.10532447057879424,0.642691415313225,0.642691415313225,0.7824858757062146,0.23696240598095883,431
US,News_Pure,31,0.5156847342236188,0.3065549944718309,0.7033916413945803,0.5372872479706731,-0.025841687700678607,-0.20901716501240686,0.11551086593922164,0.5233853006681515,0.7461024498886414,0.627177700348432,0.22025437700610884,449
UK,News_Pure,31,0.44315251535468136,0.3022089235316553,0.5598746953845845,0.44936471470767486,-0.0036260361116349765,-0.07736741328107755,0.06750995950519476,0.642691415313225,0.642691415313225,0.7824858757062146,0.23974091218307814,431
US,AR+News,56,0.5250065462162871,0.3313236492181654,0.7459377497597863,0.5767740246137733,-0.05662189046151385,-0.14592396191270035,0.04225914785666039,0.7461024498886414,0.7461024498886414,0.8545918367346937,0.2050945429878502,449
UK,AR+News,56,0.455084626564771,0.3246842444433563,0.5564474284546054,0.4223826714801444,0.016860963992465467,-0.09107139411315571,0.12145641086398372,0.6264501160092807,0.642691415313225,0.7571644042232277,0.2440843922012683,431
US,Full,71,0.5429693637077768,0.3771774382289748,0.7507063173994168,0.48418434145064154,0.06890485567814703,-0.11820035932506799,0.26849197121199114,0.7461024498886414,0.7461024498886414,0.8545918367346937,0.19973639264157572,449
UK,Full,71,0.4249144357447607,0.2819445510551618,0.5547834026605442,0.42207792207792205,-0.01736833529694739,-0.16504076192751435,0.15559843989298158,0.642691415313225,0.642691415313225,0.7824858757062146,0.24172641301946712,431
