market,baseline,model,dm,p
US,AR_Only,AR+News,1.0953003477386076,0.27396964376922006
US,AR_Only,Full,0.29910863343926963,0.7649949402187253
US,Financial_Only,Full,-0.17727218485569513,0.859374183640857
US,News_Pure,Full,0.17437452465051964,0.8616493812327717
US,Financial_Clean,Full,-0.22880961698328592,0.8191206077768691
UK,AR_Only,AR+News,-0.6205668864539894,0.5352111180751211
UK,AR_Only,Full,-2.5099048981294176,0.012440191566570391
UK,Financial_Only,Full,-1.281732812907439,0.20062228340312704
UK,News_Pure,Full,-2.2513154874679673,0.024866239257676392
UK,Financial_Clean,Full,-1.8780468665125993,0.06104655648981394
