market,baseline,model,dm,p
US,AR_Only,AR+News,-0.21440719919487952,0.8303270838024222
US,AR_Only,Full,0.7653128934712683,0.444488226908206
US,Financial_Only,Full,-0.4576216325150044,0.6474461522403794
US,News_Pure,Full,0.8181418049714855,0.41371115384013146
US,Financial_Clean,Full,-0.35969185185861374,0.7192470757264362
UK,AR_Only,AR+News,-0.5521523223915216,0.5811308579101606
UK,AR_Only,Full,-0.021966252525745057,0.9824850649521522
UK,Financial_Only,Full,-1.5810420403690768,0.11460367366085
UK,News_Pure,Full,-1.1536064446646337,0.24930235703271775
UK,Financial_Clean,Full,-1.4969248465477953,0.1351464468678576
