market,baseline,model,dm,p
US,AR_Only,AR+News,-0.12535506572978886,0.9002983174257384
US,AR_Only,Full,1.2553497980716222,0.21000184078169348
US,Financial_Only,Full,3.533651308609109,0.00045214764983780853
US,News_Pure,Full,4.1304695751715625,4.315094008666698e-05
US,Financial_Clean,Full,3.927960683708234,9.908462432606235e-05
UK,AR_Only,AR+News,-0.4348949205445942,0.6638553674502059
UK,AR_Only,Full,-2.258830812499902,0.02439060930651671
UK,Financial_Only,Full,-0.8406497986570194,0.40100811809806114
UK,News_Pure,Full,-1.3488094588311703,0.17810315076259164
UK,Financial_Clean,Full,-0.7134213474382437,0.4759693972716379
