market,baseline,model,dm,p
US,AR_Only,AR+News,0.35536028122365765,0.7224858366763294
US,AR_Only,Full,0.7307362903609863,0.4653196840258804
US,Financial_Only,Full,1.1276856971563618,0.2600522512815433
US,News_Pure,Full,1.1822782267229286,0.2377182665375368
US,Financial_Clean,Full,1.2162961852371068,0.2245082996144887
UK,AR_Only,AR+News,0.7708532234858171,0.4412143462203284
UK,AR_Only,Full,-0.8229462607148519,0.4109915370506556
UK,Financial_Only,Full,-1.8884961223062746,0.059627542398315914
UK,News_Pure,Full,-1.8423344722627504,0.06610976816023162
UK,Financial_Clean,Full,-0.1819626191593414,0.8556972151969795
