market,fold,test_start,test_end,n_train,n_test,target_mean,AR_Only_r2,AR_Only_corr,Full_r2,Full_corr
US,1,2018-03-16,2019-03-06,1052,244,-4.952752531451865,0.44591392259636187,0.6706575482244903,0.23299147603118642,0.4905659181663499
US,2,2019-03-07,2020-02-24,1296,244,-5.096862972434843,0.1440196294600392,0.503094868945467,0.16423500924729406,0.5116418963106734
US,3,2020-02-25,2021-02-10,1540,244,-4.444358566141719,0.3973300622840559,0.7558131590292485,0.5065145571786227,0.7162977364767041
US,4,2021-02-11,2022-01-28,1784,244,-5.001229702164152,0.18430042932579216,0.5027077735097214,0.12321327387393044,0.4724047067213946
US,5,2022-01-31,2023-01-19,2028,244,-4.289224983383531,-0.5289751189660901,0.24264659087307805,-0.4806950120400777,0.18506866575593595
US,6,2023-01-20,2024-01-09,2272,244,-4.951390189649752,-0.017467147732135535,0.3830993370266729,-0.4602616572776108,0.36985934084354466
US,7,2024-01-10,2024-12-27,2516,244,-5.009225325750935,0.034252233121339515,0.4328284392835492,0.10124219350984132,0.3930861934661569
US,8,2024-12-30,2025-12-18,2760,244,-4.875340762626996,0.3436282686850005,0.615647603318849,0.44229271536094417,0.6651659375805099
UK,1,2018-03-20,2019-03-12,1010,234,-4.987817631132701,-0.5337717681890375,0.06673936908484704,-0.36840854204838447,0.058390319270989054
UK,2,2019-03-13,2020-03-03,1244,234,-5.050334765888364,0.010534389206530603,0.3426113223317849,0.10752016036515366,0.37460989779800963
UK,3,2020-03-04,2021-02-18,1478,234,-4.393962329947329,0.026398186205703444,0.5052946180750697,0.18309465005417314,0.5340896923263573
UK,4,2021-02-19,2022-02-03,1712,234,-5.050711039270975,-0.2866308917883209,0.02697382625382904,-0.256769167479834,0.011122411186496726
UK,5,2022-02-04,2023-01-25,1946,234,-4.8977679347915455,0.1965987566551065,0.47491610799269124,0.26970303576149446,0.5280061133113391
UK,6,2023-01-26,2024-01-10,2180,234,-5.177487132217956,-0.14471908309907455,0.1960193977873438,-0.1727606987836452,0.19188288640138298
UK,7,2024-01-11,2024-12-24,2414,234,-5.258234969794545,-0.2953233700619453,0.17620249083783793,-0.18196879387525589,0.2594986594604706
UK,8,2024-12-30,2025-12-16,2648,234,-5.274090472025243,-0.05587469653197741,0.3256939392388117,-0.12861787985859618,0.17110636356540046
