market,group,n_feat,r2,ci_low,ci_high,corr,n_test
US,AR_Only,25,0.3229589609411465,0.06435135940446246,0.4676386386339989,0.5910370259431718,452
UK,AR_Only,25,0.04288527228101291,-0.223744028163461,0.20567615705708253,0.27995975950201124,434
US,Financial_Only,15,0.17398390416791898,-0.0491725247660808,0.28870188728711565,0.4289894209991426,452
UK,Financial_Only,15,-0.09455687988048633,-0.3955844578670984,0.046901842366752745,0.10350883303962988,434
US,News_Pure,31,0.12857799744527132,-0.1533069964345812,0.2832610054226079,0.4538040947144932,452
UK,News_Pure,31,-0.03063469814138986,-0.2848035088184884,0.09285487487499168,0.17896301588953548,434
US,AR+News,56,0.32036021797178127,0.057122756873644785,0.4665021847568909,0.5893369198326175,452
UK,AR+News,56,0.03204796440251301,-0.21212766557827062,0.19001743879544622,0.2737833163548402,434
US,Full,71,0.3586786928297414,0.13551863045728002,0.47411660063240224,0.6093052716991556,452
UK,Full,71,-0.18164044573750426,-0.6972074794813615,0.09124951282284102,0.26348703987800154,434
US,Financial_Clean,13,0.10608289368684753,-0.17810107331216632,0.24097662510241452,0.4354878925000726,452
UK,Financial_Clean,13,-0.10886165080378474,-0.44317956873307846,0.055200088293006426,0.16042451262440655,434
