market,label,fold,test_start,test_end,n_test,L_level,S_shift,V_within,AR_Only_r2,AR_Only_corr,Full_r2,Full_corr
US,미국 SPY,1,2018-03-16,2019-03-06,244,-4.952752531451865,0.39788044647619475,0.6221879133362019,0.44591392259636187,0.6706575482244903,0.23299147603118642,0.4905659181663499
US,미국 SPY,2,2019-03-07,2020-02-24,244,-5.096862972434843,0.08241215664315037,0.5510806389946878,0.1440196294600392,0.503094868945467,0.16423500924729406,0.5116418963106734
US,미국 SPY,3,2020-02-25,2021-02-10,244,-4.444358566141719,1.149830224414812,0.7057233559766559,0.3973300622840559,0.7558131590292485,0.5065145571786227,0.7162977364767041
US,미국 SPY,4,2021-02-11,2022-01-28,244,-5.001229702164152,0.06497871004655102,0.5198966967119085,0.18430042932579216,0.5027077735097214,0.12321327387393044,0.4724047067213946
US,미국 SPY,5,2022-01-31,2023-01-19,244,-4.289224983383531,1.1567774470510728,0.3358132654741325,-0.5289751189660901,0.24264659087307805,-0.4806950120400777,0.18506866575593595
US,미국 SPY,6,2023-01-20,2024-01-09,244,-4.951390189649752,0.01090188603834945,0.38944864238160687,-0.017467147732135535,0.3830993370266729,-0.4602616572776108,0.36985934084354466
US,미국 SPY,7,2024-01-10,2024-12-27,244,-5.009225325750935,0.07980843343990769,0.4366283636767322,0.034252233121339515,0.4328284392835492,0.10124219350984132,0.3930861934661569
US,미국 SPY,8,2024-12-30,2025-12-18,244,-4.875340762626996,0.13885888686724962,0.5755047916009024,0.3436282686850005,0.615647603318849,0.44229271536094417,0.6651659375805099
UK,영국 ISF,1,2018-03-20,2019-03-12,234,-4.987817631132701,0.10196370547151251,0.39329577664896653,-0.5337717681890375,0.06673936908484704,-0.36840854204838447,0.058390319270989054
UK,영국 ISF,2,2019-03-13,2020-03-03,234,-5.050334765888364,0.032897330525462926,0.5425773048403368,0.010534389206530603,0.3426113223317849,0.10752016036515366,0.37460989779800963
UK,영국 ISF,3,2020-03-04,2021-02-18,234,-4.393962329947329,1.2209201529864162,0.6102504216935148,0.026398186205703444,0.5052946180750697,0.18309465005417314,0.5340896923263573
UK,영국 ISF,4,2021-02-19,2022-02-03,234,-5.050711039270975,0.1764020724445799,0.4616915540044673,-0.2866308917883209,0.02697382625382904,-0.256769167479834,0.011122411186496726
UK,영국 ISF,5,2022-02-04,2023-01-25,234,-4.8977679347915455,0.11010743284074458,0.5722528202319984,0.1965987566551065,0.47491610799269124,0.26970303576149446,0.5280061133113391
UK,영국 ISF,6,2023-01-26,2024-01-10,234,-5.177487132217956,0.39250701702135765,0.5289826047170979,-0.14471908309907455,0.1960193977873438,-0.1727606987836452,0.19188288640138298
UK,영국 ISF,7,2024-01-11,2024-12-24,234,-5.258234969794545,0.49610305325622817,0.37412512492801026,-0.2953233700619453,0.17620249083783793,-0.18196879387525589,0.2594986594604706
UK,영국 ISF,8,2024-12-30,2025-12-16,234,-5.274090472025243,0.48756468508809425,0.5112528428107579,-0.05587469653197741,0.3256939392388117,-0.12861787985859618,0.17110636356540046
