market,group,n_feat,auc,ci_low,ci_high,acc,baseline,f1,brier,n_test
US,AR_Only,25,0.4821428571428571,0.4013599226054813,0.5605119022359745,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23441879183066816,452
UK,AR_Only,25,0.5172714078374455,0.4506064774470293,0.5906623088692218,0.5622119815668203,0.6105990783410138,0.6678321678321678,0.2473473831706024,434
US,Financial_Only,15,0.5399689805499663,0.46193766287590254,0.6265500774927899,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.2335453996319233,452
UK,Financial_Only,15,0.5468795355587808,0.4767251476028073,0.6235766709463917,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.2450539179333228,434
US,News_Pure,31,0.47168427230046944,0.41139937823998646,0.532244830330995,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.2340117547394032,452
UK,News_Pure,31,0.45738528525175837,0.40676088090416146,0.5076072615896637,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.23973871572798566,434
US,AR+News,56,0.4615400737759892,0.38807103779366603,0.5355847913226004,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23309911887882057,452
UK,AR+News,56,0.4819470804957017,0.4157142626351367,0.5473347527472527,0.5529953917050692,0.6105990783410138,0.680921052631579,0.24576622349384303,434
US,Full,71,0.5726441985244803,0.49650442546076645,0.6476822110360442,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23307644912224104,452
UK,Full,71,0.5617952439432845,0.49070179617810183,0.642683827435481,0.5460829493087558,0.6105990783410138,0.5386416861826698,0.2480389149896672,434
US,Financial_Clean,13,0.5547032193158954,0.4724820050238709,0.6431688124615402,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23382536162678813,452
UK,Financial_Clean,13,0.5423690967958021,0.4560334074079695,0.6266226416242172,0.41244239631336405,0.6105990783410138,0.07272727272727272,0.25248292309148557,434
