market,baseline,model,dm,p
US,AR_Only,AR+News,0.1521634700117542,0.8791260513938934
US,AR_Only,Full,2.230840272598412,0.02618271775285863
US,Financial_Only,Full,3.8468460114532257,0.00013688493899133292
US,News_Pure,Full,4.347648742667982,1.7024090477990583e-05
US,Financial_Clean,Full,4.016675876250717,6.913783390061212e-05
UK,AR_Only,AR+News,0.5919637839506193,0.5541837939996976
UK,AR_Only,Full,-2.2391374200967253,0.025654082077216867
UK,Financial_Only,Full,-0.8139836727692874,0.4161017068748698
UK,News_Pure,Full,-1.3253533308670506,0.1857528628497933
UK,Financial_Clean,Full,-0.6682533158516264,0.5043279622406636
