market,baseline,model,dm,p
US,AR_Only,AR+News,0.7272595411204829,0.4674443199160687
US,AR_Only,Full,0.5035774684323563,0.6148042013123507
US,Financial_Only,Full,1.0153046325785644,0.31050499937569254
US,News_Pure,Full,1.7057869127519354,0.08873626459083805
US,Financial_Clean,Full,1.3217094080861675,0.186934968728512
UK,AR_Only,AR+News,0.4034091769698761,0.6868463674958907
UK,AR_Only,Full,-0.11157839356335966,0.9112094074361683
UK,Financial_Only,Full,-1.0094555518895683,0.3133199627557175
UK,News_Pure,Full,-1.4419357394742067,0.1500433693305343
UK,Financial_Clean,Full,2.492447408555727,0.013059428506084547
