market,fold,test_start,test_end,n_train,n_test,target_mean,AR_Only_r2,AR_Only_corr,Full_r2,Full_corr
US,1,2018-03-16,2019-03-06,1052,244,-4.952752531451865,0.44591392259636187,0.6706575482244903,0.27761554031816327,0.5407690167656147
US,2,2019-03-07,2020-02-24,1296,244,-5.096862972434843,0.1440196294600392,0.503094868945467,0.16615744400846744,0.5276755691623524
US,3,2020-02-25,2021-02-10,1540,244,-4.444358566141719,0.3973300622840559,0.7558131590292485,0.5099358407844155,0.7159024590153173
US,4,2021-02-11,2022-01-28,1784,244,-5.001229702164152,0.18430042932579216,0.5027077735097214,0.052021853389036754,0.4621694218595599
US,5,2022-01-31,2023-01-19,2028,244,-4.289224983383531,-0.5289751189660901,0.24264659087307805,-0.5158822266005965,0.15382512366624737
US,6,2023-01-20,2024-01-09,2272,244,-4.951390189649752,-0.017467147732135535,0.3830993370266729,-0.4168988764262376,0.4112129139549921
US,7,2024-01-10,2024-12-27,2516,244,-5.009225325750935,0.034252233121339515,0.4328284392835492,0.11926127305931256,0.4059726966438096
US,8,2024-12-30,2025-12-18,2760,244,-4.875340762626996,0.3436282686850005,0.615647603318849,0.4336252567107164,0.6587868114777488
UK,1,2018-03-20,2019-03-12,1010,234,-4.987817631132701,-0.5337717681890375,0.06673936908484704,-0.3465407399277194,0.0752366185673156
UK,2,2019-03-13,2020-03-03,1244,234,-5.050334765888364,0.010534389206530603,0.3426113223317849,0.11285467859937015,0.37016457499163435
UK,3,2020-03-04,2021-02-18,1478,234,-4.393962329947329,0.026398186205703444,0.5052946180750697,0.18969006048850523,0.5251154436624349
UK,4,2021-02-19,2022-02-03,1712,234,-5.050711039270975,-0.2866308917883209,0.02697382625382904,-0.2549837718249872,-0.014852083992530114
UK,5,2022-02-04,2023-01-25,1946,234,-4.8977679347915455,0.1965987566551065,0.47491610799269124,0.256696652261319,0.5162239844670826
UK,6,2023-01-26,2024-01-10,2180,234,-5.177487132217956,-0.14471908309907455,0.1960193977873438,-0.24639810018459096,0.19819892071927775
UK,7,2024-01-11,2024-12-24,2414,234,-5.258234969794545,-0.2953233700619453,0.17620249083783793,-0.2242288745542853,0.24924980237057973
UK,8,2024-12-30,2025-12-16,2648,234,-5.274090472025243,-0.05587469653197741,0.3256939392388117,-0.11909079692221991,0.16640733876247454
