market,group,n_feat,r2,ci_low,ci_high,corr,n_test
US,AR_Only,25,0.3229589609411465,0.06435135940446246,0.4676386386339989,0.5910370259431718,452
UK,AR_Only,25,0.04288527228101291,-0.223744028163461,0.20567615705708253,0.27995975950201124,434
US,Financial_Only,15,0.17398390416791898,-0.0491725247660808,0.28870188728711565,0.4289894209991426,452
UK,Financial_Only,15,-0.09455687988048633,-0.3955844578670984,0.046901842366752745,0.10350883303962988,434
US,News_Pure,31,0.12781704981611097,-0.15000384886059923,0.2793414214410657,0.4478193190691388,452
UK,News_Pure,31,-0.03533279160333391,-0.28923345981789966,0.08656014746424785,0.17114340066216022,434
US,AR+News,56,0.32674135517099356,0.06061330465277763,0.4725498073441255,0.5943790496361882,452
UK,AR+News,56,0.05580885362146992,-0.18458847957432536,0.2063290497521758,0.2951161552329104,434
US,Full,71,0.3794394876581777,0.16718649558299362,0.4923871151493326,0.6282624500001491,452
UK,Full,71,-0.16808620125381224,-0.6536704590643228,0.08731477967221188,0.23750045215392904,434
US,Financial_Clean,13,0.10608289368684753,-0.17810107331216632,0.24097662510241452,0.4354878925000726,452
UK,Financial_Clean,13,-0.10886165080378474,-0.44317956873307846,0.055200088293006426,0.16042451262440655,434
