market,group,n_feat,auc,ci_low,ci_high,acc,baseline,f1,brier,n_test
US,AR_Only,25,0.4821428571428571,0.4013599226054813,0.5605119022359745,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23441879183066816,452
UK,AR_Only,25,0.5172714078374455,0.4506064774470293,0.5906623088692218,0.5622119815668203,0.6105990783410138,0.6678321678321678,0.2473473831706024,434
US,Financial_Only,15,0.5776953386988598,0.49801988532365665,0.663231524054618,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23406285006624492,452
UK,Financial_Only,15,0.5150720107178743,0.4349985307658116,0.587182271778814,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.24592629505702315,434
US,News_Pure,31,0.4714222837022133,0.39039666885307356,0.545512606034364,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23370216303847974,452
UK,News_Pure,31,0.391972758736184,0.3259886394194563,0.46592540496073964,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.23828216287776097,434
US,AR+News,56,0.5303697183098591,0.44890382163387516,0.6092472312409812,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23327327744814838,452
UK,AR+News,56,0.47714636597074916,0.4086740161708005,0.5555398751302456,0.5184331797235023,0.6105990783410138,0.5973025048169557,0.2589974112389665,434
US,Full,71,0.5813003018108652,0.5021137254343524,0.6655023559710826,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.2322469368143324,452
UK,Full,71,0.4819694094004689,0.40406657691371545,0.5668561006327322,0.43317972350230416,0.6105990783410138,0.36597938144329895,0.25792052531801063,434
US,Financial_Clean,13,0.5547032193158954,0.4724820050238709,0.6431688124615402,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23382536162678813,452
UK,Financial_Clean,13,0.5423690967958021,0.4560334074079695,0.6266226416242172,0.41244239631336405,0.6105990783410138,0.07272727272727272,0.25248292309148557,434
