market,baseline,model,dm,p
US,AR_Only,AR+News,0.7208259384858178,0.4713900760174312
US,AR_Only,Full,0.7020647855431068,0.4830009182552355
US,Financial_Only,Full,3.6980149853929727,0.00024406905934215573
US,News_Pure,Full,3.0688373259807324,0.002278480557232676
US,Financial_Clean,Full,3.323616197482045,0.0009609965523758035
UK,AR_Only,AR+News,-0.7070356624454351,0.47992463852782974
UK,AR_Only,Full,-1.8642826314751952,0.06295847812573063
UK,Financial_Only,Full,0.4366890471636629,0.6625545488601476
UK,News_Pure,Full,-0.506976534125382,0.6124293641058007
UK,Financial_Clean,Full,0.09536461858014782,0.9240693356417693
