market,baseline,model,dm,p
US,AR_Only,AR+News,0.3802751137781447,0.7039202349722435
US,AR_Only,Full,0.7352546181076017,0.4625666067066738
US,Financial_Only,Full,1.8133780469187033,0.07043809159751913
US,News_Pure,Full,1.4389061095560898,0.15087075407477735
US,Financial_Clean,Full,1.7529982595563236,0.0802817123095223
UK,AR_Only,AR+News,-2.766719203039367,0.0059048377201884605
UK,AR_Only,Full,-1.5572754597238347,0.1201356679141008
UK,Financial_Only,Full,-2.3508936638999747,0.01917597041319241
UK,News_Pure,Full,-2.354740550294349,0.018981170841152473
UK,Financial_Clean,Full,-1.4631449474448208,0.14415321468292985
