market,group,n_feat,r2,ci_low,ci_high,corr,n_test
US,AR_Only,25,0.3229589609411465,0.06435135940446246,0.4676386386339989,0.5910370259431718,452
UK,AR_Only,25,0.04288527228101291,-0.223744028163461,0.20567615705708253,0.27995975950201124,434
US,Financial_Only,15,0.08518708103223327,-0.27375423258728726,0.28301988488606467,0.4402026838317836,452
UK,Financial_Only,15,-0.13245367323105106,-0.49740281422749033,0.05871153050221262,0.1541781137384046,434
US,News_Pure,31,0.15224016630194448,-0.13039994491231952,0.31266383601692777,0.47127254120238177,452
UK,News_Pure,31,-0.06004052328316578,-0.32512016035348434,0.06699390853812798,0.13975728067451562,434
US,AR+News,56,0.3450853623285879,0.12309409602930482,0.46037683657286055,0.6012591854634534,452
UK,AR+News,56,0.007099810595647127,-0.23846200389376823,0.15924213127555753,0.24794701377470715,434
US,Full,71,0.35010857629598346,0.1259597975415411,0.4664526495959983,0.5953862101400749,452
UK,Full,71,-0.10196964830792621,-0.5172280872438175,0.11442758173865043,0.25489036043641056,434
US,Financial_Clean,13,0.10608289368684753,-0.17810107331216632,0.24097662510241452,0.4354878925000726,452
UK,Financial_Clean,13,-0.10886165080378474,-0.44317956873307846,0.055200088293006426,0.16042451262440655,434
