market,group,n_feat,auc,ci_low,ci_high,acc,baseline,f1,brier,n_test
US,AR_Only,25,0.4821428571428571,0.4013599226054813,0.5605119022359745,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23441879183066816,452
UK,AR_Only,25,0.5172714078374455,0.4506064774470293,0.5906623088692218,0.5622119815668203,0.6105990783410138,0.6678321678321678,0.2473473831706024,434
US,Financial_Only,15,0.5776953386988598,0.49801988532365665,0.663231524054618,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23406285006624492,452
UK,Financial_Only,15,0.5150720107178743,0.4349985307658116,0.587182271778814,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.24592629505702315,434
US,News_Pure,31,0.48263539570757874,0.39486910015620225,0.5588822452312205,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23445757967418346,452
UK,News_Pure,31,0.39563469911800825,0.3279722153463085,0.46448965060011393,0.6105990783410138,0.6105990783410138,0.7582260371959942,0.23613483786437733,434
US,AR+News,56,0.5186955063715628,0.4373143783092221,0.5989448557674547,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23358290459521758,452
UK,AR+News,56,0.48909233002121233,0.4207060802051728,0.5663862190566129,0.5230414746543779,0.6105990783410138,0.5996131528046421,0.257191275608499,434
US,Full,71,0.5908995640509725,0.511375387711082,0.6690027246911499,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.2322740348618749,452
UK,Full,71,0.48518477168694885,0.40566595716480086,0.5674669120097282,0.4308755760368664,0.6105990783410138,0.35170603674540685,0.258704867483003,434
US,Financial_Clean,13,0.5547032193158954,0.4724820050238709,0.6431688124615402,0.6283185840707964,0.6283185840707964,0.7717391304347826,0.23382536162678813,452
UK,Financial_Clean,13,0.5423690967958021,0.4560334074079695,0.6266226416242172,0.41244239631336405,0.6105990783410138,0.07272727272727272,0.25248292309148557,434
