market,baseline,model,dm,p
US,AR_Only,AR+News,0.26255518681941875,0.7930133331824516
US,AR_Only,Full,1.3004607474224468,0.19410723306622124
US,Financial_Only,Full,3.9450625921255926,9.24920105704885e-05
US,News_Pure,Full,3.2656749250600146,0.0011752607912549617
US,Financial_Clean,Full,3.461695078935373,0.0005879268636059809
UK,AR_Only,AR+News,-0.6542883508216855,0.5132734075641996
UK,AR_Only,Full,-2.3063178700276885,0.021564296719525533
UK,Financial_Only,Full,-0.2809255386763112,0.778901696383826
UK,News_Pure,Full,-1.0622793689859769,0.2887009767579678
UK,Financial_Clean,Full,-0.5681752430566287,0.5702104970267028
