market,baseline,model,dm,p
US,AR_Only,AR+News,0.2932801464844921,0.7694429285090782
US,AR_Only,Full,0.7274571446393702,0.4673234202879748
US,Financial_Only,Full,1.7171131282597616,0.08664503444558136
US,News_Pure,Full,2.056783396463155,0.0402817169444174
US,Financial_Clean,Full,1.6163815644851203,0.10671107827932591
UK,AR_Only,AR+News,-2.2246346837347075,0.026620502455193318
UK,AR_Only,Full,-1.597839041456901,0.11080825980388909
UK,Financial_Only,Full,-2.518448183873187,0.012146770961782849
UK,News_Pure,Full,-2.5143551598716654,0.012286569767181899
UK,Financial_Clean,Full,-1.8847811567491275,0.060128858286454534
