"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","1.8494","1.8442","1.8512","1.8387","","0.26%"
"12/30/2025","1.8446","1.8499","1.8519","1.8422","","-0.27%"
"12/29/2025","1.8496","1.8447","1.8509","1.8428","","0.21%"
"12/26/2025","1.8457","1.8502","1.8505","1.8425","","-0.24%"
"12/25/2025","1.8502","1.8466","1.8507","1.8459","","0.17%"
"12/24/2025","1.8470","1.8506","1.8521","1.8447","","-0.18%"
"12/23/2025","1.8503","1.8511","1.8556","1.8466","","-0.04%"
"12/22/2025","1.8510","1.8458","1.8521","1.8444","","0.24%"
"12/19/2025","1.8465","1.8437","1.8474","1.8391","","0.16%"
"12/18/2025","1.8435","1.8441","1.8520","1.8383","","-0.03%"
"12/17/2025","1.8440","1.8465","1.8482","1.8344","","-0.14%"
"12/16/2025","1.8465","1.8412","1.8505","1.8389","","0.26%"
"12/15/2025","1.8417","1.8409","1.8450","1.8381","","0.00%"
"12/12/2025","1.8417","1.8440","1.8458","1.8385","","-0.10%"
"12/11/2025","1.8436","1.8457","1.8501","1.8429","","-0.12%"
"12/10/2025","1.8459","1.8417","1.8487","1.8409","","0.24%"
"12/09/2025","1.8414","1.8456","1.8501","1.8395","","-0.25%"
"12/08/2025","1.8461","1.8434","1.8473","1.8375","","0.23%"
"12/05/2025","1.8418","1.8601","1.8639","1.8415","","-0.98%"
"12/04/2025","1.8601","1.8628","1.8676","1.8594","","-0.14%"
"12/03/2025","1.8628","1.8460","1.8635","1.8445","","0.92%"
"12/02/2025","1.8459","1.8497","1.8518","1.8434","","-0.20%"
"12/01/2025","1.8496","1.8500","1.8532","1.8469","","-0.02%"
"11/28/2025","1.8499","1.8577","1.8589","1.8434","","-0.41%"
"11/27/2025","1.8576","1.8595","1.8620","1.8548","","-0.11%"
"11/26/2025","1.8597","1.8562","1.8624","1.8492","","0.19%"
"11/25/2025","1.8562","1.8488","1.8627","1.8484","","0.40%"
"11/24/2025","1.8488","1.8466","1.8506","1.8449","","0.10%"
"11/21/2025","1.8470","1.8429","1.8489","1.8393","","0.23%"
"11/20/2025","1.8428","1.8349","1.8448","1.8328","","0.43%"
"11/19/2025","1.8350","1.8390","1.8415","1.8332","","-0.22%"
"11/18/2025","1.8390","1.8492","1.8504","1.8362","","-0.55%"
"11/17/2025","1.8491","1.8476","1.8508","1.8424","","0.10%"
"11/14/2025","1.8473","1.8515","1.8531","1.8408","","-0.23%"
"11/13/2025","1.8515","1.8394","1.8534","1.8355","","0.66%"
"11/12/2025","1.8394","1.8434","1.8450","1.8342","","-0.23%"
"11/11/2025","1.8437","1.8472","1.8489","1.8405","","-0.18%"
"11/10/2025","1.8470","1.8483","1.8505","1.8430","","-0.11%"
"11/07/2025","1.8490","1.8546","1.8553","1.8453","","-0.31%"
"11/06/2025","1.8547","1.8409","1.8555","1.8401","","0.73%"
"11/05/2025","1.8412","1.8366","1.8442","1.8351","","0.25%"
"11/04/2025","1.8366","1.8469","1.8484","1.8345","","-0.56%"
"11/03/2025","1.8469","1.8411","1.8500","1.8394","","0.21%"
"10/31/2025","1.8431","1.8397","1.8432","1.8365","","0.18%"
"10/30/2025","1.8397","1.8397","1.8439","1.8370","","0.00%"
"10/29/2025","1.8397","1.8509","1.8522","1.8323","","-0.61%"
"10/28/2025","1.8509","1.8659","1.8709","1.8492","","-0.80%"
"10/27/2025","1.8659","1.8637","1.8683","1.8600","","0.14%"
"10/24/2025","1.8633","1.8646","1.8726","1.8617","","-0.08%"
"10/23/2025","1.8648","1.8691","1.8703","1.8628","","-0.24%"
"10/22/2025","1.8692","1.8749","1.8766","1.8646","","-0.31%"
"10/21/2025","1.8750","1.8819","1.8836","1.8735","","-0.36%"
"10/20/2025","1.8818","1.8826","1.8869","1.8804","","-0.03%"
"10/17/2025","1.8823","1.8880","1.8921","1.8808","","-0.31%"
"10/16/2025","1.8881","1.8823","1.8902","1.8803","","0.31%"
"10/15/2025","1.8822","1.8708","1.8836","1.8693","","0.61%"
"10/14/2025","1.8707","1.8714","1.8755","1.8635","","-0.04%"
"10/13/2025","1.8715","1.8705","1.8729","1.8622","","0.01%"
"10/10/2025","1.8714","1.8654","1.8714","1.8557","","0.32%"
"10/09/2025","1.8654","1.8704","1.8718","1.8625","","-0.26%"
"10/08/2025","1.8703","1.8727","1.8751","1.8664","","-0.13%"
"10/07/2025","1.8727","1.8802","1.8814","1.8690","","-0.40%"
