"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","9,931.38","9,940.70","9,950.11","9,916.70","176.05M","-0.09%"
"12/30/2025","9,940.71","9,866.53","9,954.32","9,859.77","364.74M","0.75%"
"12/29/2025","9,866.53","9,870.69","9,892.79","9,858.46","341.17M","-0.04%"
"12/24/2025","9,870.68","9,889.20","9,893.15","9,862.04","163.41M","-0.19%"
"12/23/2025","9,889.22","9,865.94","9,901.48","9,846.29","534.19M","0.24%"
"12/22/2025","9,865.97","9,897.39","9,897.96","9,829.38","460.10M","-0.32%"
"12/19/2025","9,897.42","9,837.76","9,903.13","9,819.44","1.61B","0.61%"
"12/18/2025","9,837.77","9,774.32","9,845.10","9,748.26","701.42M","0.65%"
"12/17/2025","9,774.32","9,684.84","9,853.13","9,684.84","842.80M","0.92%"
"12/16/2025","9,684.79","9,751.31","9,764.77","9,655.73","759.47M","-0.68%"
"12/15/2025","9,751.31","9,649.00","9,769.02","9,649.00","656.25M","1.06%"
"12/12/2025","9,649.03","9,703.19","9,761.47","9,639.29","593.95M","-0.56%"
"12/11/2025","9,703.16","9,655.55","9,715.34","9,635.30","637.67M","0.49%"
"12/10/2025","9,655.53","9,642.01","9,689.47","9,622.74","923.67M","0.14%"
"12/09/2025","9,642.01","9,645.10","9,673.16","9,630.85","787.10M","-0.03%"
"12/08/2025","9,645.09","9,667.05","9,692.36","9,629.19","777.50M","-0.23%"
"12/05/2025","9,667.01","9,710.87","9,738.26","9,667.01","579.99M","-0.45%"
"12/04/2025","9,710.87","9,692.08","9,727.57","9,674.78","880.34M","0.19%"
"12/03/2025","9,692.07","9,701.79","9,711.34","9,677.67","742.06M","-0.10%"
"12/02/2025","9,701.80","9,702.52","9,744.82","9,682.27","648.05M","-0.01%"
"12/01/2025","9,702.53","9,720.55","9,735.35","9,686.88","807.28M","-0.18%"
"11/28/2025","9,720.51","9,693.95","9,740.24","9,693.95","537.32M","0.27%"
"11/27/2025","9,693.93","9,691.56","9,699.82","9,658.86","749.95M","0.02%"
"11/26/2025","9,691.58","9,609.56","9,704.25","9,593.26","985.97M","0.85%"
"11/25/2025","9,609.53","9,534.89","9,615.57","9,521.45","781.11M","0.78%"
"11/24/2025","9,534.91","9,539.72","9,592.55","9,524.74","1.67B","-0.05%"
"11/21/2025","9,539.71","9,527.68","9,541.24","9,423.90","803.02M","0.13%"
"11/20/2025","9,527.65","9,507.40","9,593.83","9,507.40","807.73M","0.21%"
"11/19/2025","9,507.41","9,552.31","9,568.47","9,507.41","858.87M","-0.47%"
"11/18/2025","9,552.30","9,675.44","9,675.64","9,511.73","798.03M","-1.27%"
"11/17/2025","9,675.43","9,698.35","9,707.67","9,667.91","803.29M","-0.24%"
"11/14/2025","9,698.37","9,807.72","9,807.72","9,610.45","712.69M","-1.11%"
"11/13/2025","9,807.68","9,911.44","9,913.23","9,804.76","624.19M","-1.05%"
"11/12/2025","9,911.42","9,899.62","9,930.09","9,878.33","714.96M","0.12%"
"11/11/2025","9,899.60","9,787.20","9,912.85","9,787.20","837.10M","1.15%"
"11/10/2025","9,787.15","9,682.57","9,800.35","9,682.57","716.01M","1.08%"
"11/07/2025","9,682.57","9,735.75","9,735.75","9,638.98","747.38M","-0.55%"
"11/06/2025","9,735.78","9,777.10","9,786.13","9,723.85","934.53M","-0.42%"
"11/05/2025","9,777.08","9,714.98","9,786.80","9,680.51","862.02M","0.64%"
"11/04/2025","9,714.96","9,701.40","9,714.96","9,574.15","1.02B","0.14%"
"11/03/2025","9,701.37","9,717.26","9,745.64","9,695.92","842.05M","-0.16%"
"10/31/2025","9,717.25","9,760.06","9,761.82","9,696.96","588.38M","-0.44%"
"10/30/2025","9,760.06","9,756.13","9,763.42","9,690.02","893.08M","0.04%"
"10/29/2025","9,756.14","9,696.77","9,787.63","9,696.75","750.22M","0.61%"
"10/28/2025","9,696.74","9,653.83","9,727.09","9,645.42","688.35M","0.44%"
"10/27/2025","9,653.82","9,645.59","9,672.74","9,632.83","703.77M","0.09%"
"10/24/2025","9,645.62","9,578.57","9,645.62","9,560.52","769.99M","0.70%"
"10/23/2025","9,578.57","9,515.00","9,594.82","9,505.72","774.88M","0.67%"
"10/22/2025","9,515.00","9,427.05","9,545.23","9,427.05","1.02B","0.93%"
"10/21/2025","9,426.99","9,403.57","9,441.24","9,403.50","611.81M","0.25%"
"10/20/2025","9,403.57","9,354.54","9,416.44","9,354.54","599.20M","0.52%"
"10/17/2025","9,354.57","9,436.11","9,436.11","9,276.91","731.78M","-0.86%"
"10/16/2025","9,436.09","9,424.76","9,436.09","9,389.65","451.41M","0.12%"
"10/15/2025","9,424.75","9,452.75","9,474.31","9,395.05","606.21M","-0.30%"
"10/14/2025","9,452.77","9,442.94","9,454.29","9,384.24","714.80M","0.10%"
"10/13/2025","9,442.87","9,427.46","9,459.89","9,409.67","845.46M","0.16%"
"10/10/2025","9,427.47","9,509.42","9,519.96","9,414.59","633.31M","-0.86%"
"10/09/2025","9,509.40","9,548.93","9,565.49","9,501.09","968.08M","-0.41%"
"10/08/2025","9,548.87","9,483.56","9,577.08","9,483.55","799.29M","0.69%"
"10/07/2025","9,483.58","9,479.13","9,507.11","9,473.11","641.97M","0.05%"
"10/06/2025","9,479.14","9,491.22","9,516.83","9,465.42","607.29M","-0.13%"
"10/03/2025","9,491.25","9,427.74","9,494.64","9,425.03","596.43M","0.67%"
"10/02/2025","9,427.73","9,446.44","9,475.07","9,417.62","650.74M","-0.20%"
"10/01/2025","9,446.43","9,350.46","9,457.91","9,347.59","835.52M","1.03%"
"09/30/2025","9,350.43","9,299.84","9,363.57","9,266.29","756.48M","0.54%"
"09/29/2025","9,299.84","9,284.82","9,354.61","9,284.82","535.42M","0.16%"
"09/26/2025","9,284.83","9,213.97","9,292.11","9,208.52","687.66M","0.77%"
"09/25/2025","9,213.98","9,250.43","9,251.15","9,203.17","643.11M","-0.39%"
"09/24/2025","9,250.43","9,223.34","9,266.43","9,177.09","628.54M","0.29%"
"09/23/2025","9,223.32","9,226.70","9,266.87","9,223.32","689.43M","-0.04%"
"09/22/2025","9,226.68","9,216.67","9,234.60","9,194.32","601.46M","0.11%"
"09/19/2025","9,216.67","9,228.11","9,250.99","9,207.70","1.72B","-0.12%"
"09/18/2025","9,228.11","9,208.37","9,245.24","9,208.33","635.95M","0.21%"
"09/17/2025","9,208.37","9,195.66","9,245.70","9,195.66","541.35M","0.14%"
"09/16/2025","9,195.66","9,277.03","9,282.13","9,195.66","1.16B","-0.88%"
"09/15/2025","9,277.03","9,283.29","9,314.42","9,262.67","876.76M","-0.07%"
"09/12/2025","9,283.29","9,297.58","9,340.70","9,283.29","638.35M","-0.15%"
"09/11/2025","9,297.58","9,225.39","9,297.58","9,225.39","614.40M","0.78%"
"09/10/2025","9,225.39","9,242.53","9,290.55","9,222.35","1.10B","-0.19%"
"09/09/2025","9,242.53","9,221.44","9,254.30","9,221.44","673.08M","0.23%"
"09/08/2025","9,221.44","9,208.21","9,234.91","9,190.55","473.46M","0.14%"
"09/05/2025","9,208.21","9,216.87","9,253.53","9,197.56","521.97M","-0.09%"
"09/04/2025","9,216.87","9,177.99","9,231.42","9,155.50","487.39M","0.42%"
"09/03/2025","9,177.99","9,116.69","9,179.62","9,107.40","705.34M","0.67%"
"09/02/2025","9,116.69","9,196.34","9,196.46","9,108.23","704.17M","-0.87%"
"09/01/2025","9,196.34","9,187.34","9,226.57","9,179.83","431.99M","0.10%"
"08/29/2025","9,187.34","9,216.82","9,223.14","9,179.18","782.84M","-0.32%"
"08/28/2025","9,216.82","9,255.50","9,269.95","9,207.39","545.76M","-0.42%"
"08/27/2025","9,255.50","9,265.80","9,301.86","9,230.61","579.73M","-0.11%"
"08/26/2025","9,265.80","9,321.40","9,325.94","9,249.61","1.23B","-0.60%"
"08/22/2025","9,321.40","9,309.20","9,357.51","9,285.64","503.75M","0.13%"
"08/21/2025","9,309.20","9,288.14","9,309.20","9,257.45","469.88M","0.23%"
"08/20/2025","9,288.14","9,189.22","9,301.19","9,166.76","732.52M","1.08%"
"08/19/2025","9,189.22","9,157.74","9,197.12","9,154.81","638.08M","0.34%"
"08/18/2025","9,157.74","9,138.90","9,165.67","9,126.88","899.40M","0.21%"
"08/15/2025","9,138.90","9,177.24","9,222.07","9,129.52","637.53M","-0.42%"
"08/14/2025","9,177.24","9,165.23","9,177.24","9,133.73","558.21M","0.13%"
"08/13/2025","9,165.23","9,147.81","9,182.74","9,142.37","667.75M","0.19%"
"08/12/2025","9,147.81","9,129.71","9,165.03","9,119.42","617.54M","0.20%"
"08/11/2025","9,129.71","9,095.73","9,137.70","9,093.18","572.43M","0.37%"
"08/08/2025","9,095.73","9,100.77","9,127.13","9,079.94","873.79M","-0.06%"
"08/07/2025","9,100.77","9,164.31","9,164.31","9,084.54","857.85M","-0.69%"
"08/06/2025","9,164.31","9,142.73","9,184.19","9,142.73","902.69M","0.24%"
"08/05/2025","9,142.73","9,128.30","9,177.95","9,126.62","814.68M","0.16%"
"08/04/2025","9,128.30","9,068.58","9,129.10","9,068.07","1.26B","0.66%"
"08/01/2025","9,068.58","9,132.81","9,132.81","9,027.94","750.47M","-0.70%"
"07/31/2025","9,132.81","9,136.94","9,190.73","9,115.78","925.63M","-0.05%"
"07/30/2025","9,136.94","9,136.32","9,146.79","9,091.54","767.40M","0.01%"
"07/29/2025","9,136.32","9,081.44","9,163.24","9,076.38","712.91M","0.60%"
"07/28/2025","9,081.44","9,120.31","9,169.01","9,058.42","539.89M","-0.43%"
"07/25/2025","9,120.31","9,138.37","9,145.02","9,094.67","1.05B","-0.20%"
"07/24/2025","9,138.37","9,061.49","9,158.21","9,060.71","792.14M","0.85%"
"07/23/2025","9,061.49","9,023.81","9,080.09","9,023.27","715.00M","0.42%"
"07/22/2025","9,023.81","9,012.99","9,035.37","8,995.11","628.52M","0.12%"
"07/21/2025","9,012.99","8,992.12","9,012.99","8,975.22","765.36M","0.23%"
"07/18/2025","8,992.12","8,972.64","9,016.36","8,969.09","677.00M","0.22%"
"07/17/2025","8,972.64","8,926.55","8,982.84","8,926.55","562.28M","0.52%"
"07/16/2025","8,926.55","8,938.32","8,972.29","8,926.55","626.75M","-0.13%"
"07/15/2025","8,938.32","8,998.06","9,016.98","8,938.32","672.75M","-0.66%"
"07/14/2025","8,998.06","8,941.12","8,999.22","8,931.09","513.38M","0.64%"
"07/11/2025","8,941.12","8,975.66","8,984.14","8,918.49","673.21M","-0.38%"
"07/10/2025","8,975.66","8,867.02","8,979.41","8,867.02","749.97M","1.23%"
"07/09/2025","8,867.02","8,854.18","8,887.70","8,854.18","707.38M","0.15%"
"07/08/2025","8,854.18","8,806.53","8,854.18","8,803.27","687.25M","0.54%"
"07/07/2025","8,806.53","8,822.91","8,836.88","8,798.66","576.85M","-0.19%"
