"Date","Price","Open","High","Low","Change %"
"12/31/2025","4.4740","4.4960","4.4990","4.4650","-0.51%"
"12/30/2025","4.4970","4.4890","4.5030","4.4750","0.16%"
"12/29/2025","4.4900","4.4530","4.5080","4.4530","-0.40%"
"12/24/2025","4.5080","4.5160","4.5290","4.4980","-0.13%"
"12/23/2025","4.5140","4.5200","4.5320","4.4910","-0.11%"
"12/22/2025","4.5190","4.5380","4.5440","4.5170","-0.35%"
"12/19/2025","4.5350","4.5040","4.5500","4.4990","1.30%"
"12/18/2025","4.4770","4.4780","4.5230","4.4340","0.04%"
"12/17/2025","4.4750","4.4510","4.4930","4.4480","-0.89%"
"12/16/2025","4.5150","4.5010","4.5660","4.4970","0.36%"
"12/15/2025","4.4990","4.5090","4.5090","4.4860","-0.49%"
"12/12/2025","4.5210","4.4730","4.5290","4.4700","0.96%"
"12/11/2025","4.4780","4.5120","4.5120","4.4600","-0.71%"
"12/10/2025","4.5100","4.5270","4.5600","4.5060","0.09%"
"12/09/2025","4.5060","4.5400","4.5490","4.4900","-0.55%"
"12/08/2025","4.5310","4.5150","4.5560","4.4900","1.18%"
"12/05/2025","4.4780","4.4360","4.4830","4.4260","1.11%"
"12/04/2025","4.4290","4.4570","4.4670","4.4160","-0.23%"
"12/03/2025","4.4390","4.4530","4.4830","4.4290","-0.47%"
"12/02/2025","4.4600","4.4750","4.5090","4.4580","-0.42%"
"12/01/2025","4.4790","4.4790","4.5040","4.4640","0.86%"
"11/28/2025","4.4410","4.4460","4.4640","4.4290","-0.22%"
"11/27/2025","4.4510","4.4250","4.4820","4.4240","0.70%"
"11/26/2025","4.4200","4.5220","4.5400","4.4150","-2.32%"
"11/25/2025","4.5250","4.5490","4.5540","4.4830","-0.18%"
"11/24/2025","4.5330","4.5310","4.5560","4.5260","-0.35%"
"11/21/2025","4.5490","4.5760","4.5760","4.5230","-0.83%"
"11/20/2025","4.5870","4.6180","4.6200","4.5770","-0.56%"
"11/19/2025","4.6130","4.5390","4.6180","4.5340","1.23%"
"11/18/2025","4.5570","4.5280","4.5610","4.5140","0.40%"
"11/17/2025","4.5390","4.5810","4.5890","4.5330","-0.92%"
"11/14/2025","4.5810","4.5610","4.5860","4.4890","3.27%"
"11/13/2025","4.4360","4.4060","4.4420","4.3810","0.82%"
"11/12/2025","4.4000","4.4050","4.4290","4.3960","0.41%"
"11/11/2025","4.3820","4.4230","4.4240","4.3750","-1.66%"
"11/10/2025","4.4560","4.5030","4.5050","4.4510","-0.20%"
"11/07/2025","4.4650","4.4630","4.4930","4.4560","0.47%"
"11/06/2025","4.4440","4.4470","4.4740","4.4230","-0.43%"
"11/05/2025","4.4630","4.4070","4.4750","4.4070","0.97%"
"11/04/2025","4.4200","4.4000","4.4320","4.3790","-0.18%"
"11/03/2025","4.4280","4.4110","4.4490","4.4010","0.54%"
"10/31/2025","4.4040","4.4260","4.4400","4.4030","-0.16%"
"10/30/2025","4.4110","4.4330","4.4530","4.4090","0.34%"
"10/29/2025","4.3960","4.3850","4.4050","4.3840","-0.09%"
"10/28/2025","4.4000","4.3780","4.4140","4.3700","-0.07%"
"10/27/2025","4.4030","4.4490","4.4620","4.4000","-0.63%"
"10/24/2025","4.4310","4.4120","4.4480","4.3910","0.29%"
"10/23/2025","4.4180","4.4260","4.4460","4.4030","0.07%"
"10/22/2025","4.4150","4.4210","4.4420","4.3700","-1.36%"
"10/21/2025","4.4760","4.4850","4.5230","4.4650","-0.62%"
"10/20/2025","4.5040","4.5340","4.5430","4.5010","-0.64%"
"10/17/2025","4.5330","4.4650","4.5550","4.4520","1.21%"
"10/16/2025","4.4790","4.5380","4.5590","4.4720","-1.58%"
"10/15/2025","4.5510","4.5530","4.5620","4.5240","-0.50%"
"10/14/2025","4.5740","4.6300","4.6300","4.5710","-1.68%"
"10/13/2025","4.6520","4.6750","4.6980","4.6440","-0.45%"
"10/10/2025","4.6730","4.7240","4.7350","4.6590","-1.54%"
"10/09/2025","4.7460","4.7170","4.7600","4.7060","0.89%"
"10/08/2025","4.7040","4.7120","4.7280","4.6940","-0.36%"
"10/07/2025","4.7210","4.7430","4.7680","4.7150","-0.30%"
"10/06/2025","4.7350","4.7230","4.7610","4.7160","0.83%"
"10/03/2025","4.6960","4.7070","4.7120","4.6810","0.09%"
"10/02/2025","4.6920","4.6960","4.7490","4.6910","-0.06%"
"10/01/2025","4.6950","4.7330","4.7460","4.6770","-0.06%"
"09/30/2025","4.6980","4.6940","4.7260","4.6870","0.02%"
"09/29/2025","4.6970","4.7200","4.7350","4.6960","-1.05%"
"09/26/2025","4.7470","4.7420","4.7730","4.7150","0.00%"
"09/25/2025","4.7470","4.6770","4.7750","4.6710","1.63%"
"09/24/2025","4.6710","4.6550","4.6990","4.6530","-0.28%"
"09/23/2025","4.6840","4.6950","4.7160","4.6670","-0.45%"
"09/22/2025","4.7050","4.7110","4.7320","4.6890","-0.08%"
"09/19/2025","4.7090","4.7050","4.7290","4.6860","1.14%"
"09/18/2025","4.6560","4.6300","4.6910","4.6100","0.69%"
"09/17/2025","4.6240","4.6280","4.6390","4.6070","-0.28%"
"09/16/2025","4.6370","4.6360","4.6750","4.6270","0.06%"
"09/15/2025","4.6340","4.6560","4.6800","4.6280","-0.45%"
"09/12/2025","4.6550","4.6310","4.6800","4.5970","1.31%"
"09/11/2025","4.5950","4.6440","4.6490","4.5910","-0.71%"
"09/10/2025","4.6280","4.6130","4.6530","4.6080","0.19%"
"09/09/2025","4.6190","4.6250","4.6460","4.5960","0.17%"
"09/08/2025","4.6110","4.6630","4.6710","4.6040","-1.01%"
"09/05/2025","4.6580","4.6890","4.7230","4.6410","-1.19%"
"09/04/2025","4.7140","4.7470","4.7540","4.7100","-0.53%"
"09/03/2025","4.7390","4.8150","4.8600","4.7370","-1.27%"
"09/02/2025","4.8000","4.7820","4.8350","4.7710","1.14%"
"09/01/2025","4.7460","4.7410","4.7700","4.7270","0.70%"
"08/29/2025","4.7130","4.7020","4.7450","4.6980","0.23%"
"08/28/2025","4.7020","4.7210","4.7400","4.6920","-0.57%"
"08/27/2025","4.7290","4.7610","4.7660","4.7120","-0.02%"
"08/26/2025","4.7300","4.7290","4.7770","4.7270","0.90%"
"08/22/2025","4.6880","4.7320","4.7740","4.6850","-0.85%"
"08/21/2025","4.7280","4.6720","4.7510","4.6720","1.16%"
"08/20/2025","4.6740","4.7290","4.7550","4.6710","-0.95%"
"08/19/2025","4.7190","4.7310","4.7670","4.7140","-0.23%"
"08/18/2025","4.7300","4.7090","4.7650","4.6590","0.60%"
"08/15/2025","4.7020","4.6330","4.7080","4.6330","1.40%"
"08/14/2025","4.6370","4.5830","4.6520","4.5730","0.96%"
"08/13/2025","4.5930","4.6060","4.6230","4.5800","-0.54%"
"08/12/2025","4.6180","4.5850","4.6480","4.5850","1.18%"
"08/11/2025","4.5640","4.5860","4.5870","4.5480","-0.85%"
"08/08/2025","4.6030","4.5660","4.6130","4.5610","1.03%"
"08/07/2025","4.5560","4.5300","4.5970","4.5130","0.84%"
"08/06/2025","4.5180","4.5470","4.5810","4.5020","0.04%"
"08/05/2025","4.5160","4.5110","4.5450","4.4950","0.09%"
"08/04/2025","4.5120","4.5280","4.5650","4.4960","-0.18%"
"08/01/2025","4.5200","4.6170","4.6530","4.5030","-1.14%"
"07/31/2025","4.5720","4.5630","4.6070","4.5560","-0.52%"
"07/30/2025","4.5960","4.6180","4.6260","4.5750","-0.50%"
"07/29/2025","4.6190","4.6490","4.6940","4.6070","-0.60%"
"07/28/2025","4.6470","4.6280","4.6650","4.6020","0.50%"
"07/25/2025","4.6240","4.6340","4.6720","4.6210","0.06%"
"07/24/2025","4.6210","4.6410","4.6800","4.6110","-0.45%"
"07/23/2025","4.6420","4.6120","4.6500","4.5980","1.58%"
"07/22/2025","4.5700","4.6000","4.6540","4.5630","-0.72%"
"07/21/2025","4.6030","4.6580","4.6580","4.5990","-1.48%"
"07/18/2025","4.6720","4.6760","4.6960","4.6530","-0.06%"
"07/17/2025","4.6750","4.6600","4.6820","4.6370","0.75%"
"07/16/2025","4.6400","4.6550","4.6890","4.6130","0.35%"
"07/15/2025","4.6240","4.5900","4.6590","4.5560","0.67%"
"07/14/2025","4.5930","4.6260","4.6460","4.5910","-0.80%"
"07/11/2025","4.6300","4.6020","4.6450","4.5840","0.76%"
"07/10/2025","4.5950","4.5900","4.6210","4.5710","-0.13%"
"07/09/2025","4.6010","4.6250","4.6480","4.5960","-0.67%"
"07/08/2025","4.6320","4.5930","4.6650","4.5930","1.20%"
"07/07/2025","4.5770","4.5490","4.6010","4.5230","0.66%"
"07/04/2025","4.5470","4.5160","4.5760","4.5060","0.00%"
"07/03/2025","4.5470","4.5550","4.5900","4.5090","-1.39%"
"07/02/2025","4.6110","4.4370","4.6810","4.4370","3.78%"
"07/01/2025","4.4430","4.4480","4.5010","4.4130","-0.91%"
"06/30/2025","4.4840","4.5050","4.5260","4.4680","-0.36%"
"06/27/2025","4.5000","4.4690","4.5220","4.4600","0.69%"
"06/26/2025","4.4690","4.4640","4.4950","4.4510","0.29%"
"06/25/2025","4.4560","4.4630","4.5050","4.4400","-0.20%"
"06/24/2025","4.4650","4.4840","4.5570","4.4420","-0.58%"
"06/23/2025","4.4910","4.5680","4.5750","4.4810","-0.73%"
"06/20/2025","4.5240","4.5060","4.5720","4.5010","-0.24%"
"06/19/2025","4.5350","4.5450","4.5560","4.4990","0.73%"
"06/18/2025","4.5020","4.5380","4.5620","4.4940","-0.84%"
"06/17/2025","4.5400","4.5570","4.5830","4.5060","-0.07%"
"06/16/2025","4.5430","4.5720","4.6010","4.5240","-0.33%"
"06/13/2025","4.5580","4.4880","4.5700","4.4590","1.88%"
"06/12/2025","4.4740","4.5130","4.5430","4.4710","-1.65%"
"06/11/2025","4.5490","4.5590","4.6200","4.5440","0.07%"
"06/10/2025","4.5460","4.6060","4.6060","4.5270","-1.69%"
"06/09/2025","4.6240","4.6310","4.6820","4.6010","-0.43%"
"06/06/2025","4.6440","4.6180","4.6720","4.5890","0.76%"
"06/05/2025","4.6090","4.6070","4.6480","4.5570","0.33%"
"06/04/2025","4.5940","4.6380","4.6780","4.5910","-0.95%"
"06/03/2025","4.6380","4.6440","4.6550","4.5990","-0.51%"
