Rank,Model,Text_Rep,RMSE,MAE,Dir_Acc,R2,Val_RMSE
1,"GARCH(1,1)",None,0.006908439305834559,0.0047572439514618455,0.5617977528089888,-0.0013278564091823153,
2,FinBERT + Stacking,FinBERT,0.006915262608118645,0.004780411490180262,0.5258426966292135,-0.0033068089420842384,0.007397861087252612
3,Naive (Mean),None,0.006919127369119793,0.004775246721732572,0.5640449438202247,-0.004428566646965004,
4,"ARIMA(1,0,1)",None,0.0069192279298979165,0.004775474391712012,0.5640449438202247,-0.004457763060570663,
5,TF-IDF + Stacking,TF-IDF,0.006920546598943888,0.00477542102153357,0.5191011235955056,-0.004840659415458859,0.007387739873377667
6,Sentiment + LightGBM,Sentiment,0.007122043133863706,0.004934442368382363,0.5078651685393258,-0.0642057582396971,0.007162080349859089
7,LightGBM (Fin Only),None,0.0071759377619714905,0.0049528122475887525,0.5123595505617977,-0.08037302473845398,
8,TF-IDF + Transformer,TF-IDF,0.007204922319047463,0.004994879791110639,0.5393258426966292,-0.08911818825384854,0.007451381187348746
9,TF-IDF + LightGBM,TF-IDF,0.007249892776169275,0.0050095781649894785,0.5056179775280899,-0.10275636291420875,0.007100895769953045
10,Weighted Blending (Top-3),Mixed,0.007283457301984922,0.005013184055493312,0.5101123595505618,-0.1129907692623986,0.007107201245175149
11,FinBERT + LightGBM,FinBERT,0.007438594552295509,0.005176366952327481,0.5235955056179775,-0.16090900701468525,0.007222730970293497
12,TF-IDF + BiLSTM,TF-IDF,0.007509099147556099,0.005274202134190482,0.5258426966292135,-0.18301998840419742,0.009206858010674277
13,TF-IDF + RF,TF-IDF,0.007579775553961259,0.0051919349751738345,0.501123595505618,-0.20539419875674292,0.007161918823372777
14,TF-IDF + Hybrid(RF->BiLSTM),TF-IDF,0.007658162692372227,0.005456318390054228,0.4853932584269663,-0.2304545656499828,0.008864909988137092
15,Linear Regression,None,0.00795667576744276,0.0055292140579129,0.4966292134831461,-0.32824970260766984,0.007532550507902477
16,FinBERT + Ridge,FinBERT,0.008080053522741907,0.005780561982905848,0.49887640449438203,-0.3697612638993746,0.007790354625967151
17,RF (Fin Only),None,0.008113615897446778,0.005626777172185215,0.5078651685393258,-0.3811641387091975,
18,BiLSTM (Fin Only),None,0.008324508320476097,0.005754522888106307,0.5056179775280899,-0.45389682698958,
19,FinBERT + Transformer,FinBERT,0.009407238576529024,0.006869364516651026,0.5483146067415731,-0.8566956582943548,0.011874543667072936
20,SVR (RBF),None,0.010576830929841033,0.007127621139821955,0.501123595505618,-1.3470780382771985,0.010114858460176332
21,FinBERT + BiLSTM,FinBERT,0.04557688502558683,0.03711727260793176,0.5258426966292135,-42.58185233392073,0.03979942610599858
