날짜,종가,시가,고가,저가,거래량,변동 %
2025-12-31,"87,612.70","88,469.50","89,119.30","87,245.60",45.91K,-0.97%
2025-12-30,"88,469.60","87,217.80","89,365.60","86,828.90",49.16K,1.44%
2025-12-29,"87,217.70","87,912.00","90,378.30","86,827.70",75.31K,-0.78%
2025-12-28,"87,904.30","87,853.00","88,030.50","87,448.90",21.00K,0.06%
2025-12-27,"87,850.80","87,357.60","87,935.10","87,252.00",19.68K,0.56%
2025-12-26,"87,357.90","87,248.00","89,519.00","86,684.70",66.26K,0.12%
2025-12-25,"87,249.30","87,656.80","88,524.00","86,959.90",25.91K,-0.46%
2025-12-24,"87,656.80","87,467.90","88,009.60","86,448.40",35.44K,0.22%
2025-12-23,"87,467.90","88,550.60","88,923.00","86,651.20",49.12K,-1.22%
2025-12-22,"88,547.20","88,640.60","90,457.50","87,945.70",53.40K,-0.10%
2025-12-21,"88,636.80","88,364.10","89,059.00","87,633.60",26.47K,0.31%
2025-12-20,"88,364.00","88,131.40","88,535.80","87,958.30",19.66K,0.26%
2025-12-19,"88,131.40","85,509.00","89,347.80","85,155.10",64.26K,3.07%
2025-12-18,"85,510.10","86,229.80","89,380.10","84,490.50",73.95K,-0.84%
2025-12-17,"86,230.20","87,859.50","90,258.20","85,351.40",61.48K,-1.85%
2025-12-16,"87,853.40","86,429.20","88,133.00","85,392.10",59.23K,1.65%
2025-12-15,"86,428.60","88,154.40","89,974.10","85,228.80",61.65K,-1.96%
2025-12-14,"88,155.30","90,248.30","90,472.30","87,657.90",32.26K,-2.32%
2025-12-13,"90,249.30","90,272.00","90,638.10","89,781.30",23.47K,-0.03%
2025-12-12,"90,272.00","92,510.40","92,744.60","89,498.10",49.84K,-2.42%
2025-12-11,"92,507.40","92,005.00","93,539.40","89,324.10",65.64K,0.56%
2025-12-10,"91,996.10","92,685.70","94,458.10","91,608.00",61.84K,-0.75%
2025-12-09,"92,693.00","90,636.10","94,591.40","89,592.20",68.38K,2.27%
2025-12-08,"90,636.20","90,413.60","92,269.10","89,640.70",51.82K,0.25%
2025-12-07,"90,413.60","89,209.80","91,736.80","87,747.60",38.67K,1.35%
2025-12-06,"89,209.80","89,333.60","90,176.50","88,929.50",30.14K,-0.14%
2025-12-05,"89,333.60","92,082.80","92,676.40","88,218.40",61.14K,-2.99%
2025-12-04,"92,082.80","93,437.20","94,043.90","90,933.20",60.28K,-1.45%
2025-12-03,"93,437.20","91,286.80","94,077.00","91,020.80",79.02K,2.35%
2025-12-02,"91,287.60","86,315.20","92,285.40","86,189.80",87.36K,5.77%
2025-12-01,"86,309.10","90,372.20","90,372.20","83,858.10",105.96K,-4.50%
2025-11-30,"90,374.20","90,804.10","91,957.00","90,351.70",31.09K,-0.47%
2025-11-29,"90,800.50","90,894.70","91,160.20","90,225.30",28.05K,-0.10%
2025-11-28,"90,894.70","91,324.70","92,942.60","90,221.50",60.08K,-0.47%
