"날짜","종가","시가","고가","저가","거래량","변동 %"
"2025- 12- 31","1.3725","1.3693","1.3729","1.3687","","0.20%"
"2025- 12- 30","1.3697","1.3691","1.3710","1.3678","","0.04%"
"2025- 12- 29","1.3691","1.3666","1.3703","1.3657","","0.14%"
"2025- 12- 26","1.3672","1.3682","1.3687","1.3642","","-0.07%"
"2025- 12- 25","1.3682","1.3672","1.3685","1.3667","","0.04%"
"2025- 12- 24","1.3676","1.3689","1.3695","1.3664","","-0.09%"
"2025- 12- 23","1.3688","1.3750","1.3755","1.3685","","-0.44%"
"2025- 12- 22","1.3749","1.3796","1.3806","1.3735","","-0.38%"
"2025- 12- 19","1.3802","1.3778","1.3807","1.3754","","0.19%"
"2025- 12- 18","1.3776","1.3786","1.3798","1.3755","","-0.07%"
"2025- 12- 17","1.3786","1.3756","1.3800","1.3752","","0.22%"
"2025- 12- 16","1.3756","1.3771","1.3783","1.3729","","-0.09%"
"2025- 12- 15","1.3769","1.3767","1.3790","1.3747","","-0.03%"
"2025- 12- 12","1.3773","1.3773","1.3796","1.3752","","0.01%"
"2025- 12- 11","1.3771","1.3792","1.3825","1.3756","","-0.17%"
"2025- 12- 10","1.3794","1.3849","1.3873","1.3783","","-0.39%"
"2025- 12- 09","1.3848","1.3857","1.3862","1.3823","","-0.07%"
"2025- 12- 08","1.3858","1.3828","1.3861","1.3799","","0.30%"
"2025- 12- 05","1.3816","1.3958","1.3962","1.3815","","-1.02%"
"2025- 12- 04","1.3958","1.3950","1.3979","1.3925","","0.06%"
"2025- 12- 03","1.3950","1.3973","1.3977","1.3937","","-0.14%"
"2025- 12- 02","1.3970","1.3999","1.4015","1.3966","","-0.20%"
"2025- 12- 01","1.3998","1.3975","1.4003","1.3954","","0.17%"
"2025- 11- 28","1.3974","1.4031","1.4053","1.3937","","-0.40%"
"2025- 11- 27","1.4030","1.4044","1.4051","1.4028","","-0.10%"
"2025- 11- 26","1.4044","1.4097","1.4106","1.4034","","-0.38%"
"2025- 11- 25","1.4097","1.4111","1.4126","1.4089","","-0.08%"
"2025- 11- 24","1.4108","1.4104","1.4120","1.4091","","0.05%"
"2025- 11- 21","1.4101","1.4097","1.4132","1.4080","","0.03%"
"2025- 11- 20","1.4097","1.4050","1.4109","1.4039","","0.33%"
