Model A,Model B,ΔMSE,p-value,Sig
Linear Regression,TF-IDF + LightGBM,-0.00000193,0.4885,n.s.
Linear Regression,LightGBM (Fin Only),-0.00000244,0.4772,n.s.
Linear Regression,RF (Fin Only),-0.00000262,0.4688,n.s.
Linear Regression,FinBERT + Ridge,-0.00000368,0.0008,***
TF-IDF + LightGBM,LightGBM (Fin Only),-0.00000051,0.2265,n.s.
TF-IDF + LightGBM,RF (Fin Only),-0.00000069,0.3660,n.s.
TF-IDF + LightGBM,FinBERT + Ridge,-0.00000175,0.4017,n.s.
LightGBM (Fin Only),RF (Fin Only),-0.00000018,0.4536,n.s.
LightGBM (Fin Only),FinBERT + Ridge,-0.00000124,0.4185,n.s.
RF (Fin Only),FinBERT + Ridge,-0.00000106,0.4241,n.s.
