Rank,Model,Text_Rep,RMSE,MAE,Dir_Acc,R2,Val_RMSE
1,Linear Regression,None,0.008021553589832423,0.005969992932951759,0.7765486725663717,0.6439148318302872,0.011725711615839162
2,TF-IDF + LightGBM,TF-IDF,0.008141010166911255,0.005701134384274797,0.7876106194690266,0.6332302575311237,0.011221702455871075
3,LightGBM (Fin Only),None,0.008172030558105168,0.005714016197022437,0.7876106194690266,0.6304298637996315,
4,RF (Fin Only),None,0.008183164489730292,0.005801205708739677,0.7898230088495575,0.6294221407696743,
5,FinBERT + Ridge,FinBERT,0.00824750873037359,0.0061516007068494446,0.7610619469026548,0.6235715200568422,0.01187973406625436
6,TF-IDF + RF,TF-IDF,0.008270613768146758,0.005811362182777593,0.7831858407079646,0.6214594696864872,0.011411916050569277
7,Weighted Blending (Top-3),Mixed,0.008273908767272187,0.005766322289508429,0.7898230088495575,0.6211577897361003,0.01119739554430742
8,FinBERT + LightGBM,FinBERT,0.008322438390556922,0.005766845193142121,0.7876106194690266,0.6167006491071498,0.011312863864389377
9,Sentiment + LightGBM,Sentiment,0.008532458957524301,0.005936455673109769,0.7809734513274337,0.5971110817505608,0.01118399588002187
10,TF-IDF + Stacking,TF-IDF,0.010551333121569846,0.0072247980644432885,0.7831858407079646,0.38389948008850827,0.01294903159193194
11,FinBERT + Stacking,FinBERT,0.010561722290793312,0.007227835245214628,0.7876106194690266,0.3826856194918148,0.012969957511492517
12,SVR (RBF),None,0.01244921191252053,0.008091296505070672,0.6991150442477876,0.14232919821094214,0.014525859329013737
13,"GARCH(1,1)",None,0.013408237488355896,0.008927324159550023,0.577433628318584,0.005098024133062817,
14,FinBERT + Transformer,FinBERT,0.013442689100269177,0.009043236211344577,0.5597345132743363,-2.1218685140711457e-05,0.014466215158062306
15,Naive (Mean),None,0.013443505549910313,0.008966468148427659,0.584070796460177,-0.0001426961296213669,
16,"ARIMA(1,0,1)",None,0.013445363528580789,0.00896363405491922,0.5862831858407079,-0.0004191675009530549,
17,TF-IDF + Transformer,TF-IDF,0.013614153347241052,0.00912950050699555,0.5,-0.025694867445653413,0.014606949698366962
18,TF-IDF + Hybrid(RF->BiLSTM),TF-IDF,0.014411116893282363,0.010035927463287568,0.49557522123893805,-0.14929677461668445,0.015381812447541235
19,FinBERT + BiLSTM,FinBERT,0.014503940607558304,0.01031844860522886,0.4823008849557522,-0.16414997050910674,0.015509069773753801
20,BiLSTM (Fin Only),None,0.01466483440867311,0.010229354613731114,0.5442477876106194,-0.19012131356109507,
21,TF-IDF + BiLSTM,TF-IDF,0.015527920482936148,0.010707317312757217,0.47123893805309736,-0.3343307756412439,0.015334054868663263
