"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","9.4240","9.4231","9.4325","9.3720","","0.02%"
"12/30/2025","9.4224","9.4666","9.4673","9.4088","","-0.45%"
"12/29/2025","9.4648","9.4538","9.4776","9.4365","","0.06%"
"12/26/2025","9.4587","9.4730","9.4797","9.4447","","-0.17%"
"12/25/2025","9.4744","9.4733","9.4849","9.4624","","0.00%"
"12/24/2025","9.4740","9.5001","9.5129","9.4631","","-0.29%"
"12/23/2025","9.5011","9.4715","9.5064","9.4669","","0.29%"
"12/22/2025","9.4736","9.4241","9.4848","9.4139","","0.57%"
"12/19/2025","9.4203","9.4222","9.4318","9.4039","","-0.03%"
"12/18/2025","9.4230","9.4224","9.4684","9.3924","","0.01%"
"12/17/2025","9.4221","9.4537","9.4569","9.3775","","-0.33%"
"12/16/2025","9.4530","9.4246","9.4767","9.4046","","0.28%"
"12/15/2025","9.4270","9.4405","9.4462","9.4142","","-0.08%"
"12/12/2025","9.4341","9.4511","9.4585","9.4123","","-0.16%"
"12/11/2025","9.4493","9.4556","9.4860","9.4245","","-0.06%"
"12/10/2025","9.4546","9.3964","9.4595","9.3903","","0.66%"
"12/09/2025","9.3928","9.4210","9.4381","9.3856","","-0.30%"
"12/08/2025","9.4206","9.4205","9.4347","9.4079","","-0.05%"
"12/05/2025","9.4251","9.4240","9.4492","9.4142","","0.01%"
"12/04/2025","9.4240","9.4320","9.4665","9.4193","","-0.08%"
"12/03/2025","9.4320","9.3435","9.4348","9.3347","","0.95%"
"12/02/2025","9.3428","9.3432","9.3557","9.3172","","-0.01%"
"12/01/2025","9.3439","9.3613","9.3888","9.3380","","-0.23%"
"11/28/2025","9.3659","9.3736","9.3785","9.3390","","-0.08%"
"11/27/2025","9.3732","9.3693","9.3951","9.3548","","0.03%"
"11/26/2025","9.3700","9.3277","9.3729","9.2912","","0.45%"
"11/25/2025","9.3281","9.3083","9.3631","9.2896","","0.21%"
"11/24/2025","9.3083","9.3129","9.3201","9.2905","","-0.01%"
"11/21/2025","9.3090","9.3032","9.3181","9.2708","","0.06%"
"11/20/2025","9.3032","9.2874","9.3342","9.2783","","0.17%"
"11/19/2025","9.2874","9.3440","9.3543","9.2749","","-0.61%"
"11/18/2025","9.3440","9.3513","9.3721","9.3354","","-0.07%"
"11/17/2025","9.3506","9.3320","9.3779","9.3293","","-0.01%"
"11/14/2025","9.3518","9.3605","9.3717","9.3074","","-0.09%"
"11/13/2025","9.3605","9.3365","9.3782","9.3044","","0.21%"
"11/12/2025","9.3412","9.3596","9.3674","9.3096","","-0.20%"
"11/11/2025","9.3596","9.3801","9.3851","9.3395","","-0.21%"
"11/10/2025","9.3794","9.3715","9.3924","9.3526","","0.06%"
"11/07/2025","9.3741","9.3527","9.3848","9.3260","","0.23%"
"11/06/2025","9.3527","9.2986","9.3577","9.2965","","0.56%"
"11/05/2025","9.3004","9.2844","9.3047","9.2724","","0.17%"
"11/04/2025","9.2844","9.3595","9.3634","9.2751","","-0.77%"
"11/03/2025","9.3567","9.3523","9.3764","9.3343","","-0.07%"
"10/31/2025","9.3629","9.3527","9.3637","9.3221","","0.11%"
"10/30/2025","9.3527","9.3662","9.3936","9.3309","","-0.14%"
"10/29/2025","9.3658","9.4218","9.4296","9.3267","","-0.59%"
"10/28/2025","9.4218","9.4830","9.4997","9.4075","","-0.65%"
"10/27/2025","9.4830","9.4809","9.4984","9.4645","","0.02%"
"10/24/2025","9.4810","9.4925","9.5164","9.4617","","-0.12%"
"10/23/2025","9.4925","9.5177","9.5238","9.4782","","-0.27%"
"10/22/2025","9.5185","9.5234","9.5366","9.4790","","-0.05%"
"10/21/2025","9.5234","9.5448","9.5537","9.5123","","-0.22%"
"10/20/2025","9.5444","9.5688","9.5783","9.5402","","-0.25%"
"10/17/2025","9.5684","9.5729","9.5951","9.5424","","-0.02%"
"10/16/2025","9.5701","9.5519","9.5882","9.5437","","0.19%"
"10/15/2025","9.5515","9.5124","9.5561","9.5019","","0.45%"
"10/14/2025","9.5085","9.5088","9.5307","9.4588","","0.00%"
"10/13/2025","9.5088","9.5324","9.5397","9.4968","","-0.25%"
"10/10/2025","9.5324","9.4844","9.5328","9.4449","","0.51%"
"10/09/2025","9.4844","9.5434","9.5705","9.4659","","-0.63%"
"10/08/2025","9.5441","9.5580","9.5687","9.5189","","-0.15%"
"10/07/2025","9.5580","9.6011","9.6043","9.5338","","-0.44%"
"10/06/2025","9.6007","9.5627","9.6057","9.5509","","0.04%"
"10/03/2025","9.5968","9.5626","9.6029","9.5598","","0.30%"
"10/02/2025","9.5683","9.5954","9.6200","9.5395","","-0.28%"
"10/01/2025","9.5954","9.5769","9.6321","9.5644","","0.24%"
"09/30/2025","9.5726","9.5593","9.5894","9.5488","","0.14%"
"09/29/2025","9.5593","9.5582","9.5814","9.5505","","-0.03%"
"09/26/2025","9.5625","9.5215","9.5694","9.5094","","0.43%"
"09/25/2025","9.5211","9.5910","9.6006","9.5057","","-0.72%"
"09/24/2025","9.5906","9.6199","9.6235","9.5716","","-0.30%"
"09/23/2025","9.6199","9.6141","9.6265","9.5926","","0.06%"
"09/22/2025","9.6141","9.5925","9.6205","9.5692","","0.31%"
"09/19/2025","9.5847","9.6409","9.6446","9.5811","","-0.58%"
"09/18/2025","9.6409","9.6797","9.7076","9.6251","","-0.40%"
"09/17/2025","9.6794","9.7090","9.7519","9.6737","","-0.30%"
"09/16/2025","9.7090","9.6840","9.7282","9.6780","","0.29%"
"09/15/2025","9.6811","9.6591","9.7011","9.6499","","0.22%"
"09/12/2025","9.6598","9.6628","9.6698","9.6342","","-0.03%"
"09/11/2025","9.6628","9.6352","9.6703","9.6139","","0.29%"
"09/10/2025","9.6352","9.6326","9.6617","9.6228","","0.02%"
"09/09/2025","9.6336","9.6578","9.6796","9.6258","","-0.25%"
"09/08/2025","9.6578","9.6301","9.6666","9.6154","","0.22%"
"09/05/2025","9.6362","9.5935","9.6726","9.5888","","0.44%"
"09/04/2025","9.5938","9.6026","9.6107","9.5805","","-0.09%"
"09/03/2025","9.6026","9.5634","9.6134","9.5300","","0.41%"
"09/02/2025","9.5634","9.6664","9.6728","9.5323","","-1.09%"
"09/01/2025","9.6685","9.6294","9.6728","9.6237","","0.40%"
"08/29/2025","9.6298","9.6357","9.6401","9.5893","","-0.06%"
"08/28/2025","9.6357","9.6566","9.6685","9.6182","","-0.22%"
"08/27/2025","9.6565","9.6439","9.6605","9.6085","","0.15%"
"08/26/2025","9.6425","9.6228","9.6615","9.6156","","0.21%"
"08/25/2025","9.6224","9.6916","9.6948","9.6149","","-0.73%"
"08/22/2025","9.6927","9.6301","9.7066","9.6191","","0.64%"
"08/21/2025","9.6309","9.6610","9.6786","9.6248","","-0.27%"
"08/20/2025","9.6574","9.6859","9.7051","9.6491","","-0.33%"
"08/19/2025","9.6898","9.7018","9.7163","9.6790","","-0.13%"
"08/18/2025","9.7025","9.7328","9.7462","9.7000","","-0.32%"
"08/15/2025","9.7336","9.7174","9.7517","9.7102","","0.17%"
"08/14/2025","9.7174","9.7405","9.7535","9.7069","","-0.24%"
"08/13/2025","9.7405","9.6916","9.7467","9.6891","","0.50%"
"08/12/2025","9.6916","9.6553","9.7145","9.6475","","0.36%"
"08/11/2025","9.6564","9.6527","9.6798","9.6279","","-0.07%"
"08/08/2025","9.6631","9.6540","9.6700","9.6382","","0.10%"
"08/07/2025","9.6536","9.5920","9.6591","9.5836","","0.62%"
"08/06/2025","9.5938","9.5551","9.6032","9.5474","","0.41%"
"08/05/2025","9.5551","9.5416","9.5677","9.5303","","0.19%"
"08/04/2025","9.5369","9.5639","9.5931","9.5180","","-0.42%"
"08/01/2025","9.5769","9.5100","9.6002","9.4787","","0.71%"
"07/31/2025","9.5097","9.5211","9.5529","9.4904","","-0.15%"
"07/30/2025","9.5237","9.5830","9.6118","9.5154","","-0.62%"
"07/29/2025","9.5827","9.5907","9.5930","9.5518","","-0.05%"
"07/28/2025","9.5875","9.6299","9.6442","9.5824","","-0.47%"
"07/25/2025","9.6331","9.6661","9.6738","9.6162","","-0.34%"
"07/24/2025","9.6657","9.7211","9.7300","9.6596","","-0.61%"
"07/23/2025","9.7246","9.7095","9.7275","9.6820","","0.15%"
"07/22/2025","9.7099","9.6799","9.7116","9.6577","","0.28%"
"07/21/2025","9.6824","9.6213","9.6967","9.6162","","0.60%"
"07/18/2025","9.6245","9.6333","9.6736","9.6216","","-0.14%"
"07/17/2025","9.6380","9.6346","9.6432","9.6041","","0.01%"
"07/16/2025","9.6367","9.6000","9.6834","9.5971","","0.38%"
"07/15/2025","9.6000","9.6241","9.6613","9.5957","","-0.25%"
"07/14/2025","9.6241","9.6779","9.6847","9.6205","","-0.56%"
"07/11/2025","9.6779","9.7352","9.7485","9.6644","","-0.65%"
"07/10/2025","9.7410","9.7567","9.7758","9.7090","","-0.16%"
"07/09/2025","9.7567","9.7513","9.7800","9.7383","","0.06%"
"07/08/2025","9.7513","9.7572","9.7862","9.7026","","-0.06%"
"07/07/2025","9.7572","9.7680","9.7967","9.7370","","-0.26%"
"07/04/2025","9.7831","9.7913","9.8033","9.7666","","-0.07%"
"07/03/2025","9.7899","9.7724","9.7992","9.7296","","0.18%"
"07/02/2025","9.7724","9.8488","9.8557","9.7198","","-0.79%"
"07/01/2025","9.8499","9.8395","9.8763","9.8183","","0.11%"
"06/30/2025","9.8395","9.8250","9.8486","9.7975","","0.02%"
"06/27/2025","9.8375","9.8428","9.8623","9.8128","","-0.03%"
"06/26/2025","9.8407","9.8071","9.8715","9.7984","","0.35%"
"06/25/2025","9.8067","9.7639","9.8128","9.7498","","0.43%"
"06/24/2025","9.7646","9.7106","9.7892","9.6977","","0.56%"
"06/23/2025","9.7106","9.6422","9.7164","9.6104","","0.56%"
"06/20/2025","9.6569","9.6798","9.6991","9.6498","","-0.25%"
"06/19/2025","9.6810","9.6536","9.6841","9.6231","","0.33%"
"06/18/2025","9.6492","9.6508","9.6902","9.6331","","0.01%"
"06/17/2025","9.6483","9.7501","9.7541","9.6383","","-1.02%"
"06/16/2025","9.7480","9.7419","9.7835","9.7196","","0.06%"
"06/13/2025","9.7422","9.7654","9.7801","9.7067","","-0.24%"
"06/12/2025","9.7654","9.7493","9.7792","9.7118","","0.22%"
"06/11/2025","9.7439","9.7020","9.7604","9.6758","","0.43%"
"06/10/2025","9.7020","9.7351","9.7453","9.6743","","-0.29%"
"06/09/2025","9.7304","9.7260","9.7569","9.7147","","0.07%"
"06/06/2025","9.7238","9.7432","9.7544","9.7096","","-0.15%"
"06/05/2025","9.7382","9.7414","9.7692","9.7210","","-0.01%"
"06/04/2025","9.7389","9.7161","9.7586","9.7091","","0.23%"
"06/03/2025","9.7165","9.7460","9.7647","9.6972","","-0.36%"
"06/02/2025","9.7514","9.6891","9.7636","9.6851","","0.62%"
"05/30/2025","9.6913","9.6934","9.7185","9.6773","","-0.03%"
"05/29/2025","9.6938","9.6939","9.7076","9.6501","","0.04%"
"05/28/2025","9.6900","9.7216","9.7313","9.6773","","-0.30%"
"05/27/2025","9.7191","9.7494","9.7656","9.7134","","-0.30%"
"05/26/2025","9.7480","9.7060","9.7543","9.7021","","0.28%"
"05/23/2025","9.7207","9.6675","9.7241","9.6613","","0.55%"
"05/22/2025","9.6674","9.6654","9.6823","9.6491","","0.02%"
"05/21/2025","9.6657","9.6694","9.7062","9.6476","","-0.04%"
"05/20/2025","9.6694","9.6402","9.6718","9.6265","","0.30%"
"05/19/2025","9.6402","9.5659","9.6681","9.5634","","0.73%"
"05/16/2025","9.5703","9.5864","9.6015","9.5519","","-0.17%"
"05/15/2025","9.5864","9.5606","9.6009","9.5563","","0.27%"
"05/14/2025","9.5606","9.5903","9.6302","9.5527","","-0.30%"
"05/13/2025","9.5898","9.4905","9.5967","9.4708","","1.05%"
"05/12/2025","9.4904","9.6110","9.6230","9.4723","","-1.44%"
"05/09/2025","9.6291","9.5839","9.6425","9.5629","","0.47%"
"05/08/2025","9.5843","9.6067","9.6627","9.5752","","-0.20%"
"05/07/2025","9.6034","9.6485","9.6666","9.5944","","-0.47%"
"05/06/2025","9.6485","9.6662","9.6735","9.5915","","-0.18%"
