"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","1.1473","1.1464","1.1476","1.1433","","0.08%"
"12/30/2025","1.1464","1.1477","1.1492","1.1444","","-0.10%"
"12/29/2025","1.1475","1.1469","1.1484","1.1441","","0.07%"
"12/26/2025","1.1467","1.1479","1.1482","1.1445","","-0.13%"
"12/25/2025","1.1482","1.1462","1.1489","1.1461","","0.13%"
"12/24/2025","1.1467","1.1463","1.1473","1.1444","","0.05%"
"12/23/2025","1.1461","1.1452","1.1470","1.1441","","0.12%"
"12/22/2025","1.1447","1.1423","1.1462","1.1410","","0.18%"
"12/19/2025","1.1426","1.1415","1.1430","1.1395","","0.09%"
"12/18/2025","1.1416","1.1393","1.1450","1.1378","","0.20%"
"12/17/2025","1.1393","1.1427","1.1431","1.1366","","-0.31%"
"12/16/2025","1.1428","1.1381","1.1434","1.1365","","0.42%"
"12/15/2025","1.1380","1.1389","1.1406","1.1376","","-0.09%"
"12/12/2025","1.1390","1.1405","1.1416","1.1372","","-0.13%"
"12/11/2025","1.1405","1.1443","1.1449","1.1400","","-0.33%"
"12/10/2025","1.1443","1.1442","1.1458","1.1426","","0.05%"
"12/09/2025","1.1437","1.1448","1.1471","1.1431","","-0.09%"
"12/08/2025","1.1447","1.1448","1.1468","1.1419","","-0.03%"
"12/05/2025","1.1450","1.1445","1.1469","1.1437","","0.04%"
"12/04/2025","1.1445","1.1442","1.1467","1.1420","","0.04%"
"12/03/2025","1.1440","1.1366","1.1447","1.1359","","0.63%"
"12/02/2025","1.1368","1.1380","1.1390","1.1360","","-0.12%"
"12/01/2025","1.1382","1.1416","1.1425","1.1370","","-0.30%"
"11/28/2025","1.1416","1.1418","1.1435","1.1396","","-0.02%"
"11/27/2025","1.1418","1.1420","1.1436","1.1401","","-0.02%"
"11/26/2025","1.1420","1.1379","1.1425","1.1339","","0.36%"
"11/25/2025","1.1379","1.1374","1.1410","1.1363","","0.04%"
"11/24/2025","1.1374","1.1373","1.1387","1.1336","","-0.03%"
"11/21/2025","1.1377","1.1340","1.1391","1.1323","","0.33%"
"11/20/2025","1.1340","1.1319","1.1372","1.1310","","0.19%"
"11/19/2025","1.1319","1.1351","1.1363","1.1312","","-0.28%"
"11/18/2025","1.1351","1.1350","1.1360","1.1332","","0.02%"
"11/17/2025","1.1349","1.1335","1.1375","1.1311","","0.12%"
"11/14/2025","1.1335","1.1340","1.1349","1.1277","","-0.04%"
"11/13/2025","1.1340","1.1329","1.1346","1.1306","","0.11%"
"11/12/2025","1.1328","1.1355","1.1361","1.1313","","-0.24%"
"11/11/2025","1.1355","1.1400","1.1405","1.1345","","-0.39%"
"11/10/2025","1.1399","1.1379","1.1406","1.1358","","0.18%"
"11/07/2025","1.1379","1.1376","1.1388","1.1341","","0.03%"
