"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","211.11","210.58","211.26","210.24","","0.22%"
"12/30/2025","210.65","210.83","211.15","210.42","","-0.09%"
"12/29/2025","210.83","211.25","211.51","210.42","","-0.25%"
"12/26/2025","211.36","210.89","211.55","210.32","","0.31%"
"12/25/2025","210.70","210.48","210.88","210.33","","0.05%"
"12/24/2025","210.60","211.24","211.34","210.10","","-0.28%"
"12/23/2025","211.19","211.48","211.54","210.32","","-0.12%"
"12/22/2025","211.45","210.98","211.63","210.59","","0.18%"
"12/19/2025","211.08","208.14","211.11","208.04","","1.40%"
"12/18/2025","208.16","208.26","209.24","207.83","","-0.05%"
"12/17/2025","208.26","207.66","208.45","207.02","","0.27%"
"12/16/2025","207.69","207.56","208.11","206.73","","0.03%"
"12/15/2025","207.62","208.35","208.66","207.06","","-0.36%"
"12/12/2025","208.37","208.35","208.79","207.85","","0.03%"
"12/11/2025","208.31","208.85","208.89","207.88","","-0.24%"
"12/10/2025","208.82","208.69","208.93","208.20","","0.10%"
"12/09/2025","208.61","207.70","208.98","207.55","","0.43%"
"12/08/2025","207.71","206.88","207.85","206.56","","0.30%"
"12/05/2025","207.08","206.69","207.42","206.07","","0.19%"
"12/04/2025","206.69","207.31","207.41","206.20","","-0.30%"
"12/03/2025","207.31","205.97","207.39","205.71","","0.66%"
"12/02/2025","205.95","205.39","206.30","205.31","","0.25%"
"12/01/2025","205.43","206.64","206.91","205.18","","-0.63%"
"11/28/2025","206.74","206.96","207.24","206.13","","-0.10%"
"11/27/2025","206.95","207.20","207.26","206.42","","-0.13%"
"11/26/2025","207.21","205.48","207.26","205.28","","0.84%"
"11/25/2025","205.48","205.63","206.28","204.97","","-0.08%"
"11/24/2025","205.64","205.11","205.96","204.81","","0.39%"
"11/21/2025","204.85","205.88","206.14","204.26","","-0.50%"
"11/20/2025","205.88","205.25","206.90","204.79","","0.31%"
"11/19/2025","205.25","204.44","205.42","203.95","","0.40%"
"11/18/2025","204.44","204.27","204.79","203.67","","0.09%"
"11/17/2025","204.26","203.15","204.57","202.97","","0.33%"
"11/14/2025","203.58","203.90","204.13","202.32","","-0.16%"
"11/13/2025","203.90","203.32","204.11","202.94","","0.30%"
"11/12/2025","203.29","202.73","203.61","202.58","","0.28%"
"11/11/2025","202.73","203.10","203.33","202.31","","-0.17%"
"11/10/2025","203.08","201.78","203.27","201.76","","0.57%"
"11/07/2025","201.93","201.08","202.13","200.62","","0.42%"
"11/06/2025","201.08","201.15","201.42","200.27","","-0.02%"
"11/05/2025","201.13","200.12","201.28","199.04","","0.51%"
"11/04/2025","200.11","202.64","202.81","199.85","","-1.24%"
"11/03/2025","202.63","202.61","202.85","201.94","","0.01%"
"10/31/2025","202.60","202.73","202.96","201.82","","-0.06%"
"10/30/2025","202.73","201.52","203.31","200.97","","0.61%"
"10/29/2025","201.51","201.88","202.02","200.54","","-0.18%"
"10/28/2025","201.88","203.88","203.94","201.65","","-0.98%"
"10/27/2025","203.88","203.76","204.28","203.36","","0.18%"
"10/24/2025","203.52","203.33","204.04","203.07","","0.09%"
"10/23/2025","203.33","202.99","203.84","202.78","","0.16%"
"10/22/2025","203.01","203.15","203.33","201.90","","-0.07%"
"10/21/2025","203.15","202.09","203.58","201.80","","0.53%"
"10/20/2025","202.08","202.24","203.16","201.80","","-0.08%"
"10/17/2025","202.24","202.05","202.34","200.65","","0.08%"
"10/16/2025","202.08","202.44","203.48","201.69","","-0.19%"
"10/15/2025","202.46","202.24","202.77","201.56","","0.10%"
"10/14/2025","202.25","203.03","203.56","201.30","","-0.39%"
"10/13/2025","203.04","202.79","203.29","202.28","","0.53%"
"10/10/2025","201.97","203.68","203.89","201.85","","-0.83%"
"10/09/2025","203.66","204.75","204.92","203.27","","-0.50%"
"10/08/2025","204.68","203.94","205.37","203.73","","0.37%"
"10/07/2025","203.93","202.73","204.11","202.10","","0.58%"
"10/06/2025","202.76","201.16","202.86","200.21","","2.01%"
"10/03/2025","198.77","197.79","198.92","197.70","","0.44%"
"10/02/2025","197.90","198.21","198.65","197.46","","-0.16%"
"10/01/2025","198.21","198.88","199.27","197.89","","-0.34%"
"09/30/2025","198.88","199.52","199.83","198.55","","-0.32%"
"09/29/2025","199.52","200.37","200.49","199.29","","-0.44%"
"09/26/2025","200.41","199.90","200.57","199.65","","0.26%"
"09/25/2025","199.90","200.23","200.40","199.45","","-0.16%"
"09/24/2025","200.23","199.71","200.29","199.43","","0.26%"
"09/23/2025","199.71","199.62","200.00","199.13","","0.05%"
"09/22/2025","199.62","199.31","199.86","199.12","","0.16%"
"09/19/2025","199.31","200.62","200.67","199.19","","-0.65%"
"09/18/2025","200.62","200.30","201.31","200.00","","0.16%"
"09/17/2025","200.29","199.93","200.39","199.45","","0.18%"
"09/16/2025","199.93","200.47","200.76","199.76","","-0.26%"
"09/15/2025","200.45","200.33","200.79","199.80","","0.12%"
"09/12/2025","200.21","199.82","200.52","199.63","","0.20%"
"09/11/2025","199.82","199.53","200.22","199.29","","0.15%"
"09/10/2025","199.53","199.41","200.14","199.20","","0.06%"
"09/09/2025","199.42","199.83","199.95","198.77","","-0.21%"
"09/08/2025","199.83","199.01","200.40","198.98","","0.35%"
"09/05/2025","199.14","199.46","200.27","198.61","","-0.16%"
"09/04/2025","199.46","199.12","199.87","198.74","","0.17%"
"09/03/2025","199.12","198.74","199.77","198.46","","0.19%"
"09/02/2025","198.74","199.34","200.31","198.28","","-0.31%"
"09/01/2025","199.36","198.63","199.61","198.39","","0.39%"
"08/29/2025","198.58","198.55","198.72","197.93","","0.02%"
"08/28/2025","198.55","198.97","199.17","198.36","","-0.21%"
"08/27/2025","198.97","198.74","199.24","198.50","","0.13%"
"08/26/2025","198.71","198.85","199.13","198.25","","-0.07%"
"08/25/2025","198.84","198.74","199.33","198.36","","0.04%"
"08/22/2025","198.77","199.00","200.12","198.32","","-0.12%"
"08/21/2025","199.01","198.35","199.27","198.12","","0.37%"
"08/20/2025","198.27","199.23","199.48","197.83","","-0.48%"
"08/19/2025","199.23","199.68","199.94","198.79","","-0.24%"
"08/18/2025","199.70","199.43","200.31","199.17","","0.11%"
"08/15/2025","199.49","199.98","200.15","198.88","","-0.25%"
"08/14/2025","199.98","200.08","200.22","198.56","","-0.05%"
"08/13/2025","200.08","199.57","200.32","199.40","","0.26%"
"08/12/2025","199.57","199.00","200.57","198.85","","0.29%"
"08/11/2025","199.00","198.54","199.11","198.04","","0.15%"
"08/08/2025","198.70","197.78","198.87","197.36","","0.47%"
"08/07/2025","197.78","196.84","198.07","196.22","","0.48%"
"08/06/2025","196.83","196.33","197.11","196.06","","0.25%"
"08/05/2025","196.33","195.50","196.51","195.01","","0.47%"
"08/04/2025","195.41","195.68","196.58","195.00","","-0.15%"
"08/01/2025","195.71","199.09","199.35","195.30","","-1.70%"
"07/31/2025","199.10","197.86","199.56","196.94","","0.60%"
"07/30/2025","197.91","198.23","198.47","197.42","","-0.16%"
"07/29/2025","198.22","198.49","198.56","197.70","","-0.10%"
"07/28/2025","198.42","198.66","199.25","198.23","","-0.02%"
"07/25/2025","198.45","198.60","199.13","198.08","","-0.08%"
"07/24/2025","198.60","198.91","199.05","198.10","","-0.19%"
"07/23/2025","198.98","198.45","199.12","197.74","","0.27%"
"07/22/2025","198.45","198.80","199.33","197.41","","-0.21%"
"07/21/2025","198.86","198.55","199.50","198.32","","-0.35%"
"07/18/2025","199.56","199.29","200.02","199.14","","0.09%"
"07/17/2025","199.39","198.44","199.59","198.21","","0.45%"
"07/16/2025","198.49","199.25","199.78","197.87","","-0.38%"
"07/15/2025","199.25","198.36","199.56","198.18","","0.45%"
"07/14/2025","198.36","199.02","199.12","198.04","","-0.33%"
"07/11/2025","199.02","198.58","199.49","198.22","","0.23%"
"07/10/2025","198.57","198.83","199.30","198.35","","-0.13%"
"07/09/2025","198.83","199.23","199.86","198.71","","-0.20%"
"07/08/2025","199.23","198.62","199.51","198.48","","0.29%"
"07/07/2025","198.65","197.07","199.06","196.75","","0.64%"
"07/04/2025","197.38","197.90","197.98","196.87","","-0.26%"
"07/03/2025","197.90","195.95","198.14","195.70","","1.00%"
"07/02/2025","195.95","197.18","197.60","195.33","","-0.62%"
"07/01/2025","197.18","197.84","197.93","196.25","","-0.33%"
"06/30/2025","197.84","198.17","198.52","197.19","","-0.29%"
"06/27/2025","198.42","198.29","198.84","197.98","","0.09%"
"06/26/2025","198.25","198.50","198.64","197.68","","-0.13%"
"06/25/2025","198.50","197.32","198.62","197.01","","0.59%"
"06/24/2025","197.33","197.68","197.87","196.90","","-0.18%"
"06/23/2025","197.68","196.36","198.23","195.84","","0.60%"
"06/20/2025","196.50","195.91","196.75","195.62","","0.30%"
"06/19/2025","195.91","194.81","196.00","194.00","","0.59%"
"06/18/2025","194.77","195.13","195.40","194.31","","-0.16%"
"06/17/2025","195.08","196.55","196.88","194.88","","-0.73%"
"06/16/2025","196.51","195.30","196.73","195.08","","0.53%"
"06/13/2025","195.47","195.35","196.02","193.75","","0.06%"
"06/12/2025","195.35","195.81","195.94","194.68","","-0.23%"
"06/11/2025","195.81","195.53","196.55","195.27","","0.14%"
"06/10/2025","195.53","195.94","196.50","194.75","","-0.21%"
"06/09/2025","195.94","195.98","196.20","195.42","","0.00%"
"06/06/2025","195.94","194.90","196.24","194.62","","0.59%"
