"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","24.2682","24.2381","24.2882","24.1011","","0.13%"
"12/30/2025","24.2362","24.2975","24.3290","24.1282","","-0.21%"
"12/29/2025","24.2865","24.1671","24.3106","24.1135","","0.44%"
"12/26/2025","24.1797","24.2468","24.2790","24.1385","","-0.29%"
"12/25/2025","24.2503","24.2361","24.2746","24.2060","","0.05%"
"12/24/2025","24.2379","24.2135","24.2518","24.1534","","0.15%"
"12/23/2025","24.2006","24.2101","24.2757","24.1442","","-0.04%"
"12/22/2025","24.2111","24.1350","24.2296","24.0972","","0.36%"
"12/19/2025","24.1250","24.0861","24.1508","24.0489","","0.13%"
"12/18/2025","24.0928","24.0838","24.2057","24.0130","","0.02%"
"12/17/2025","24.0888","24.1207","24.1707","23.9325","","-0.10%"
"12/16/2025","24.1140","24.0581","24.1611","24.0243","","0.22%"
"12/15/2025","24.0606","24.1066","24.1500","24.0305","","-0.12%"
"12/12/2025","24.0904","24.1714","24.1871","24.0499","","-0.34%"
"12/11/2025","24.1724","24.3221","24.3727","24.1337","","-0.58%"
"12/10/2025","24.3146","24.1986","24.3275","24.1856","","0.52%"
"12/09/2025","24.1895","24.3204","24.3903","24.1797","","-0.57%"
"12/08/2025","24.3293","24.2150","24.3513","24.1926","","0.42%"
"12/05/2025","24.2269","24.3169","24.3445","24.2108","","-0.32%"
"12/04/2025","24.3042","24.4184","24.4445","24.2875","","-0.46%"
"12/03/2025","24.4177","24.1600","24.4328","24.1372","","1.03%"
"12/02/2025","24.1698","24.1872","24.2234","24.1151","","-0.07%"
"12/01/2025","24.1868","24.2061","24.2764","24.1463","","-0.14%"
"11/28/2025","24.2211","24.2993","24.3454","24.1734","","-0.32%"
"11/27/2025","24.2984","24.2991","24.3425","24.2331","","-0.01%"
"11/26/2025","24.3010","24.2076","24.3218","24.1011","","0.36%"
"11/25/2025","24.2146","24.2430","24.3727","24.1792","","-0.16%"
"11/24/2025","24.2529","24.2137","24.2951","24.1115","","0.25%"
"11/21/2025","24.1920","24.0308","24.2535","24.0056","","0.66%"
"11/20/2025","24.0339","23.9491","24.0901","23.9224","","0.35%"
"11/19/2025","23.9506","24.1176","24.1512","23.9286","","-0.68%"
"11/18/2025","24.1155","24.2402","24.3363","24.0974","","-0.51%"
"11/17/2025","24.2383","24.1077","24.2841","24.0551","","0.54%"
