"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2019","10.96","10.89","11.54","10.27","","-0.18%"
"06/26/2019","10.98","11.38","11.65","10.86","","-3.94%"
"06/25/2019","11.43","11.26","11.61","10.92","","1.33%"
"06/24/2019","11.28","10.70","11.43","10.39","","5.92%"
"06/21/2019","10.65","10.16","10.92","9.73","","3.60%"
"06/20/2019","10.28","10.61","10.92","9.26","","-7.05%"
"06/19/2019","11.06","11.06","11.60","10.39","","0.82%"
"06/18/2019","10.97","10.88","11.69","9.36","","0.18%"
"06/17/2019","10.95","10.12","11.81","10.12","","8.20%"
"06/14/2019","10.12","10.18","11.85","10.12","","1.30%"
"06/13/2019","9.99","11.30","11.73","9.99","","-11.28%"
"06/12/2019","11.26","10.75","12.07","10.75","","-3.26%"
"06/11/2019","11.64","10.83","11.88","10.83","","2.11%"
"06/10/2019","11.40","10.77","12.06","10.77","","1.42%"
"06/07/2019","11.24","12.73","12.73","9.99","","-12.12%"
"06/06/2019","12.79","12.39","13.12","11.88","","1.35%"
"06/05/2019","12.62","13.27","13.52","11.99","","-3.44%"
"06/04/2019","13.07","13.08","14.36","12.71","","-2.32%"
"06/03/2019","13.38","13.85","15.46","13.01","","-1.25%"
"05/31/2019","13.55","13.24","15.31","13.24","","4.96%"
"05/30/2019","12.91","13.79","14.19","12.54","","-6.72%"
"05/29/2019","13.84","12.41","14.97","12.41","","12.34%"
"05/28/2019","12.32","12.93","14.00","12.32","","-4.72%"
"05/27/2019","12.93","12.93","12.93","12.93","","-0.15%"
"05/24/2019","12.95","13.34","13.73","12.44","","-2.26%"
"05/23/2019","13.25","11.18","14.09","11.18","","5.75%"
"05/22/2019","12.53","12.89","12.89","10.61","","-2.94%"
"05/21/2019","12.91","12.01","12.91","11.05","","6.52%"
"05/20/2019","12.12","10.44","13.56","10.44","","4.84%"
"05/17/2019","11.56","12.02","13.62","10.50","","-3.18%"
"05/16/2019","11.94","12.02","13.78","10.88","","-11.23%"
"05/15/2019","13.45","14.04","16.38","11.72","","-4.61%"
"05/14/2019","14.10","14.19","14.97","13.27","","-0.84%"
"05/13/2019","14.22","13.98","16.75","6.58","","-2.74%"
"05/10/2019","14.62","14.19","15.26","7.83","","-1.95%"
"05/09/2019","14.91","12.95","16.82","7.79","","11.19%"
"05/08/2019","13.41","13.35","15.00","12.71","","-0.37%"
"05/07/2019","13.46","10.06","14.25","10.06","","33.80%"
"05/06/2019","10.06","10.06","10.06","10.06","","-5.81%"
"05/03/2019","10.68","11.73","11.73","10.48","","-8.95%"
"05/02/2019","11.73","11.90","12.29","10.42","","0.77%"
"04/30/2019","11.64","9.86","11.64","9.86","","4.30%"
"04/29/2019","11.16","10.01","11.43","9.81","","5.88%"
"04/26/2019","10.54","10.60","10.86","9.48","","0.48%"
"04/25/2019","10.49","10.25","11.31","9.12","","2.64%"
"04/24/2019","10.22","10.69","10.85","9.37","","-2.01%"
"04/23/2019","10.43","8.04","10.43","8.04","","21.28%"
"04/18/2019","8.60","9.81","9.81","8.60","","-12.60%"
"04/17/2019","9.84","10.57","10.57","8.14","","5.58%"
"04/16/2019","9.32","10.12","10.12","8.47","","-5.38%"
"04/15/2019","9.85","10.06","10.56","9.44","","-1.89%"
"04/12/2019","10.04","9.16","10.08","8.73","","4.15%"
"04/11/2019","9.64","11.60","12.06","8.84","","-17.40%"
"04/10/2019","11.67","11.54","12.06","10.19","","0.00%"
"04/09/2019","11.67","12.29","12.46","11.15","","1.04%"
"04/08/2019","11.55","10.74","12.47","10.74","","5.19%"
"04/05/2019","10.98","11.40","12.05","10.54","","-5.02%"
"04/04/2019","11.56","12.26","12.47","11.07","","-4.78%"
"04/03/2019","12.14","12.85","12.85","10.40","","-4.48%"
"04/02/2019","12.71","12.68","13.26","11.80","","-1.09%"
"04/01/2019","12.85","12.64","13.54","12.10","","0.00%"
"03/29/2019","12.85","15.13","15.13","12.35","","-9.82%"
"03/28/2019","14.25","13.83","15.15","13.42","","0.92%"
"03/27/2019","14.12","13.12","15.27","12.82","","3.44%"
"03/26/2019","13.65","14.41","15.29","13.43","","-3.87%"
"03/25/2019","14.20","14.29","16.50","14.20","","0.14%"
"03/22/2019","14.18","12.14","15.26","11.70","","13.17%"
"03/21/2019","12.53","12.64","13.78","11.18","","1.29%"
"03/20/2019","12.37","12.24","13.11","10.98","","1.81%"
"03/19/2019","12.15","12.42","12.42","10.63","","-0.57%"
"03/18/2019","12.22","11.78","12.43","10.84","","2.35%"
"03/15/2019","11.94","11.61","13.14","11.01","","-6.13%"
"03/14/2019","12.72","12.06","13.48","11.55","","-8.03%"
"03/13/2019","13.83","11.89","13.97","11.10","","3.98%"
"03/12/2019","13.30","15.33","15.33","10.55","","4.97%"
"03/11/2019","12.67","11.59","14.06","10.93","","-0.47%"
"03/08/2019","12.73","14.90","16.15","10.37","","-10.54%"
"03/07/2019","14.23","13.05","15.75","10.02","","9.97%"
