"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","18.0098","17.9915","18.0340","17.9522","","0.11%"
"12/30/2025","17.9905","17.9790","18.0087","17.9188","","0.09%"
"12/29/2025","17.9740","17.9140","18.0010","17.8864","","0.35%"
"12/26/2025","17.9115","17.9265","17.9625","17.8802","","-0.11%"
"12/25/2025","17.9320","17.9320","17.9400","17.9265","","-0.08%"
"12/24/2025","17.9466","17.9120","17.9565","17.8830","","0.25%"
"12/23/2025","17.9025","17.9834","17.9925","17.8927","","-0.45%"
"12/22/2025","17.9841","18.0300","18.0345","17.9528","","-0.27%"
"12/19/2025","18.0320","17.9995","18.0438","17.9890","","0.15%"
"12/18/2025","18.0045","18.0045","18.0340","17.9609","","-0.02%"
"12/17/2025","18.0083","17.9780","18.0540","17.9533","","0.22%"
"12/16/2025","17.9690","17.9860","18.0090","17.9274","","-0.11%"
"12/15/2025","17.9879","18.0180","18.0318","17.9700","","-0.15%"
"12/12/2025","18.0155","18.0545","18.0820","17.9882","","-0.22%"
"12/11/2025","18.0553","18.1683","18.2280","18.0093","","-0.62%"
"12/10/2025","18.1678","18.1966","18.2358","18.1532","","-0.13%"
"12/09/2025","18.1910","18.2565","18.3143","18.1689","","-0.40%"
"12/08/2025","18.2632","18.1830","18.2750","18.1563","","0.49%"
"12/05/2025","18.1740","18.2470","18.2470","18.1507","","-0.35%"
"12/04/2025","18.2375","18.2875","18.3055","18.2216","","-0.27%"
"12/03/2025","18.2871","18.2900","18.2972","18.2450","","0.01%"
"12/02/2025","18.2850","18.3069","18.3330","18.2766","","-0.11%"
"12/01/2025","18.3056","18.3030","18.3235","18.2508","","0.03%"
"11/28/2025","18.3000","18.3605","18.3875","18.2859","","-0.29%"
"11/27/2025","18.3535","18.3590","18.3725","18.3291","","0.01%"
"11/26/2025","18.3514","18.3858","18.4160","18.3332","","-0.22%"
"11/25/2025","18.3910","18.5040","18.5365","18.3714","","-0.58%"
"11/24/2025","18.4986","18.4630","18.5350","18.4129","","0.15%"
"11/21/2025","18.4700","18.3820","18.5380","18.3586","","0.47%"
"11/20/2025","18.3844","18.3385","18.4250","18.3006","","0.24%"
"11/19/2025","18.3396","18.3444","18.3760","18.3025","","-0.03%"
"11/18/2025","18.3458","18.4150","18.4970","18.3258","","-0.43%"
"11/17/2025","18.4245","18.3015","18.4670","18.2954","","0.66%"
"11/14/2025","18.3028","18.3160","18.4095","18.2924","","-0.06%"
"11/13/2025","18.3130","18.2980","18.3440","18.2512","","0.12%"
"11/12/2025","18.2914","18.3270","18.3393","18.2743","","-0.18%"
"11/11/2025","18.3235","18.3805","18.4110","18.2956","","-0.31%"
"11/10/2025","18.3805","18.4535","18.4638","18.3650","","-0.43%"
"11/07/2025","18.4590","18.5925","18.6025","18.4336","","-0.66%"
"11/06/2025","18.5819","18.5992","18.6635","18.5500","","-0.09%"
"11/05/2025","18.5987","18.6900","18.7765","18.5700","","-0.43%"
"11/04/2025","18.6790","18.4960","18.7170","18.4717","","0.99%"
"11/03/2025","18.4960","18.5526","18.5750","18.4635","","-0.36%"
"10/31/2025","18.5620","18.5435","18.6010","18.5155","","0.17%"
"10/30/2025","18.5300","18.4885","18.6090","18.4491","","0.22%"
"10/29/2025","18.4885","18.4340","18.5085","18.3948","","0.32%"
"10/28/2025","18.4290","18.4045","18.4690","18.3789","","0.13%"
"10/27/2025","18.4050","18.4225","18.4515","18.3585","","-0.26%"
"10/24/2025","18.4534","18.4033","18.4745","18.3395","","0.29%"
"10/23/2025","18.3996","18.4270","18.4660","18.3788","","-0.15%"
"10/22/2025","18.4270","18.4361","18.4755","18.3660","","-0.05%"
"10/21/2025","18.4361","18.3865","18.4943","18.3813","","0.27%"
"10/20/2025","18.3865","18.3790","18.4243","18.3503","","0.09%"
"10/17/2025","18.3705","18.4350","18.5593","18.3612","","-0.38%"
"10/16/2025","18.4415","18.4570","18.4853","18.3549","","-0.09%"
"10/15/2025","18.4575","18.5140","18.5275","18.4336","","-0.31%"
"10/14/2025","18.5140","18.4704","18.6340","18.4433","","0.24%"
"10/13/2025","18.4704","18.5195","18.5480","18.4149","","-0.67%"
"10/10/2025","18.5950","18.3943","18.6425","18.3621","","1.09%"
"10/09/2025","18.3940","18.3366","18.4228","18.2969","","0.31%"
"10/08/2025","18.3366","18.4035","18.4450","18.3176","","-0.34%"
"10/07/2025","18.3995","18.3385","18.4218","18.3185","","0.33%"
"10/06/2025","18.3391","18.3760","18.4965","18.3240","","-0.32%"
"10/03/2025","18.3985","18.4350","18.4565","18.3614","","-0.16%"
"10/02/2025","18.4285","18.3768","18.5215","18.3367","","0.28%"
"10/01/2025","18.3768","18.3225","18.4030","18.2362","","0.35%"
"09/30/2025","18.3127","18.3669","18.3905","18.3056","","-0.30%"
"09/29/2025","18.3676","18.3677","18.3860","18.2932","","-0.01%"
"09/26/2025","18.3700","18.4735","18.5280","18.3285","","-0.55%"
"09/25/2025","18.4724","18.4320","18.5690","18.3766","","0.22%"
"09/24/2025","18.4320","18.3595","18.4615","18.3231","","0.39%"
"09/23/2025","18.3595","18.3559","18.3980","18.2996","","0.02%"
"09/22/2025","18.3559","18.4315","18.4440","18.3394","","-0.27%"
"09/19/2025","18.4047","18.3598","18.4720","18.3363","","0.24%"
"09/18/2025","18.3598","18.3325","18.3980","18.2171","","0.25%"
"09/17/2025","18.3139","18.2885","18.3565","18.1970","","0.14%"
"09/16/2025","18.2885","18.3710","18.4005","18.2688","","-0.42%"
