"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","14.95","14.77","15.17","14.38","","4.33%"
"12/30/2025","14.33","14.43","14.62","14.04","","0.92%"
"12/29/2025","14.20","14.69","15.08","13.99","","4.41%"
"12/26/2025","13.60","14.12","14.29","13.52","","0.97%"
"12/24/2025","13.47","14.09","14.16","13.38","","-3.79%"
"12/23/2025","14.00","14.09","14.45","13.64","","-0.57%"
"12/22/2025","14.08","15.16","15.26","14.03","","-5.57%"
"12/19/2025","14.91","16.31","16.53","14.91","","-11.62%"
"12/18/2025","16.87","17.61","17.68","15.93","","-4.26%"
"12/17/2025","17.62","16.45","18.00","15.82","","6.92%"
"12/16/2025","16.48","17.28","17.61","16.19","","-0.12%"
"12/15/2025","16.50","16.51","17.35","15.99","","4.83%"
"12/12/2025","15.74","14.99","17.85","14.85","","5.99%"
"12/11/2025","14.85","16.84","16.88","14.85","","-5.83%"
"12/10/2025","15.77","16.94","17.66","15.56","","-6.85%"
"12/09/2025","16.93","16.66","17.20","16.45","","1.62%"
"12/08/2025","16.66","16.15","17.09","16.10","","8.11%"
"12/05/2025","15.41","15.58","16.18","15.28","","-2.34%"
"12/04/2025","15.78","16.23","16.63","15.68","","-1.87%"
"12/03/2025","16.08","16.43","17.28","15.93","","-3.07%"
"12/02/2025","16.59","17.28","17.31","16.39","","-3.77%"
"12/01/2025","17.24","18.05","18.33","16.58","","5.44%"
"11/28/2025","16.35","17.41","18.52","15.78","","-5.00%"
"11/27/2025","17.21","17.22","17.36","17.05","","0.12%"
"11/26/2025","17.19","18.25","18.70","16.93","","-7.38%"
"11/25/2025","18.56","20.55","21.77","18.39","","-9.55%"
"11/24/2025","20.52","22.69","23.68","20.41","","-12.42%"
"11/21/2025","23.43","25.97","27.84","22.54","","-11.32%"
"11/20/2025","26.42","20.78","28.27","19.28","","11.67%"
"11/19/2025","23.66","24.52","24.79","21.93","","-4.17%"
"11/18/2025","24.69","23.54","25.84","22.91","","10.32%"
"11/17/2025","22.38","19.58","23.44","19.54","","12.86%"
"11/14/2025","19.83","21.33","23.03","19.56","","-0.85%"
"11/13/2025","20.00","17.61","21.31","17.51","","14.22%"
"11/12/2025","17.51","17.21","18.06","17.10","","1.33%"
"11/11/2025","17.28","17.90","18.01","17.25","","-1.82%"
"11/10/2025","17.60","18.58","18.82","17.60","","-7.76%"
"11/07/2025","19.08","19.52","22.72","19.08","","-2.15%"
"11/06/2025","19.50","18.36","20.31","17.64","","8.27%"
"11/05/2025","18.01","19.37","20.02","17.31","","-5.21%"
"11/04/2025","19.00","19.73","20.48","17.90","","10.66%"
"11/03/2025","17.17","18.06","18.83","17.00","","-1.55%"
"10/31/2025","17.44","16.43","18.54","15.96","","3.13%"
"10/30/2025","16.91","16.26","17.41","15.73","","-0.06%"
"10/29/2025","16.92","16.34","17.58","16.26","","3.05%"
"10/28/2025","16.42","15.95","16.55","15.66","","3.99%"
"10/27/2025","15.79","15.73","16.07","15.62","","-3.54%"
"10/24/2025","16.37","17.02","17.22","16.02","","-5.38%"
"10/23/2025","17.30","18.36","19.35","17.08","","-6.99%"
"10/22/2025","18.60","17.84","21.01","17.73","","4.09%"
"10/21/2025","17.87","18.65","18.89","17.40","","-1.97%"
"10/20/2025","18.23","20.53","21.02","18.23","","-12.27%"
"10/17/2025","20.78","28.41","28.99","20.73","","-17.90%"
"10/16/2025","25.31","20.49","25.43","19.85","","22.63%"
"10/15/2025","20.64","20.02","22.44","19.11","","-0.82%"
"10/14/2025","20.81","21.46","22.94","19.18","","9.35%"
"10/13/2025","19.03","19.45","20.77","18.61","","-12.14%"
"10/10/2025","21.66","16.36","22.44","16.23","","31.83%"
"10/09/2025","16.43","16.31","17.27","16.26","","0.80%"
"10/08/2025","16.30","17.17","17.20","16.23","","-5.45%"
"10/07/2025","17.24","16.58","17.55","16.19","","5.31%"
"10/06/2025","16.37","16.74","17.09","16.29","","-1.68%"
"10/03/2025","16.65","16.35","17.06","16.20","","0.12%"
"10/02/2025","16.63","16.12","16.92","15.93","","2.09%"
"10/01/2025","16.29","17.28","17.28","15.98","","0.06%"
"09/30/2025","16.28","16.49","16.70","16.02","","0.99%"
"09/29/2025","16.12","15.84","16.29","15.74","","5.43%"
"09/26/2025","15.29","16.89","17.05","15.29","","-8.66%"
"09/25/2025","16.74","16.55","17.74","16.32","","3.46%"
"09/24/2025","16.18","16.57","17.21","16.18","","-2.76%"
"09/23/2025","16.64","16.10","17.07","15.95","","3.35%"
"09/22/2025","16.10","16.14","16.35","15.78","","4.21%"
"09/19/2025","15.45","15.76","16.13","15.29","","-1.59%"
"09/18/2025","15.70","14.93","15.80","14.33","","-0.13%"
"09/17/2025","15.72","16.42","16.75","15.26","","-3.91%"
"09/16/2025","16.36","15.60","16.38","15.44","","4.27%"
"09/15/2025","15.69","15.14","15.84","14.92","","6.30%"
"09/12/2025","14.76","14.62","14.97","14.41","","0.34%"
"09/11/2025","14.71","15.19","15.24","14.65","","-4.17%"
"09/10/2025","15.35","14.98","15.63","14.63","","2.06%"
"09/09/2025","15.04","15.02","15.82","14.97","","-0.46%"
"09/08/2025","15.11","15.58","15.65","14.99","","-0.46%"
"09/05/2025","15.18","15.23","16.92","14.74","","-0.78%"
"09/04/2025","15.30","16.22","16.35","15.28","","-6.42%"
"09/03/2025","16.35","17.40","17.57","16.34","","-4.78%"
"09/02/2025","17.17","16.65","19.38","16.55","","6.51%"
"09/01/2025","16.12","16.17","16.79","15.08","","4.95%"
"08/29/2025","15.36","14.31","15.97","14.31","","6.44%"
"08/28/2025","14.43","14.42","14.69","14.12","","-2.83%"
"08/27/2025","14.85","14.66","15.23","14.66","","1.57%"
"08/26/2025","14.62","15.75","15.75","14.62","","-1.15%"
"08/25/2025","14.79","15.05","15.19","14.24","","4.01%"
"08/22/2025","14.22","16.81","16.83","14.21","","-14.34%"
"08/21/2025","16.60","15.72","17.24","15.65","","5.80%"
"08/20/2025","15.69","15.95","17.19","15.57","","0.77%"
"08/19/2025","15.57","15.23","15.91","14.76","","3.87%"
"08/18/2025","14.99","15.73","15.95","14.95","","-0.66%"
"08/15/2025","15.09","14.43","15.18","14.40","","1.75%"
"08/14/2025","14.83","14.66","15.39","14.57","","2.35%"
"08/13/2025","14.49","14.62","14.81","14.30","","-1.63%"
"08/12/2025","14.73","16.09","16.56","14.66","","-9.35%"
"08/11/2025","16.25","15.81","16.36","15.52","","7.26%"
"08/08/2025","15.15","16.48","16.52","15.15","","-8.57%"
"08/07/2025","16.57","16.41","17.64","15.98","","-1.19%"
"08/06/2025","16.77","17.22","17.88","16.56","","-6.05%"
"08/05/2025","17.85","17.21","18.94","17.11","","1.88%"
"08/04/2025","17.52","19.56","19.58","17.48","","-14.03%"
"08/01/2025","20.38","17.40","21.90","17.39","","21.89%"
"07/31/2025","16.72","14.99","17.17","14.74","","8.01%"
"07/30/2025","15.48","15.87","17.27","15.44","","-3.13%"
"07/29/2025","15.98","14.95","16.12","14.70","","6.32%"
"07/28/2025","15.03","15.15","15.54","15.00","","0.67%"
"07/25/2025","14.93","15.33","15.39","14.92","","-2.99%"
"07/24/2025","15.39","15.39","15.54","14.95","","0.13%"
"07/23/2025","15.37","16.23","16.32","15.32","","-6.85%"
"07/22/2025","16.50","16.75","17.48","16.43","","-0.90%"
"07/21/2025","16.65","16.87","16.99","16.30","","1.46%"
"07/18/2025","16.41","16.43","16.81","16.28","","-0.67%"
"07/17/2025","16.52","17.16","17.37","16.48","","-3.73%"
"07/16/2025","17.16","17.66","19.48","16.69","","-1.27%"
"07/15/2025","17.38","16.89","17.39","16.56","","1.05%"
