"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2025","614.31","619.65","619.96","614.05","40.75M","-0.83%"
"12/30/2025","619.43","619.84","622.18","619.22","31.23M","-0.23%"
"12/29/2025","620.87","620.10","622.78","618.73","32.46M","-0.48%"
"12/26/2025","623.89","624.66","625.52","623.14","28.96M","-0.01%"
"12/24/2025","623.93","621.99","624.28","621.72","18.47M","0.29%"
"12/23/2025","622.11","618.20","622.41","617.78","41.12M","0.47%"
"12/22/2025","619.21","621.35","621.65","617.77","43.70M","0.35%"
"12/19/2025","617.05","611.95","617.62","611.87","60.37M","1.30%"
"12/18/2025","609.11","609.80","612.93","606.92","78.88M","1.45%"
"12/17/2025","600.41","613.06","613.65","600.28","70.65M","-1.85%"
"12/16/2025","611.75","608.26","613.51","606.91","55.15M","0.20%"
"12/15/2025","610.54","618.37","618.42","609.32","49.54M","-0.50%"
"12/12/2025","613.62","622.08","623.54","611.36","75.16M","-1.91%"
"12/11/2025","625.58","623.82","625.78","617.72","58.27M","-0.32%"
"12/10/2025","627.61","623.85","629.21","620.99","55.03M","0.41%"
"12/09/2025","625.05","623.01","625.87","621.00","37.16M","0.12%"
"12/08/2025","624.28","627.21","628.84","621.69","43.46M","-0.19%"
"12/05/2025","625.48","624.38","628.92","623.71","53.61M","0.41%"
"12/04/2025","622.94","624.93","624.94","619.54","47.07M","-0.09%"
"12/03/2025","623.52","619.62","624.22","618.03","47.84M","0.24%"
"12/02/2025","622.00","619.46","623.75","617.59","54.54M","0.78%"
"12/01/2025","617.17","613.63","619.44","612.52","40.96M","-0.34%"
"11/28/2025","619.25","616.11","619.32","615.42","23.03M","0.81%"
"11/26/2025","614.27","612.51","616.19","610.39","42.39M","0.88%"
"11/25/2025","608.89","603.51","610.26","597.32","57.56M","0.62%"
"11/24/2025","605.16","595.28","606.68","595.16","60.17M","2.56%"
"11/21/2025","590.07","587.47","596.98","580.74","103.34M","0.75%"
"11/20/2025","585.67","611.62","614.03","584.75","117.74M","-2.37%"
"11/19/2025","599.87","597.07","606.16","594.59","73.11M","0.60%"
"11/18/2025","596.31","599.62","602.31","591.34","83.33M","-1.22%"
